metric,metric_value,metric_type
abox_axiom_count,8,single_value
abox_axiom_count_incl,8,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,36,single_value
annotation_property_count_incl,36,single_value
assert_n_subclass_avg,0.6388888888888888,single_value
assert_n_subclass_avg_incl,0.6388888888888888,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,1,single_value
ax_complexrhs_count_incl,1,single_value
axiom_count,519,single_value
axiom_count_incl,519,single_value
axiom_length_max,5,single_value
axiom_length_max_incl,5,single_value
axiom_type_count,AnnotationAssertion 327,map_value
axiom_type_count,AnnotationPropertyRangeOf 1,map_value
axiom_type_count,ClassAssertion 8,map_value
axiom_type_count,DataPropertyDomain 3,map_value
axiom_type_count,DataPropertyRange 3,map_value
axiom_type_count,Declaration 97,map_value
axiom_type_count,DisjointClasses 1,map_value
axiom_type_count,EquivalentClasses 1,map_value
axiom_type_count,InverseObjectProperties 2,map_value
axiom_type_count,ObjectPropertyDomain 18,map_value
axiom_type_count,ObjectPropertyRange 17,map_value
axiom_type_count,SubAnnotationPropertyOf 9,map_value
axiom_type_count,SubClassOf 24,map_value
axiom_type_count,SubObjectPropertyOf 8,map_value
axiom_type_count_incl,AnnotationAssertion 327,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 1,map_value
axiom_type_count_incl,ClassAssertion 8,map_value
axiom_type_count_incl,DataPropertyDomain 3,map_value
axiom_type_count_incl,DataPropertyRange 3,map_value
axiom_type_count_incl,Declaration 97,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,EquivalentClasses 1,map_value
axiom_type_count_incl,InverseObjectProperties 2,map_value
axiom_type_count_incl,ObjectPropertyDomain 18,map_value
axiom_type_count_incl,ObjectPropertyRange 17,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 9,map_value
axiom_type_count_incl,SubClassOf 24,map_value
axiom_type_count_incl,SubObjectPropertyOf 8,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,36,single_value
class_count_incl,36,single_value
class_expression_count,Class 137,map_value
class_expression_count,ObjectAllValuesFrom 1,map_value
class_expression_count,ObjectIntersectionOf 1,map_value
class_expression_count,ObjectSomeValuesFrom 1,map_value
class_expression_count,ObjectUnionOf 2,map_value
class_expression_count_incl,Class 137,map_value
class_expression_count_incl,ObjectAllValuesFrom 1,map_value
class_expression_count_incl,ObjectIntersectionOf 1,map_value
class_expression_count_incl,ObjectSomeValuesFrom 1,map_value
class_expression_count_incl,ObjectUnionOf 2,map_value
class_sgl_subcl_count,1,single_value
class_sgl_subcl_count_incl,1,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,IAO http://purl.obolibrary.org/obo/IAO_,map_value
curie_map,OBCS http://purl.obolibrary.org/obo/OBCS_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
