metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,2,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,27,single_value
annotation_property_count_incl,44,single_value
assert_n_subclass_avg,0.7580645161290323,single_value
assert_n_subclass_avg_incl,0.06676136363636363,single_value
assert_n_superclass_avg,1.0483870967741935,single_value
assert_n_superclass_avg_incl,1.0909090909090908,single_value
ax_complexrhs_count,6,single_value
ax_complexrhs_count_incl,170,single_value
axiom_count,498,single_value
axiom_count_incl,4231,single_value
axiom_length_max,9,single_value
axiom_length_max_incl,9,single_value
axiom_type_count,AnnotationAssertion 274,map_value
axiom_type_count,DataPropertyDomain 1,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 87,map_value
axiom_type_count,DisjointClasses 1,map_value
axiom_type_count,ObjectPropertyDomain 27,map_value
axiom_type_count,ObjectPropertyRange 27,map_value
axiom_type_count,SubClassOf 53,map_value
axiom_type_count,SubObjectPropertyOf 27,map_value
axiom_type_count_incl,AnnotationAssertion 2128,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 12,map_value
axiom_type_count_incl,AsymmetricObjectProperty 18,map_value
axiom_type_count_incl,ClassAssertion 2,map_value
axiom_type_count_incl,DataPropertyDomain 4,map_value
axiom_type_count_incl,DataPropertyRange 3,map_value
axiom_type_count_incl,Declaration 887,map_value
axiom_type_count_incl,DisjointClasses 3,map_value
axiom_type_count_incl,DisjointObjectProperties 10,map_value
axiom_type_count_incl,DisjointUnion 73,map_value
axiom_type_count_incl,EquivalentClasses 69,map_value
axiom_type_count_incl,FunctionalDataProperty 3,map_value
axiom_type_count_incl,FunctionalObjectProperty 2,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 3,map_value
axiom_type_count_incl,InverseObjectProperties 1,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 24,map_value
axiom_type_count_incl,ObjectPropertyDomain 76,map_value
axiom_type_count_incl,ObjectPropertyRange 83,map_value
axiom_type_count_incl,Rule 9,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 20,map_value
axiom_type_count_incl,SubClassOf 629,map_value
axiom_type_count_incl,SubDataPropertyOf 1,map_value
axiom_type_count_incl,SubObjectPropertyOf 159,map_value
axiom_type_count_incl,SymmetricObjectProperty 12,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointObjectProperties,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,Rule,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
