metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,22,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,26,single_value
annotation_property_count_incl,86,single_value
assert_n_subclass_avg,0.7485549132947977,single_value
assert_n_subclass_avg_incl,0.30363423212192264,single_value
assert_n_superclass_avg,1.0115606936416186,single_value
assert_n_superclass_avg_incl,1.010550996483001,single_value
ax_complexrhs_count,114,single_value
ax_complexrhs_count_incl,391,single_value
axiom_count,1634,single_value
axiom_count_incl,7110,single_value
axiom_length_max,9,single_value
axiom_length_max_incl,10,single_value
axiom_type_count,AnnotationAssertion 811,map_value
axiom_type_count,DataPropertyDomain 2,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 332,map_value
axiom_type_count,DisjointClasses 1,map_value
axiom_type_count,DisjointObjectProperties 1,map_value
axiom_type_count,EquivalentClasses 9,map_value
axiom_type_count,FunctionalDataProperty 1,map_value
axiom_type_count,InverseObjectProperties 11,map_value
axiom_type_count,ObjectPropertyDomain 27,map_value
axiom_type_count,ObjectPropertyRange 26,map_value
axiom_type_count,SubClassOf 368,map_value
axiom_type_count,SubDataPropertyOf 5,map_value
axiom_type_count,SubObjectPropertyOf 28,map_value
axiom_type_count,SubPropertyChainOf 2,map_value
axiom_type_count,SymmetricObjectProperty 5,map_value
axiom_type_count,TransitiveObjectProperty 4,map_value
axiom_type_count_incl,AnnotationAssertion 4432,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 1,map_value
axiom_type_count_incl,ClassAssertion 20,map_value
axiom_type_count_incl,DataPropertyDomain 6,map_value
axiom_type_count_incl,DataPropertyRange 5,map_value
axiom_type_count_incl,Declaration 1073,map_value
axiom_type_count_incl,DifferentIndividuals 2,map_value
axiom_type_count_incl,DisjointClasses 58,map_value
axiom_type_count_incl,DisjointObjectProperties 1,map_value
axiom_type_count_incl,EquivalentClasses 41,map_value
axiom_type_count_incl,EquivalentObjectProperties 3,map_value
axiom_type_count_incl,FunctionalDataProperty 5,map_value
axiom_type_count_incl,FunctionalObjectProperty 4,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 34,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 1,map_value
axiom_type_count_incl,ObjectPropertyDomain 54,map_value
axiom_type_count_incl,ObjectPropertyRange 53,map_value
axiom_type_count_incl,Rule 4,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 7,map_value
axiom_type_count_incl,SubClassOf 1213,map_value
axiom_type_count_incl,SubDataPropertyOf 5,map_value
axiom_type_count_incl,SubObjectPropertyOf 61,map_value
axiom_type_count_incl,SubPropertyChainOf 4,map_value
axiom_type_count_incl,SymmetricObjectProperty 5,map_value
axiom_type_count_incl,TransitiveObjectProperty 17,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,DisjointObjectProperties,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DifferentIndividuals,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointObjectProperties,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentObjectProperties,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,Rule,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,346,single_value
class_count_incl,853,single_value
class_expression_count,Class 1167,map_value
class_expression_count,DataSomeValuesFrom 2,map_value
class_expression_count,ObjectIntersectionOf 93,map_value
class_expression_count,ObjectSomeValuesFrom 201,map_value
class_expression_count,ObjectUnionOf 1,map_value
class_expression_count_incl,Class 3734,map_value
class_expression_count_incl,DataExactCardinality 6,map_value
class_expression_count_incl,DataMinCardinality 1,map_value
class_expression_count_incl,DataSomeValuesFrom 18,map_value
class_expression_count_incl,ObjectAllValuesFrom 6,map_value
class_expression_count_incl,ObjectComplementOf 3,map_value
class_expression_count_incl,ObjectExactCardinality 1,map_value
class_expression_count_incl,ObjectIntersectionOf 122,map_value
class_expression_count_incl,ObjectMinCardinality 1,map_value
class_expression_count_incl,ObjectOneOf 3,map_value
class_expression_count_incl,ObjectSomeValuesFrom 446,map_value
class_expression_count_incl,ObjectUnionOf 16,map_value
class_sgl_subcl_count,62,single_value
class_sgl_subcl_count_incl,62,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,F,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,ROLE_COMPLEX,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,N,list_value
constructs_incl,NOMINALS,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,APOLLO_SV http://purl.obolibrary.org/obo/APOLLO_SV_,map_value
curie_map,BFO http://purl.obolibrary.org/obo/BFO_,map_value
curie_map,CHEBI http://purl.obolibrary.org/obo/CHEBI_,map_value
curie_map,GO http://purl.obolibrary.org/obo/GO_,map_value
curie_map,IAO http://purl.obolibrary.org/obo/IAO_,map_value
curie_map,OBI http://purl.obolibrary.org/obo/OBI_,map_value
curie_map,OMO http://purl.obolibrary.org/obo/OMO_,map_value
curie_map,PATO http://purl.obolibrary.org/obo/PATO_,map_value
curie_map,PR http://purl.obolibrary.org/obo/PR_,map_value
curie_map,RO http://purl.obolibrary.org/obo/RO_,map_value
curie_map,UO http://purl.obolibrary.org/obo/UO_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,obo http://purl.obolibrary.org/obo/,map_value
curie_map,oboInOwl http://www.geneontology.org/formats/oboInOwl#,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,6,single_value
dataproperty_count_incl,7,single_value
datatypes_axiom_count,XSD_DECIMAL 1,map_value
datatypes_axiom_count,XSD_FLOAT 2,map_value
datatypes_axiom_count,XSD_INTEGER 1,map_value
datatypes_axiom_count,XSD_LONG 1,map_value
datatypes_axiom_count,XSD_STRING 1,map_value
datatypes_axiom_count,xsd:anyType 1,map_value
datatypes_axiom_count_incl,RDFS_LITERAL 8,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 8,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 1,map_value
datatypes_axiom_count_incl,XSD_DECIMAL 1,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 1,map_value
datatypes_axiom_count_incl,XSD_FLOAT 6,map_value
datatypes_axiom_count_incl,XSD_INT 13,map_value
datatypes_axiom_count_incl,XSD_INTEGER 1,map_value
datatypes_axiom_count_incl,XSD_LONG 1,map_value
datatypes_axiom_count_incl,XSD_STRING 1,map_value
datatypes_axiom_count_incl,xsd:anyType 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DECIMAL,list_value
datatypes_builtin,XSD_FLOAT,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_LONG,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDFS_LITERAL,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_builtin_incl,XSD_DECIMAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_FLOAT,list_value
datatypes_builtin_incl,XSD_INT,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_LONG,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,7,single_value
datatypes_count_incl,13,single_value
datatypes_not_built_in,xsd:anyType,list_value
datatypes_not_built_in_incl,xsd:anyType,list_value
dt_builtin_count,6,single_value
dt_builtin_count_incl,12,single_value
dt_notbuiltin_count,1,single_value
dt_notbuiltin_count_incl,1,single_value
expressivity,RRESTRCUCINTERIF(D),single_value
expressivity_incl,RRESTRCUCINTUNIVRESTREROIN(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,5,single_value
gci_hidden_count_incl,35,single_value
individual_count,0,single_value
individual_count_incl,20,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,491,single_value
logical_axiom_count_incl,1593,single_value
most_freq_concept,http://semanticscience.org/resource/CHEMINF_000113,single_value
