metric,metric_value,metric_type
abox_axiom_count,42,single_value
abox_axiom_count_incl,42,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,30,single_value
annotation_property_count_incl,88,single_value
assert_n_subclass_avg,1.4516129032258065,single_value
assert_n_subclass_avg_incl,0.6617647058823529,single_value
assert_n_superclass_avg,1.903225806451613,single_value
assert_n_superclass_avg_incl,1.411764705882353,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,28,single_value
axiom_count,321,single_value
axiom_count_incl,678,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,17,single_value
axiom_type_count,AnnotationAssertion 176,map_value
axiom_type_count,ClassAssertion 14,map_value
axiom_type_count,DataPropertyAssertion 12,map_value
axiom_type_count,Declaration 58,map_value
axiom_type_count,ObjectPropertyAssertion 16,map_value
axiom_type_count,SubClassOf 45,map_value
axiom_type_count_incl,AnnotationAssertion 282,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 3,map_value
axiom_type_count_incl,AsymmetricObjectProperty 1,map_value
axiom_type_count_incl,ClassAssertion 14,map_value
axiom_type_count_incl,DataPropertyAssertion 12,map_value
axiom_type_count_incl,Declaration 177,map_value
axiom_type_count_incl,DisjointUnion 5,map_value
axiom_type_count_incl,EquivalentClasses 3,map_value
axiom_type_count_incl,FunctionalDataProperty 1,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 1,map_value
axiom_type_count_incl,ObjectPropertyAssertion 16,map_value
axiom_type_count_incl,ReflexiveObjectProperty 1,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 83,map_value
axiom_type_count_incl,SubClassOf 71,map_value
axiom_type_count_incl,SubDataPropertyOf 1,map_value
axiom_type_count_incl,SubObjectPropertyOf 4,map_value
axiom_type_count_incl,TransitiveObjectProperty 2,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ReflexiveObjectProperty,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,31,single_value
class_count_incl,68,single_value
class_expression_count,Class 121,map_value
class_expression_count_incl,Class 273,map_value
class_expression_count_incl,DataAllValuesFrom 1,map_value
class_expression_count_incl,DataSomeValuesFrom 14,map_value
