metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,14,single_value
annotation_property_count_incl,14,single_value
assert_n_subclass_avg,0.3333333333333333,single_value
assert_n_subclass_avg_incl,0.3333333333333333,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,39,single_value
ax_complexrhs_count_incl,39,single_value
axiom_count,374,single_value
axiom_count_incl,374,single_value
axiom_length_max,7,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,AnnotationAssertion 154,map_value
axiom_type_count,DataPropertyDomain 19,map_value
axiom_type_count,DataPropertyRange 19,map_value
axiom_type_count,Declaration 84,map_value
axiom_type_count,DisjointClasses 1,map_value
axiom_type_count,InverseObjectProperties 3,map_value
axiom_type_count,ObjectPropertyDomain 21,map_value
axiom_type_count,ObjectPropertyRange 24,map_value
axiom_type_count,SubClassOf 49,map_value
axiom_type_count_incl,AnnotationAssertion 154,map_value
axiom_type_count_incl,DataPropertyDomain 19,map_value
axiom_type_count_incl,DataPropertyRange 19,map_value
axiom_type_count_incl,Declaration 84,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,InverseObjectProperties 3,map_value
axiom_type_count_incl,ObjectPropertyDomain 21,map_value
axiom_type_count_incl,ObjectPropertyRange 24,map_value
axiom_type_count_incl,SubClassOf 49,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,30,single_value
class_count_incl,30,single_value
class_expression_count,Class 185,map_value
class_expression_count,DataExactCardinality 18,map_value
class_expression_count,ObjectAllValuesFrom 20,map_value
class_expression_count,ObjectExactCardinality 6,map_value
class_expression_count,ObjectIntersectionOf 18,map_value
class_expression_count,ObjectMaxCardinality 2,map_value
class_expression_count,ObjectSomeValuesFrom 14,map_value
class_expression_count,ObjectUnionOf 3,map_value
class_expression_count_incl,Class 185,map_value
class_expression_count_incl,DataExactCardinality 18,map_value
class_expression_count_incl,ObjectAllValuesFrom 20,map_value
class_expression_count_incl,ObjectExactCardinality 6,map_value
class_expression_count_incl,ObjectIntersectionOf 18,map_value
class_expression_count_incl,ObjectMaxCardinality 2,map_value
class_expression_count_incl,ObjectSomeValuesFrom 14,map_value
class_expression_count_incl,ObjectUnionOf 3,map_value
class_sgl_subcl_count,3,single_value
class_sgl_subcl_count_incl,3,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,Q,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,Q,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,CHEBI http://purl.obolibrary.org/obo/CHEBI_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,obo http://purl.obolibrary.org/obo/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,19,single_value
dataproperty_count_incl,19,single_value
datatypes_axiom_count,XSD_DOUBLE 21,map_value
datatypes_axiom_count,XSD_INTEGER 2,map_value
datatypes_axiom_count,XSD_STRING 8,map_value
datatypes_axiom_count,rdf:HTML 1,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 21,map_value
datatypes_axiom_count_incl,XSD_INTEGER 2,map_value
datatypes_axiom_count_incl,XSD_STRING 8,map_value
datatypes_axiom_count_incl,rdf:HTML 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DECIMAL,list_value
datatypes_builtin,XSD_DOUBLE,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_DECIMAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,6,single_value
datatypes_count_incl,6,single_value
datatypes_not_built_in,rdf:HTML,list_value
datatypes_not_built_in_incl,rdf:HTML,list_value
dt_builtin_count,5,single_value
dt_builtin_count_incl,5,single_value
dt_notbuiltin_count,1,single_value
dt_notbuiltin_count_incl,1,single_value
expressivity,RRESTRCUCINTUNIVRESTREIQ(D),single_value
expressivity_incl,RRESTRCUCINTUNIVRESTREIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,136,single_value
logical_axiom_count_incl,136,single_value
most_freq_concept,https://w3id.org/mdo/structure/Species,single_value
most_freq_concept_incl,https://w3id.org/mdo/structure/Species,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,CHEBI 5,map_value
namespace_axiom_count,dc 5,map_value
namespace_axiom_count,obo 4,map_value
namespace_axiom_count,owl 1,map_value
namespace_axiom_count,prefix_unknown 361,map_value
namespace_axiom_count,rdf 1,map_value
namespace_axiom_count,rdfs 135,map_value
namespace_axiom_count,skos 15,map_value
namespace_axiom_count,xsd 31,map_value
namespace_axiom_count_incl,CHEBI 5,map_value
namespace_axiom_count_incl,dc 5,map_value
namespace_axiom_count_incl,obo 4,map_value
namespace_axiom_count_incl,owl 1,map_value
namespace_axiom_count_incl,prefix_unknown 361,map_value
namespace_axiom_count_incl,rdf 1,map_value
namespace_axiom_count_incl,rdfs 135,map_value
namespace_axiom_count_incl,skos 15,map_value
namespace_axiom_count_incl,xsd 31,map_value
namespace_entity_count,CHEBI 1,map_value
namespace_entity_count,dc 5,map_value
namespace_entity_count,obo 1,map_value
namespace_entity_count,owl 2,map_value
namespace_entity_count,prefix_unknown 74,map_value
namespace_entity_count,rdf 2,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 4,map_value
namespace_entity_count_incl,CHEBI 1,map_value
namespace_entity_count_incl,dc 5,map_value
namespace_entity_count_incl,obo 1,map_value
namespace_entity_count_incl,owl 2,map_value
namespace_entity_count_incl,prefix_unknown 74,map_value
namespace_entity_count_incl,rdf 2,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 4,map_value
obj_property_count,25,single_value
obj_property_count_incl,25,single_value
ontology_anno_count,9,single_value
ontology_iri,https://purls.helmholtz-metadaten.de/disos/cso,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfReservedVocabularyForAnnotationPropertyIRI 1,map_value
owl2dl_profile_violation,UseOfUnknownDatatype 1,map_value
rbox_axiom_count,3,single_value
rbox_axiom_count_incl,3,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,94,single_value
signature_entity_count_incl,94,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,133,single_value
tbox_axiom_count_incl,133,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,136,single_value
tboxrbox_axiom_count_incl,136,single_value
undecl_entity_count,10,single_value
undecl_entity_count_incl,10,single_value
