metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,11,single_value
annotation_property_count_incl,11,single_value
assert_n_subclass_avg,0.9866888519134775,single_value
assert_n_subclass_avg_incl,0.9866888519134775,single_value
assert_n_superclass_avg,1.0066555740432612,single_value
assert_n_superclass_avg_incl,1.0066555740432612,single_value
ax_complexrhs_count,73,single_value
ax_complexrhs_count_incl,73,single_value
axiom_count,2135,single_value
axiom_count_incl,2135,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 296,map_value
axiom_type_count,DataPropertyDomain 235,map_value
axiom_type_count,DataPropertyRange 97,map_value
axiom_type_count,Declaration 729,map_value
axiom_type_count,EquivalentClasses 8,map_value
axiom_type_count,EquivalentDataProperties 5,map_value
axiom_type_count,ObjectPropertyDomain 22,map_value
axiom_type_count,ObjectPropertyRange 14,map_value
axiom_type_count,SubClassOf 666,map_value
axiom_type_count,SubDataPropertyOf 63,map_value
axiom_type_count_incl,AnnotationAssertion 296,map_value
axiom_type_count_incl,DataPropertyDomain 235,map_value
axiom_type_count_incl,DataPropertyRange 97,map_value
axiom_type_count_incl,Declaration 729,map_value
axiom_type_count_incl,EquivalentClasses 8,map_value
axiom_type_count_incl,EquivalentDataProperties 5,map_value
axiom_type_count_incl,ObjectPropertyDomain 22,map_value
axiom_type_count_incl,ObjectPropertyRange 14,map_value
axiom_type_count_incl,SubClassOf 666,map_value
axiom_type_count_incl,SubDataPropertyOf 63,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,EquivalentDataProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentDataProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,601,single_value
class_count_incl,601,single_value
class_expression_count,Class 2147,map_value
class_expression_count,DataHasValue 73,map_value
class_expression_count_incl,Class 2147,map_value
class_expression_count_incl,DataHasValue 73,map_value
class_sgl_subcl_count,53,single_value
class_sgl_subcl_count_incl,53,single_value
constructs,AL,list_value
constructs,D,list_value
constructs,H,list_value
constructs_incl,AL,list_value
constructs_incl,D,list_value
constructs_incl,H,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,109,single_value
dataproperty_count_incl,109,single_value
datatypes_axiom_count,XSD_BOOLEAN 170,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 170,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,3,single_value
datatypes_count_incl,3,single_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,ALH(D),single_value
expressivity_incl,ALH(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,14,single_value
gci_hidden_count_incl,14,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,1110,single_value
logical_axiom_count_incl,1110,single_value
most_freq_concept,http://www.semanticweb.org/osnathakimi/ontologies/deb#ClinicalStudy,single_value
most_freq_concept_incl,http://www.semanticweb.org/osnathakimi/ontologies/deb#ClinicalStudy,single_value
multiple_inheritance_count,14,single_value
multiple_inheritance_count_incl,14,single_value
named_supercl_count_max,4,single_value
named_supercl_count_max_incl,4,single_value
namespace_axiom_count,dc 64,map_value
namespace_axiom_count,owl 4,map_value
namespace_axiom_count,prefix_unknown 2891,map_value
namespace_axiom_count,rdfs 31,map_value
namespace_axiom_count,skos 158,map_value
namespace_axiom_count,xsd 170,map_value
namespace_axiom_count_incl,dc 64,map_value
namespace_axiom_count_incl,owl 4,map_value
namespace_axiom_count_incl,prefix_unknown 2891,map_value
namespace_axiom_count_incl,rdfs 31,map_value
namespace_axiom_count_incl,skos 158,map_value
namespace_axiom_count_incl,xsd 170,map_value
namespace_entity_count,dc 4,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 724,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 2,map_value
namespace_entity_count_incl,dc 4,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 724,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 2,map_value
obj_property_count,12,single_value
obj_property_count_incl,12,single_value
ontology_anno_count,3,single_value
ontology_iri,http://www.semanticweb.org/osnathakimi/ontologies/deb,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,true,single_value
rbox_axiom_count,68,single_value
rbox_axiom_count_incl,68,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,736,single_value
signature_entity_count_incl,736,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,4,single_value
tautology_count_incl,4,single_value
tbox_axiom_count,1042,single_value
tbox_axiom_count_incl,1042,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,1110,single_value
tboxrbox_axiom_count_incl,1110,single_value
undecl_entity_count,7,single_value
undecl_entity_count_incl,7,single_value
