metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,13,single_value
annotation_property_count_incl,13,single_value
assert_n_subclass_avg,0.42105263157894735,single_value
assert_n_subclass_avg_incl,0.42105263157894735,single_value
assert_n_superclass_avg,1.0263157894736843,single_value
assert_n_superclass_avg_incl,1.0263157894736843,single_value
ax_complexrhs_count,46,single_value
ax_complexrhs_count_incl,46,single_value
axiom_count,373,single_value
axiom_count_incl,373,single_value
axiom_length_max,7,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,AnnotationAssertion 147,map_value
axiom_type_count,DataPropertyDomain 5,map_value
axiom_type_count,DataPropertyRange 5,map_value
axiom_type_count,Declaration 91,map_value
axiom_type_count,DisjointClasses 6,map_value
axiom_type_count,InverseObjectProperties 1,map_value
axiom_type_count,ObjectPropertyDomain 25,map_value
axiom_type_count,ObjectPropertyRange 25,map_value
axiom_type_count,SubClassOf 62,map_value
axiom_type_count,SubObjectPropertyOf 6,map_value
axiom_type_count_incl,AnnotationAssertion 147,map_value
axiom_type_count_incl,DataPropertyDomain 5,map_value
axiom_type_count_incl,DataPropertyRange 5,map_value
axiom_type_count_incl,Declaration 91,map_value
axiom_type_count_incl,DisjointClasses 6,map_value
axiom_type_count_incl,InverseObjectProperties 1,map_value
axiom_type_count_incl,ObjectPropertyDomain 25,map_value
axiom_type_count_incl,ObjectPropertyRange 25,map_value
axiom_type_count_incl,SubClassOf 62,map_value
axiom_type_count_incl,SubObjectPropertyOf 6,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,38,single_value
class_count_incl,38,single_value
class_expression_count,Class 227,map_value
class_expression_count,DataExactCardinality 13,map_value
class_expression_count,ObjectAllValuesFrom 26,map_value
class_expression_count,ObjectExactCardinality 3,map_value
class_expression_count,ObjectIntersectionOf 17,map_value
class_expression_count,ObjectSomeValuesFrom 22,map_value
class_expression_count,ObjectUnionOf 8,map_value
class_expression_count_incl,Class 227,map_value
class_expression_count_incl,DataExactCardinality 13,map_value
class_expression_count_incl,ObjectAllValuesFrom 26,map_value
class_expression_count_incl,ObjectExactCardinality 3,map_value
class_expression_count_incl,ObjectIntersectionOf 17,map_value
class_expression_count_incl,ObjectSomeValuesFrom 22,map_value
class_expression_count_incl,ObjectUnionOf 8,map_value
class_sgl_subcl_count,7,single_value
class_sgl_subcl_count_incl,7,single_value
constructs,AL,list_value
constructs,C,list_value
constructs,D,list_value
constructs,H,list_value
constructs,I,list_value
constructs,Q,list_value
constructs_incl,AL,list_value
constructs_incl,C,list_value
constructs_incl,D,list_value
constructs_incl,H,list_value
constructs_incl,I,list_value
constructs_incl,Q,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,12,single_value
dataproperty_count_incl,12,single_value
datatypes_axiom_count,XSD_DOUBLE 7,map_value
datatypes_axiom_count,XSD_STRING 9,map_value
datatypes_axiom_count,rdf:HTML 1,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 7,map_value
datatypes_axiom_count_incl,XSD_STRING 9,map_value
datatypes_axiom_count_incl,rdf:HTML 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DOUBLE,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,4,single_value
datatypes_count_incl,4,single_value
datatypes_not_built_in,rdf:HTML,list_value
datatypes_not_built_in_incl,rdf:HTML,list_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,1,single_value
dt_notbuiltin_count_incl,1,single_value
expressivity,ALCHIQ(D),single_value
expressivity_incl,ALCHIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,135,single_value
logical_axiom_count_incl,135,single_value
most_freq_concept,https://purls.helmholtz-metadaten.de/diso#BurgersVector,single_value
most_freq_concept_incl,https://purls.helmholtz-metadaten.de/diso#BurgersVector,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,dc 5,map_value
namespace_axiom_count,owl 1,map_value
namespace_axiom_count,prefix_unknown 400,map_value
namespace_axiom_count,rdf 1,map_value
namespace_axiom_count,rdfs 140,map_value
namespace_axiom_count,skos 4,map_value
namespace_axiom_count,xsd 16,map_value
namespace_axiom_count_incl,dc 5,map_value
namespace_axiom_count_incl,owl 1,map_value
namespace_axiom_count_incl,prefix_unknown 400,map_value
namespace_axiom_count_incl,rdf 1,map_value
namespace_axiom_count_incl,rdfs 140,map_value
namespace_axiom_count_incl,skos 4,map_value
namespace_axiom_count_incl,xsd 16,map_value
namespace_entity_count,dc 5,map_value
namespace_entity_count,owl 2,map_value
namespace_entity_count,prefix_unknown 84,map_value
namespace_entity_count,rdf 2,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 2,map_value
namespace_entity_count_incl,dc 5,map_value
namespace_entity_count_incl,owl 2,map_value
namespace_entity_count_incl,prefix_unknown 84,map_value
namespace_entity_count_incl,rdf 2,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 2,map_value
obj_property_count,33,single_value
obj_property_count_incl,33,single_value
ontology_anno_count,10,single_value
ontology_iri,https://purls.helmholtz-metadaten.de/diso,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,7,single_value
rbox_axiom_count_incl,7,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,100,single_value
signature_entity_count_incl,100,single_value
syntax,Turtle,single_value
tautology_count,1,single_value
tautology_count_incl,1,single_value
tbox_axiom_count,128,single_value
tbox_axiom_count_incl,128,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,135,single_value
tboxrbox_axiom_count_incl,135,single_value
undecl_entity_count,9,single_value
undecl_entity_count_incl,9,single_value
