metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,13,single_value
annotation_property_count_incl,13,single_value
assert_n_subclass_avg,0.5365853658536586,single_value
assert_n_subclass_avg_incl,0.5365853658536586,single_value
assert_n_superclass_avg,1.024390243902439,single_value
assert_n_superclass_avg_incl,1.024390243902439,single_value
ax_complexrhs_count,36,single_value
ax_complexrhs_count_incl,36,single_value
axiom_count,492,single_value
axiom_count_incl,492,single_value
axiom_length_max,7,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,AnnotationAssertion 185,map_value
axiom_type_count,DataPropertyDomain 23,map_value
axiom_type_count,DataPropertyRange 23,map_value
axiom_type_count,Declaration 128,map_value
axiom_type_count,DisjointClasses 6,map_value
axiom_type_count,FunctionalObjectProperty 2,map_value
axiom_type_count,InverseObjectProperties 16,map_value
axiom_type_count,ObjectPropertyDomain 16,map_value
axiom_type_count,ObjectPropertyRange 17,map_value
axiom_type_count,SubClassOf 58,map_value
axiom_type_count,SubDataPropertyOf 9,map_value
axiom_type_count,SubObjectPropertyOf 8,map_value
axiom_type_count,TransitiveObjectProperty 1,map_value
axiom_type_count_incl,AnnotationAssertion 185,map_value
axiom_type_count_incl,DataPropertyDomain 23,map_value
axiom_type_count_incl,DataPropertyRange 23,map_value
axiom_type_count_incl,Declaration 128,map_value
axiom_type_count_incl,DisjointClasses 6,map_value
axiom_type_count_incl,FunctionalObjectProperty 2,map_value
axiom_type_count_incl,InverseObjectProperties 16,map_value
axiom_type_count_incl,ObjectPropertyDomain 16,map_value
axiom_type_count_incl,ObjectPropertyRange 17,map_value
axiom_type_count_incl,SubClassOf 58,map_value
axiom_type_count_incl,SubDataPropertyOf 9,map_value
axiom_type_count_incl,SubObjectPropertyOf 8,map_value
axiom_type_count_incl,TransitiveObjectProperty 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,41,single_value
class_count_incl,41,single_value
class_expression_count,Class 210,map_value
class_expression_count,DataExactCardinality 5,map_value
class_expression_count,DataSomeValuesFrom 12,map_value
class_expression_count,ObjectAllValuesFrom 14,map_value
class_expression_count,ObjectExactCardinality 1,map_value
class_expression_count,ObjectIntersectionOf 5,map_value
class_expression_count,ObjectSomeValuesFrom 10,map_value
class_expression_count,ObjectUnionOf 2,map_value
class_expression_count_incl,Class 210,map_value
class_expression_count_incl,DataExactCardinality 5,map_value
class_expression_count_incl,DataSomeValuesFrom 12,map_value
class_expression_count_incl,ObjectAllValuesFrom 14,map_value
class_expression_count_incl,ObjectExactCardinality 1,map_value
class_expression_count_incl,ObjectIntersectionOf 5,map_value
class_expression_count_incl,ObjectSomeValuesFrom 10,map_value
class_expression_count_incl,ObjectUnionOf 2,map_value
class_sgl_subcl_count,10,single_value
class_sgl_subcl_count_incl,10,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,Q,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs,ROLE_TRANSITIVE,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,Q,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,ROLE_TRANSITIVE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,33,single_value
dataproperty_count_incl,33,single_value
datatypes_axiom_count,XSD_ANY_URI 2,map_value
datatypes_axiom_count,XSD_BOOLEAN 10,map_value
datatypes_axiom_count,XSD_DATE_TIME 2,map_value
datatypes_axiom_count,XSD_DOUBLE 6,map_value
datatypes_axiom_count,XSD_INT 6,map_value
datatypes_axiom_count,XSD_STRING 14,map_value
datatypes_axiom_count,rdf:HTML 1,map_value
datatypes_axiom_count_incl,XSD_ANY_URI 2,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 10,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 2,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 6,map_value
datatypes_axiom_count_incl,XSD_INT 6,map_value
datatypes_axiom_count_incl,XSD_STRING 14,map_value
datatypes_axiom_count_incl,rdf:HTML 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin,XSD_DOUBLE,list_value
datatypes_builtin,XSD_INT,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INT,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,8,single_value
datatypes_count_incl,8,single_value
datatypes_not_built_in,rdf:HTML,list_value
datatypes_not_built_in_incl,rdf:HTML,list_value
dt_builtin_count,7,single_value
dt_builtin_count_incl,7,single_value
dt_notbuiltin_count,1,single_value
dt_notbuiltin_count_incl,1,single_value
expressivity,RRESTRCUCINTUNIVRESTREH+IQ(D),single_value
expressivity_incl,RRESTRCUCINTUNIVRESTREH+IQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,179,single_value
logical_axiom_count_incl,179,single_value
most_freq_concept,https://purls.helmholtz-metadaten.de/disos/sim#DislocationStructure,single_value
most_freq_concept_incl,https://purls.helmholtz-metadaten.de/disos/sim#DislocationStructure,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,2,single_value
named_supercl_count_max_incl,2,single_value
namespace_axiom_count,dc 5,map_value
namespace_axiom_count,foaf 4,map_value
namespace_axiom_count,owl 1,map_value
namespace_axiom_count,prefix_unknown 447,map_value
namespace_axiom_count,prov 27,map_value
namespace_axiom_count,rdf 1,map_value
namespace_axiom_count,rdfs 175,map_value
namespace_axiom_count,skos 8,map_value
namespace_axiom_count,xsd 40,map_value
namespace_axiom_count_incl,dc 5,map_value
namespace_axiom_count_incl,foaf 4,map_value
namespace_axiom_count_incl,owl 1,map_value
namespace_axiom_count_incl,prefix_unknown 447,map_value
namespace_axiom_count_incl,prov 27,map_value
namespace_axiom_count_incl,rdf 1,map_value
namespace_axiom_count_incl,rdfs 175,map_value
namespace_axiom_count_incl,skos 8,map_value
namespace_axiom_count_incl,xsd 40,map_value
namespace_entity_count,dc 5,map_value
namespace_entity_count,foaf 2,map_value
namespace_entity_count,owl 2,map_value
namespace_entity_count,prefix_unknown 111,map_value
namespace_entity_count,prov 7,map_value
namespace_entity_count,rdf 2,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,skos 2,map_value
namespace_entity_count,xsd 6,map_value
namespace_entity_count_incl,dc 5,map_value
namespace_entity_count_incl,foaf 2,map_value
namespace_entity_count_incl,owl 2,map_value
namespace_entity_count_incl,prefix_unknown 111,map_value
namespace_entity_count_incl,prov 7,map_value
namespace_entity_count_incl,rdf 2,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,skos 2,map_value
namespace_entity_count_incl,xsd 6,map_value
obj_property_count,45,single_value
obj_property_count_incl,45,single_value
ontology_anno_count,9,single_value
ontology_iri,https://purls.helmholtz-metadaten.de/disos/sim,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfUnknownDatatype 1,map_value
rbox_axiom_count,34,single_value
rbox_axiom_count_incl,34,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,140,single_value
signature_entity_count_incl,140,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,1,single_value
tautology_count_incl,1,single_value
tbox_axiom_count,145,single_value
tbox_axiom_count_incl,145,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,179,single_value
tboxrbox_axiom_count_incl,179,single_value
undecl_entity_count,12,single_value
undecl_entity_count_incl,12,single_value
