metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,8,single_value
annotation_property_count_incl,35,single_value
assert_n_subclass_avg,NaN,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,NaN,single_value
assert_n_superclass_avg_incl,1.0734341252699784,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,284,single_value
axiom_count,0,single_value
axiom_count_incl,3191,single_value
axiom_length_max,0,single_value
axiom_length_max_incl,23,single_value
axiom_type_count_incl,AnnotationAssertion 1743,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 18,map_value
axiom_type_count_incl,AsymmetricObjectProperty 16,map_value
axiom_type_count_incl,DataPropertyDomain 2,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 539,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,DisjointUnion 24,map_value
axiom_type_count_incl,EquivalentClasses 62,map_value
axiom_type_count_incl,FunctionalObjectProperty 4,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 5,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 16,map_value
axiom_type_count_incl,ObjectPropertyDomain 22,map_value
axiom_type_count_incl,ObjectPropertyRange 30,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 22,map_value
axiom_type_count_incl,SubClassOf 623,map_value
axiom_type_count_incl,SubDataPropertyOf 1,map_value
axiom_type_count_incl,SubObjectPropertyOf 47,map_value
axiom_type_count_incl,SymmetricObjectProperty 7,map_value
axiom_type_count_incl,TransitiveObjectProperty 8,map_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,0,single_value
class_count_incl,463,single_value
class_expression_count_incl,Class 1919,map_value
class_expression_count_incl,DataAllValuesFrom 3,map_value
class_expression_count_incl,DataExactCardinality 3,map_value
class_expression_count_incl,DataHasValue 125,map_value
class_expression_count_incl,DataSomeValuesFrom 3,map_value
class_expression_count_incl,ObjectAllValuesFrom 47,map_value
class_expression_count_incl,ObjectComplementOf 5,map_value
class_expression_count_incl,ObjectExactCardinality 5,map_value
class_expression_count_incl,ObjectHasValue 1,map_value
class_expression_count_incl,ObjectIntersectionOf 6,map_value
class_expression_count_incl,ObjectSomeValuesFrom 106,map_value
class_expression_count_incl,ObjectUnionOf 12,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,O,list_value
constructs_incl,Q,list_value
constructs_incl,R,list_value
constructs_incl,S,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,3,single_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 105,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 3,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 23,map_value
datatypes_axiom_count_incl,XSD_INTEGER 3,map_value
datatypes_axiom_count_incl,XSD_STRING 1,map_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,0,single_value
datatypes_count_incl,7,single_value
dt_builtin_count,0,single_value
dt_builtin_count_incl,7,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,AL,single_value
expressivity_incl,SROIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,52,single_value
individual_count,0,single_value
individual_count_incl,1,single_value
instance_per_class_avg,NaN,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,0,single_value
logical_axiom_count_incl,869,single_value
most_freq_concept,,single_value
most_freq_concept_incl,http://emmo.info/emmo#EMMO_71f6ab56_342c_484b_bbe0_de86b7367cb3,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,6,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count_incl,dc 6,map_value
namespace_axiom_count_incl,owl 27,map_value
namespace_axiom_count_incl,prefix_unknown 3399,map_value
namespace_axiom_count_incl,rdf 105,map_value
namespace_axiom_count_incl,rdfs 298,map_value
namespace_axiom_count_incl,skos 572,map_value
namespace_axiom_count_incl,xsd 30,map_value
namespace_entity_count,dc 6,map_value
namespace_entity_count,owl 7,map_value
namespace_entity_count,prefix_unknown 528,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 3,map_value
namespace_entity_count,xsd 6,map_value
namespace_entity_count_incl,dc 6,map_value
namespace_entity_count_incl,owl 7,map_value
namespace_entity_count_incl,prefix_unknown 528,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 3,map_value
namespace_entity_count_incl,xsd 6,map_value
obj_property_count,0,single_value
obj_property_count_incl,46,single_value
ontology_anno_count,17,single_value
ontology_iri,http://emmo.info/emmo,single_value
ontology_version_iri,http://emmo.info/emmo/1.0.0-beta,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfReservedVocabularyForAnnotationPropertyIRI 17,map_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,95,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,555,single_value
signature_entity_count_incl,555,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,2,single_value
tbox_axiom_count,0,single_value
tbox_axiom_count_incl,774,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,true,single_value
tboxrbox_axiom_count,0,single_value
tboxrbox_axiom_count_incl,869,single_value
undecl_entity_count,555,single_value
undecl_entity_count_incl,555,single_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/holistic,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/isq,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/manufacturing,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/materials,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/math,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/metrology,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/models,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/ordinal,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/perceptual,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/perspective,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/physicalistic,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/properties,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/reductionistic,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/semiotics,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/siunits,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/middle/units-extension,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/top,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/top/annotations,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/top/mereotopology,list_value
valid_imports,http://emmo.info/emmo/1.0.0-beta/top/physical,list_value
valid_imports_incl,http://emmo.info/emmo/1.0.0-beta/middle,list_value
valid_imports_incl,http://emmo.info/emmo/1.0.0-beta/top,list_value
