metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,3,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,7,single_value
annotation_property_count_incl,49,single_value
assert_n_subclass_avg,0.7967032967032966,single_value
assert_n_subclass_avg_incl,0.06716072255673923,single_value
assert_n_superclass_avg,1.1043956043956045,single_value
assert_n_superclass_avg_incl,1.2088930060213061,single_value
ax_complexrhs_count,125,single_value
ax_complexrhs_count_incl,940,single_value
axiom_count,568,single_value
axiom_count_incl,12147,single_value
axiom_length_max,4,single_value
axiom_length_max_incl,19,single_value
axiom_type_count,AnnotationAssertion 131,map_value
axiom_type_count,Declaration 161,map_value
axiom_type_count,DisjointClasses 1,map_value
axiom_type_count,EquivalentClasses 2,map_value
axiom_type_count,SubClassOf 270,map_value
axiom_type_count,SubObjectPropertyOf 3,map_value
axiom_type_count_incl,AnnotationAssertion 5770,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 11,map_value
axiom_type_count_incl,AsymmetricObjectProperty 6,map_value
axiom_type_count_incl,ClassAssertion 3,map_value
axiom_type_count_incl,DataPropertyDomain 2,map_value
axiom_type_count_incl,DataPropertyRange 2,map_value
axiom_type_count_incl,Declaration 2331,map_value
axiom_type_count_incl,DisjointClasses 8,map_value
axiom_type_count_incl,DisjointUnion 8,map_value
axiom_type_count_incl,EquivalentClasses 102,map_value
axiom_type_count_incl,FunctionalDataProperty 4,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 3,map_value
axiom_type_count_incl,InverseObjectProperties 12,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 14,map_value
axiom_type_count_incl,ObjectPropertyDomain 62,map_value
axiom_type_count_incl,ObjectPropertyRange 65,map_value
axiom_type_count_incl,ReflexiveObjectProperty 1,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 30,map_value
axiom_type_count_incl,SubClassOf 3533,map_value
axiom_type_count_incl,SubObjectPropertyOf 165,map_value
axiom_type_count_incl,SymmetricObjectProperty 9,map_value
axiom_type_count_incl,TransitiveObjectProperty 6,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
