metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,3,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,7,single_value
annotation_property_count_incl,48,single_value
assert_n_subclass_avg,NaN,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,NaN,single_value
assert_n_superclass_avg_incl,1.2352,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,655,single_value
axiom_count,2,single_value
axiom_count_incl,10656,single_value
axiom_length_max,0,single_value
axiom_length_max_incl,4,single_value
axiom_type_count,Declaration 2,map_value
axiom_type_count_incl,AnnotationAssertion 5377,map_value
axiom_type_count_incl,ClassAssertion 3,map_value
axiom_type_count_incl,DataPropertyDomain 1,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 2030,map_value
axiom_type_count_incl,DisjointClasses 7,map_value
axiom_type_count_incl,EquivalentClasses 50,map_value
axiom_type_count_incl,FunctionalDataProperty 4,map_value
axiom_type_count_incl,InverseObjectProperties 11,map_value
axiom_type_count_incl,ObjectPropertyDomain 17,map_value
axiom_type_count_incl,ObjectPropertyRange 18,map_value
axiom_type_count_incl,ReflexiveObjectProperty 1,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 28,map_value
axiom_type_count_incl,SubClassOf 2946,map_value
axiom_type_count_incl,SubObjectPropertyOf 148,map_value
axiom_type_count_incl,SymmetricObjectProperty 8,map_value
axiom_type_count_incl,TransitiveObjectProperty 6,map_value
axiom_types,Declaration,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,ReflexiveObjectProperty,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,0,single_value
class_count_incl,1875,single_value
class_expression_count_incl,Class 7866,map_value
class_expression_count_incl,DataHasValue 60,map_value
class_expression_count_incl,ObjectAllValuesFrom 5,map_value
class_expression_count_incl,ObjectExactCardinality 114,map_value
class_expression_count_incl,ObjectIntersectionOf 1,map_value
class_expression_count_incl,ObjectMinCardinality 1,map_value
class_expression_count_incl,ObjectSomeValuesFrom 470,map_value
class_expression_count_incl,ObjectUnionOf 5,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,Q,list_value
constructs_incl,R,list_value
constructs_incl,S,list_value
