metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,1,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,16,single_value
annotation_property_count_incl,35,single_value
assert_n_subclass_avg,0.6111111111111112,single_value
assert_n_subclass_avg_incl,0.020637898686679174,single_value
assert_n_superclass_avg,1.0555555555555556,single_value
assert_n_superclass_avg_incl,1.170731707317073,single_value
ax_complexrhs_count,6,single_value
ax_complexrhs_count_incl,318,single_value
axiom_count,64,single_value
axiom_count_incl,3745,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,23,single_value
axiom_type_count,AnnotationAssertion 34,map_value
axiom_type_count,Declaration 11,map_value
axiom_type_count,EquivalentClasses 1,map_value
axiom_type_count,ObjectPropertyDomain 1,map_value
axiom_type_count,SubClassOf 16,map_value
axiom_type_count,SubObjectPropertyOf 1,map_value
axiom_type_count_incl,AnnotationAssertion 1921,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 18,map_value
axiom_type_count_incl,AsymmetricObjectProperty 15,map_value
axiom_type_count_incl,ClassAssertion 1,map_value
axiom_type_count_incl,DataPropertyDomain 2,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 609,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,DisjointUnion 28,map_value
axiom_type_count_incl,EquivalentClasses 68,map_value
axiom_type_count_incl,EquivalentObjectProperties 7,map_value
axiom_type_count_incl,FunctionalDataProperty 2,map_value
axiom_type_count_incl,FunctionalObjectProperty 9,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 5,map_value
axiom_type_count_incl,InverseObjectProperties 8,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 16,map_value
axiom_type_count_incl,ObjectPropertyDomain 23,map_value
axiom_type_count_incl,ObjectPropertyRange 30,map_value
axiom_type_count_incl,ReflexiveObjectProperty 1,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 22,map_value
axiom_type_count_incl,SubClassOf 884,map_value
axiom_type_count_incl,SubDataPropertyOf 2,map_value
axiom_type_count_incl,SubObjectPropertyOf 55,map_value
axiom_type_count_incl,SymmetricObjectProperty 8,map_value
axiom_type_count_incl,TransitiveObjectProperty 9,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentObjectProperties,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,ReflexiveObjectProperty,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,18,single_value
class_count_incl,533,single_value
class_expression_count,Class 44,map_value
class_expression_count,DataHasValue 1,map_value
class_expression_count,ObjectSomeValuesFrom 5,map_value
class_expression_count_incl,Class 2537,map_value
class_expression_count_incl,DataAllValuesFrom 3,map_value
class_expression_count_incl,DataExactCardinality 3,map_value
class_expression_count_incl,DataHasValue 129,map_value
class_expression_count_incl,DataSomeValuesFrom 4,map_value
class_expression_count_incl,ObjectAllValuesFrom 60,map_value
class_expression_count_incl,ObjectComplementOf 5,map_value
class_expression_count_incl,ObjectExactCardinality 5,map_value
class_expression_count_incl,ObjectHasValue 1,map_value
class_expression_count_incl,ObjectIntersectionOf 9,map_value
class_expression_count_incl,ObjectSomeValuesFrom 121,map_value
class_expression_count_incl,ObjectUnionOf 13,map_value
class_sgl_subcl_count,9,single_value
class_sgl_subcl_count_incl,9,single_value
constructs,AL,list_value
constructs,D,list_value
constructs,E,list_value
constructs,H,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,O,list_value
constructs_incl,Q,list_value
constructs_incl,R,list_value
constructs_incl,S,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,1,single_value
dataproperty_count_incl,3,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 1,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 109,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 3,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 23,map_value
datatypes_axiom_count_incl,XSD_INTEGER 3,map_value
datatypes_axiom_count_incl,XSD_STRING 2,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,2,single_value
datatypes_count_incl,7,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,7,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,ALEH(D),single_value
expressivity_incl,SROIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,1,single_value
gci_hidden_count_incl,66,single_value
individual_count,0,single_value
individual_count_incl,1,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,19,single_value
logical_axiom_count_incl,1175,single_value
most_freq_concept,http://emmo.info/emmo#EMMO_31ec09ba_1713_42cb_83c7_b38bf6f9ced2,single_value
most_freq_concept_incl,http://emmo.info/emmo#EMMO_cbcf8fe6_6da6_49e0_ab4d_00f737ea9689,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,11,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,2,single_value
namespace_axiom_count,prefix_unknown 76,map_value
namespace_axiom_count,rdf 1,map_value
namespace_axiom_count,rdfs 1,map_value
namespace_axiom_count,skos 11,map_value
namespace_axiom_count_incl,dc 6,map_value
namespace_axiom_count_incl,owl 34,map_value
namespace_axiom_count_incl,prefix_unknown 4165,map_value
namespace_axiom_count_incl,rdf 109,map_value
namespace_axiom_count_incl,rdfs 325,map_value
namespace_axiom_count_incl,skos 646,map_value
namespace_axiom_count_incl,xsd 31,map_value
namespace_entity_count,dc 6,map_value
namespace_entity_count,owl 8,map_value
namespace_entity_count,prefix_unknown 597,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 3,map_value
namespace_entity_count,xsd 6,map_value
namespace_entity_count_incl,dc 6,map_value
namespace_entity_count_incl,owl 8,map_value
namespace_entity_count_incl,prefix_unknown 597,map_value
