metric,metric_value,metric_type
abox_axiom_count,6,single_value
abox_axiom_count_incl,7,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,14,single_value
annotation_property_count_incl,36,single_value
assert_n_subclass_avg,0.5555555555555556,single_value
assert_n_subclass_avg_incl,0.00946969696969697,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.1742424242424243,single_value
ax_complexrhs_count,3,single_value
ax_complexrhs_count_incl,315,single_value
axiom_count,73,single_value
axiom_count_incl,3754,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,23,single_value
axiom_type_count,AnnotationAssertion 28,map_value
axiom_type_count,AnnotationPropertyDomain 1,map_value
axiom_type_count,AnnotationPropertyRangeOf 1,map_value
axiom_type_count,ClassAssertion 4,map_value
axiom_type_count,DataPropertyDomain 2,map_value
axiom_type_count,DataPropertyRange 2,map_value
axiom_type_count,Declaration 15,map_value
axiom_type_count,ObjectPropertyAssertion 2,map_value
axiom_type_count,ObjectPropertyDomain 2,map_value
axiom_type_count,ObjectPropertyRange 2,map_value
axiom_type_count,SubAnnotationPropertyOf 1,map_value
axiom_type_count,SubClassOf 8,map_value
axiom_type_count,SubDataPropertyOf 2,map_value
axiom_type_count,SubObjectPropertyOf 3,map_value
axiom_type_count_incl,AnnotationAssertion 1915,map_value
axiom_type_count_incl,AnnotationPropertyDomain 1,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 19,map_value
axiom_type_count_incl,AsymmetricObjectProperty 15,map_value
axiom_type_count_incl,ClassAssertion 5,map_value
axiom_type_count_incl,DataPropertyDomain 4,map_value
axiom_type_count_incl,DataPropertyRange 3,map_value
axiom_type_count_incl,Declaration 613,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,DisjointUnion 28,map_value
axiom_type_count_incl,EquivalentClasses 67,map_value
axiom_type_count_incl,EquivalentObjectProperties 7,map_value
axiom_type_count_incl,FunctionalDataProperty 2,map_value
axiom_type_count_incl,FunctionalObjectProperty 9,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 5,map_value
axiom_type_count_incl,InverseObjectProperties 8,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 16,map_value
axiom_type_count_incl,ObjectPropertyAssertion 2,map_value
axiom_type_count_incl,ObjectPropertyDomain 24,map_value
axiom_type_count_incl,ObjectPropertyRange 32,map_value
axiom_type_count_incl,ReflexiveObjectProperty 1,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 23,map_value
axiom_type_count_incl,SubClassOf 876,map_value
axiom_type_count_incl,SubDataPropertyOf 4,map_value
axiom_type_count_incl,SubObjectPropertyOf 57,map_value
axiom_type_count_incl,SymmetricObjectProperty 8,map_value
axiom_type_count_incl,TransitiveObjectProperty 9,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyDomain,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyDomain,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentObjectProperties,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,ReflexiveObjectProperty,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,9,single_value
class_count_incl,528,single_value
class_expression_count,Class 30,map_value
class_expression_count,DataExactCardinality 1,map_value
class_expression_count,ObjectSomeValuesFrom 2,map_value
class_expression_count_incl,Class 2523,map_value
class_expression_count_incl,DataAllValuesFrom 3,map_value
class_expression_count_incl,DataExactCardinality 4,map_value
class_expression_count_incl,DataHasValue 128,map_value
class_expression_count_incl,DataSomeValuesFrom 4,map_value
class_expression_count_incl,ObjectAllValuesFrom 60,map_value
class_expression_count_incl,ObjectComplementOf 5,map_value
class_expression_count_incl,ObjectExactCardinality 5,map_value
class_expression_count_incl,ObjectHasValue 1,map_value
class_expression_count_incl,ObjectIntersectionOf 9,map_value
class_expression_count_incl,ObjectSomeValuesFrom 118,map_value
class_expression_count_incl,ObjectUnionOf 13,map_value
class_sgl_subcl_count,3,single_value
class_sgl_subcl_count_incl,3,single_value
constructs,AL,list_value
constructs,D,list_value
constructs,E,list_value
constructs,H,list_value
constructs,Q,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,O,list_value
constructs_incl,Q,list_value
constructs_incl,R,list_value
constructs_incl,S,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,3,single_value
dataproperty_count_incl,5,single_value
datatypes_axiom_count,XSD_ANY_URI 2,map_value
datatypes_axiom_count,XSD_STRING 1,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 108,map_value
datatypes_axiom_count_incl,XSD_ANY_URI 2,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 3,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 23,map_value
datatypes_axiom_count_incl,XSD_INTEGER 3,map_value
datatypes_axiom_count_incl,XSD_STRING 3,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,3,single_value
