metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,2,single_value
annotation_property_count_incl,2,single_value
assert_n_subclass_avg,0.9938461538461538,single_value
assert_n_subclass_avg_incl,0.9938461538461538,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,109,single_value
ax_complexrhs_count_incl,109,single_value
axiom_count,2067,single_value
axiom_count_incl,2067,single_value
axiom_length_max,8,single_value
axiom_length_max_incl,8,single_value
axiom_type_count,AnnotationAssertion 646,map_value
axiom_type_count,Declaration 402,map_value
axiom_type_count,DisjointClasses 363,map_value
axiom_type_count,ObjectPropertyDomain 75,map_value
axiom_type_count,ObjectPropertyRange 73,map_value
axiom_type_count,SubClassOf 432,map_value
axiom_type_count,SubObjectPropertyOf 76,map_value
axiom_type_count_incl,AnnotationAssertion 646,map_value
axiom_type_count_incl,Declaration 402,map_value
axiom_type_count_incl,DisjointClasses 363,map_value
axiom_type_count_incl,ObjectPropertyDomain 75,map_value
axiom_type_count_incl,ObjectPropertyRange 73,map_value
axiom_type_count_incl,SubClassOf 432,map_value
axiom_type_count_incl,SubObjectPropertyOf 76,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,325,single_value
class_count_incl,325,single_value
class_expression_count,Class 2098,map_value
class_expression_count,ObjectAllValuesFrom 88,map_value
class_expression_count,ObjectExactCardinality 21,map_value
class_expression_count,ObjectUnionOf 23,map_value
class_expression_count_incl,Class 2098,map_value
class_expression_count_incl,ObjectAllValuesFrom 88,map_value
class_expression_count_incl,ObjectExactCardinality 21,map_value
class_expression_count_incl,ObjectUnionOf 23,map_value
class_sgl_subcl_count,34,single_value
class_sgl_subcl_count_incl,34,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_UNION,list_value
constructs,N,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,N,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,0,single_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,1,single_value
datatypes_count_incl,1,single_value
dt_builtin_count,1,single_value
dt_builtin_count_incl,1,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRCUUNIVRESTRHN,single_value
expressivity_incl,RRESTRCUUNIVRESTRHN,single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,1019,single_value
logical_axiom_count_incl,1019,single_value
most_freq_concept,http://www.hozo.jp/owl/EXPOApr19.xml/Language,single_value
most_freq_concept_incl,http://www.hozo.jp/owl/EXPOApr19.xml/Language,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,owl 21,map_value
namespace_axiom_count,prefix_unknown 2564,map_value
namespace_axiom_count,rdfs 646,map_value
namespace_axiom_count_incl,owl 21,map_value
namespace_axiom_count_incl,prefix_unknown 2564,map_value
namespace_axiom_count_incl,rdfs 646,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 402,map_value
namespace_entity_count,rdfs 2,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 402,map_value
namespace_entity_count_incl,rdfs 2,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,78,single_value
obj_property_count_incl,78,single_value
ontology_anno_count,1,single_value
ontology_iri,http://www.hozo.jp/owl/EXPOApr19.xml/,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,76,single_value
rbox_axiom_count_incl,76,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,406,single_value
signature_entity_count_incl,406,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,943,single_value
tbox_axiom_count_incl,943,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,1019,single_value
tboxrbox_axiom_count_incl,1019,single_value
undecl_entity_count,4,single_value
undecl_entity_count_incl,4,single_value
