metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,10,single_value
annotation_property_count_incl,10,single_value
assert_n_subclass_avg,0.0,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,393,single_value
axiom_count_incl,393,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 245,map_value
axiom_type_count,DataPropertyRange 21,map_value
axiom_type_count,Declaration 75,map_value
axiom_type_count,FunctionalDataProperty 3,map_value
axiom_type_count,FunctionalObjectProperty 1,map_value
axiom_type_count,InverseFunctionalObjectProperty 12,map_value
axiom_type_count,InverseObjectProperties 4,map_value
axiom_type_count,ObjectPropertyDomain 8,map_value
axiom_type_count,ObjectPropertyRange 12,map_value
axiom_type_count,SubObjectPropertyOf 12,map_value
axiom_type_count_incl,AnnotationAssertion 245,map_value
axiom_type_count_incl,DataPropertyRange 21,map_value
axiom_type_count_incl,Declaration 75,map_value
axiom_type_count_incl,FunctionalDataProperty 3,map_value
axiom_type_count_incl,FunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 12,map_value
axiom_type_count_incl,InverseObjectProperties 4,map_value
axiom_type_count_incl,ObjectPropertyDomain 8,map_value
axiom_type_count_incl,ObjectPropertyRange 12,map_value
axiom_type_count_incl,SubObjectPropertyOf 12,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,1,single_value
class_count_incl,1,single_value
class_expression_count,Class 20,map_value
class_expression_count_incl,Class 20,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,D,list_value
constructs,F,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,D,list_value
constructs_incl,F,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_INVERSE,list_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
dataproperty_count,27,single_value
dataproperty_count_incl,27,single_value
datatypes_axiom_count,RDFS_LITERAL 21,map_value
datatypes_axiom_count_incl,RDFS_LITERAL 21,map_value
datatypes_builtin,RDFS_LITERAL,list_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,RDFS_LITERAL,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_count,2,single_value
datatypes_count_incl,2,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,2,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRHIF(D),single_value
expressivity_incl,RRESTRHIF(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,73,single_value
logical_axiom_count_incl,73,single_value
most_freq_concept,,single_value
most_freq_concept_incl,,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,dc11 3,map_value
namespace_axiom_count,foaf 158,map_value
namespace_axiom_count,owl 20,map_value
namespace_axiom_count,prefix_unknown 64,map_value
namespace_axiom_count,rdfs 205,map_value
namespace_axiom_count_incl,dc11 3,map_value
namespace_axiom_count_incl,foaf 158,map_value
namespace_axiom_count_incl,owl 20,map_value
namespace_axiom_count_incl,prefix_unknown 64,map_value
namespace_axiom_count_incl,rdfs 205,map_value
namespace_entity_count,dc11 3,map_value
namespace_entity_count,foaf 70,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 3,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count_incl,dc11 3,map_value
namespace_entity_count_incl,foaf 70,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 3,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
obj_property_count,42,single_value
obj_property_count_incl,42,single_value
ontology_anno_count,2,single_value
ontology_iri,http://xmlns.com/foaf/0.1/,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,IllegalPunning 38,map_value
owl2dl_profile_violation,UseOfUndeclaredObjectProperty 5,map_value
rbox_axiom_count,16,single_value
rbox_axiom_count_incl,16,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,82,single_value
signature_entity_count_incl,82,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,41,single_value
tautology_count_incl,41,single_value
tbox_axiom_count,57,single_value
tbox_axiom_count_incl,57,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,73,single_value
tboxrbox_axiom_count_incl,73,single_value
undecl_entity_count,7,single_value
undecl_entity_count_incl,7,single_value
