metric,metric_value,metric_type
abox_axiom_count,3,single_value
abox_axiom_count_incl,3,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,29,single_value
annotation_property_count_incl,29,single_value
assert_n_subclass_avg,1.439252336448598,single_value
assert_n_subclass_avg_incl,1.439252336448598,single_value
assert_n_superclass_avg,1.4413291796469367,single_value
assert_n_superclass_avg_incl,1.4413291796469367,single_value
ax_complexrhs_count,902,single_value
ax_complexrhs_count_incl,902,single_value
axiom_count,6249,single_value
axiom_count_incl,6249,single_value
axiom_length_max,23,single_value
axiom_length_max_incl,23,single_value
axiom_type_count,AnnotationAssertion 2532,map_value
axiom_type_count,AsymmetricObjectProperty 7,map_value
axiom_type_count,ClassAssertion 3,map_value
axiom_type_count,DataPropertyDomain 4,map_value
axiom_type_count,DataPropertyRange 3,map_value
axiom_type_count,Declaration 1077,map_value
axiom_type_count,DisjointClasses 3,map_value
axiom_type_count,DisjointUnion 36,map_value
axiom_type_count,EquivalentClasses 98,map_value
axiom_type_count,FunctionalDataProperty 4,map_value
axiom_type_count,InverseFunctionalObjectProperty 5,map_value
axiom_type_count,InverseObjectProperties 11,map_value
axiom_type_count,IrrefexiveObjectProperty 14,map_value
axiom_type_count,ObjectPropertyDomain 52,map_value
axiom_type_count,ObjectPropertyRange 59,map_value
axiom_type_count,ReflexiveObjectProperty 1,map_value
axiom_type_count,SubClassOf 2207,map_value
axiom_type_count,SubDataPropertyOf 1,map_value
axiom_type_count,SubObjectPropertyOf 115,map_value
axiom_type_count,SymmetricObjectProperty 11,map_value
axiom_type_count,TransitiveObjectProperty 6,map_value
axiom_type_count_incl,AnnotationAssertion 2532,map_value
axiom_type_count_incl,AsymmetricObjectProperty 7,map_value
axiom_type_count_incl,ClassAssertion 3,map_value
axiom_type_count_incl,DataPropertyDomain 4,map_value
axiom_type_count_incl,DataPropertyRange 3,map_value
axiom_type_count_incl,Declaration 1077,map_value
axiom_type_count_incl,DisjointClasses 3,map_value
axiom_type_count_incl,DisjointUnion 36,map_value
axiom_type_count_incl,EquivalentClasses 98,map_value
axiom_type_count_incl,FunctionalDataProperty 4,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 5,map_value
axiom_type_count_incl,InverseObjectProperties 11,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 14,map_value
axiom_type_count_incl,ObjectPropertyDomain 52,map_value
axiom_type_count_incl,ObjectPropertyRange 59,map_value
axiom_type_count_incl,ReflexiveObjectProperty 1,map_value
axiom_type_count_incl,SubClassOf 2207,map_value
axiom_type_count_incl,SubDataPropertyOf 1,map_value
axiom_type_count_incl,SubObjectPropertyOf 115,map_value
axiom_type_count_incl,SymmetricObjectProperty 11,map_value
axiom_type_count_incl,TransitiveObjectProperty 6,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AsymmetricObjectProperty,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,DisjointUnion,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,IrrefexiveObjectProperty,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,ReflexiveObjectProperty,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,ReflexiveObjectProperty,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,963,single_value
class_count_incl,963,single_value
class_expression_count,Class 5450,map_value
class_expression_count,DataAllValuesFrom 3,map_value
class_expression_count,DataExactCardinality 3,map_value
class_expression_count,DataHasValue 494,map_value
class_expression_count,DataSomeValuesFrom 4,map_value
class_expression_count,ObjectAllValuesFrom 46,map_value
class_expression_count,ObjectComplementOf 5,map_value
class_expression_count,ObjectExactCardinality 5,map_value
class_expression_count,ObjectHasValue 1,map_value
class_expression_count,ObjectIntersectionOf 16,map_value
class_expression_count,ObjectSomeValuesFrom 336,map_value
class_expression_count,ObjectUnionOf 35,map_value
class_expression_count_incl,Class 5450,map_value
class_expression_count_incl,DataAllValuesFrom 3,map_value
class_expression_count_incl,DataExactCardinality 3,map_value
class_expression_count_incl,DataHasValue 494,map_value
class_expression_count_incl,DataSomeValuesFrom 4,map_value
class_expression_count_incl,ObjectAllValuesFrom 46,map_value
class_expression_count_incl,ObjectComplementOf 5,map_value
class_expression_count_incl,ObjectExactCardinality 5,map_value
class_expression_count_incl,ObjectHasValue 1,map_value
class_expression_count_incl,ObjectIntersectionOf 16,map_value
class_expression_count_incl,ObjectSomeValuesFrom 336,map_value
class_expression_count_incl,ObjectUnionOf 35,map_value
class_sgl_subcl_count,73,single_value
class_sgl_subcl_count_incl,73,single_value
constructs,D,list_value
constructs,I,list_value
constructs,O,list_value
constructs,Q,list_value
constructs,R,list_value
constructs,S,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,O,list_value
constructs_incl,Q,list_value
constructs_incl,R,list_value
constructs_incl,S,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,5,single_value
dataproperty_count_incl,5,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 120,map_value
datatypes_axiom_count,XSD_BOOLEAN 3,map_value
datatypes_axiom_count,XSD_DECIMAL 119,map_value
datatypes_axiom_count,XSD_DOUBLE 23,map_value
datatypes_axiom_count,XSD_INTEGER 122,map_value
datatypes_axiom_count,XSD_STRING 120,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 120,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 3,map_value
datatypes_axiom_count_incl,XSD_DECIMAL 119,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 23,map_value
datatypes_axiom_count_incl,XSD_INTEGER 122,map_value
datatypes_axiom_count_incl,XSD_STRING 120,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin,XSD_DECIMAL,list_value
datatypes_builtin,XSD_DOUBLE,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DECIMAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,8,single_value
datatypes_count_incl,8,single_value
dt_builtin_count,8,single_value
dt_builtin_count_incl,8,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,SROIQ(D),single_value
expressivity_incl,SROIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,98,single_value
gci_hidden_count_incl,98,single_value
individual_count,1,single_value
individual_count_incl,1,single_value
instance_per_class_avg,0.003115264797507788,single_value
instance_per_class_avg_incl,0.003115264797507788,single_value
logical_axiom_count,2640,single_value
logical_axiom_count_incl,2640,single_value
most_freq_concept,http://emmo.info/emmo/domain/periodic-table#EMMO_36a32a8c-8307-5b09-adcb-bbaeb9e36b49,single_value
most_freq_concept_incl,http://emmo.info/emmo/domain/periodic-table#EMMO_36a32a8c-8307-5b09-adcb-bbaeb9e36b49,single_value
multiple_inheritance_count,19,single_value
multiple_inheritance_count_incl,19,single_value
named_supercl_count_max,2,single_value
named_supercl_count_max_incl,2,single_value
namespace_axiom_count,dc 6,map_value
namespace_axiom_count,owl 29,map_value
namespace_axiom_count,prefix_unknown 7964,map_value
namespace_axiom_count,rdf 120,map_value
namespace_axiom_count,rdfs 305,map_value
namespace_axiom_count,skos 1158,map_value
namespace_axiom_count,xsd 387,map_value
namespace_axiom_count_incl,dc 6,map_value
namespace_axiom_count_incl,owl 29,map_value
namespace_axiom_count_incl,prefix_unknown 7964,map_value
namespace_axiom_count_incl,rdf 120,map_value
namespace_axiom_count_incl,rdfs 305,map_value
namespace_axiom_count_incl,skos 1158,map_value
namespace_axiom_count_incl,xsd 387,map_value
namespace_entity_count,dc 6,map_value
namespace_entity_count,owl 6,map_value
namespace_entity_count,prefix_unknown 1066,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 2,map_value
namespace_entity_count,xsd 7,map_value
namespace_entity_count_incl,dc 6,map_value
namespace_entity_count_incl,owl 6,map_value
namespace_entity_count_incl,prefix_unknown 1066,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 2,map_value
namespace_entity_count_incl,xsd 7,map_value
obj_property_count,86,single_value
obj_property_count_incl,86,single_value
ontology_anno_count,74,single_value
ontology_iri,https://gpo.ontology.link,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfReservedVocabularyForAnnotationPropertyIRI 17,map_value
rbox_axiom_count,166,single_value
rbox_axiom_count_incl,166,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,1092,single_value
signature_entity_count_incl,1092,single_value
syntax,Turtle,single_value
tautology_count,6,single_value
tautology_count_incl,6,single_value
tbox_axiom_count,2471,single_value
tbox_axiom_count_incl,2471,single_value
tbox_nominals,true,single_value
tbox_nominals_incl,true,single_value
tboxrbox_axiom_count,2637,single_value
tboxrbox_axiom_count_incl,2637,single_value
undecl_entity_count,15,single_value
undecl_entity_count_incl,15,single_value
