metric,metric_value,metric_type
abox_axiom_count,22,single_value
abox_axiom_count_incl,22,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,72,single_value
annotation_property_count_incl,72,single_value
assert_n_subclass_avg,0.9962121212121212,single_value
assert_n_subclass_avg_incl,0.9962121212121212,single_value
assert_n_superclass_avg,1.003787878787879,single_value
assert_n_superclass_avg_incl,1.003787878787879,single_value
ax_complexrhs_count,94,single_value
ax_complexrhs_count_incl,94,single_value
axiom_count,3718,single_value
axiom_count_incl,3718,single_value
axiom_length_max,10,single_value
axiom_length_max_incl,10,single_value
axiom_type_count,AnnotationAssertion 2777,map_value
axiom_type_count,AnnotationPropertyRangeOf 1,map_value
axiom_type_count,ClassAssertion 20,map_value
axiom_type_count,DataPropertyDomain 4,map_value
axiom_type_count,DataPropertyRange 4,map_value
axiom_type_count,Declaration 410,map_value
axiom_type_count,DifferentIndividuals 2,map_value
axiom_type_count,DisjointClasses 21,map_value
axiom_type_count,EquivalentClasses 13,map_value
axiom_type_count,EquivalentObjectProperties 3,map_value
axiom_type_count,FunctionalDataProperty 4,map_value
axiom_type_count,FunctionalObjectProperty 4,map_value
axiom_type_count,InverseFunctionalObjectProperty 1,map_value
axiom_type_count,InverseObjectProperties 18,map_value
axiom_type_count,IrrefexiveObjectProperty 1,map_value
axiom_type_count,ObjectPropertyDomain 24,map_value
axiom_type_count,ObjectPropertyRange 24,map_value
axiom_type_count,Rule 4,map_value
axiom_type_count,SubAnnotationPropertyOf 7,map_value
axiom_type_count,SubClassOf 344,map_value
axiom_type_count,SubObjectPropertyOf 26,map_value
axiom_type_count,SubPropertyChainOf 2,map_value
axiom_type_count,TransitiveObjectProperty 4,map_value
axiom_type_count_incl,AnnotationAssertion 2777,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 1,map_value
axiom_type_count_incl,ClassAssertion 20,map_value
axiom_type_count_incl,DataPropertyDomain 4,map_value
axiom_type_count_incl,DataPropertyRange 4,map_value
axiom_type_count_incl,Declaration 410,map_value
axiom_type_count_incl,DifferentIndividuals 2,map_value
axiom_type_count_incl,DisjointClasses 21,map_value
axiom_type_count_incl,EquivalentClasses 13,map_value
axiom_type_count_incl,EquivalentObjectProperties 3,map_value
axiom_type_count_incl,FunctionalDataProperty 4,map_value
axiom_type_count_incl,FunctionalObjectProperty 4,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 18,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 1,map_value
axiom_type_count_incl,ObjectPropertyDomain 24,map_value
axiom_type_count_incl,ObjectPropertyRange 24,map_value
axiom_type_count_incl,Rule 4,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 7,map_value
axiom_type_count_incl,SubClassOf 344,map_value
axiom_type_count_incl,SubObjectPropertyOf 26,map_value
axiom_type_count_incl,SubPropertyChainOf 2,map_value
axiom_type_count_incl,TransitiveObjectProperty 4,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DifferentIndividuals,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,EquivalentObjectProperties,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,IrrefexiveObjectProperty,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,Rule,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DifferentIndividuals,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentObjectProperties,list_value
