metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,16,single_value
annotation_property_count_incl,16,single_value
assert_n_subclass_avg,0.5,single_value
assert_n_subclass_avg_incl,0.5,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,69,single_value
axiom_count_incl,69,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 37,map_value
axiom_type_count,AnnotationPropertyRangeOf 1,map_value
axiom_type_count,Declaration 19,map_value
axiom_type_count,SubAnnotationPropertyOf 9,map_value
axiom_type_count,SubClassOf 3,map_value
axiom_type_count_incl,AnnotationAssertion 37,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 1,map_value
axiom_type_count_incl,Declaration 19,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 9,map_value
axiom_type_count_incl,SubClassOf 3,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,Declaration,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,6,single_value
class_count_incl,6,single_value
class_expression_count,Class 12,map_value
class_expression_count_incl,Class 12,map_value
class_sgl_subcl_count,1,single_value
class_sgl_subcl_count_incl,1,single_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,0,single_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,2,single_value
datatypes_count_incl,2,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,2,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,,single_value
expressivity_incl,,single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,3,single_value
logical_axiom_count_incl,3,single_value
most_freq_concept,http://purls.helmholtz-metadaten.de/cdos/ldo/LineDefect,single_value
most_freq_concept_incl,http://purls.helmholtz-metadaten.de/cdos/ldo/LineDefect,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,dc 11,map_value
namespace_axiom_count,dc11 8,map_value
namespace_axiom_count,prefix_unknown 12,map_value
namespace_axiom_count,rdfs 28,map_value
namespace_axiom_count,skos 22,map_value
namespace_axiom_count_incl,dc 11,map_value
namespace_axiom_count_incl,dc11 8,map_value
namespace_axiom_count_incl,prefix_unknown 12,map_value
namespace_axiom_count_incl,rdfs 28,map_value
namespace_axiom_count_incl,skos 22,map_value
namespace_entity_count,dc 4,map_value
namespace_entity_count,dc11 4,map_value
namespace_entity_count,prefix_unknown 6,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,skos 5,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,dc 4,map_value
namespace_entity_count_incl,dc11 4,map_value
namespace_entity_count_incl,prefix_unknown 6,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,skos 5,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,0,single_value
obj_property_count_incl,0,single_value
ontology_anno_count,3,single_value
ontology_iri,http://purls.helmholtz-metadaten.de/cdos/ldo,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,true,single_value
owl2_ql,true,single_value
owl2_rl,true,single_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,true,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,24,single_value
signature_entity_count_incl,24,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,3,single_value
tbox_axiom_count_incl,3,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,3,single_value
tboxrbox_axiom_count_incl,3,single_value
undecl_entity_count,5,single_value
undecl_entity_count_incl,5,single_value
