metric,metric_value,metric_type
abox_axiom_count,83,single_value
abox_axiom_count_incl,83,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,0,single_value
annotation_property_count_incl,0,single_value
assert_n_subclass_avg,0.3548387096774194,single_value
assert_n_subclass_avg_incl,0.3548387096774194,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,4,single_value
ax_complexrhs_count_incl,4,single_value
axiom_count,366,single_value
axiom_count_incl,366,single_value
axiom_length_max,6,single_value
axiom_length_max_incl,6,single_value
axiom_type_count,ClassAssertion 21,map_value
axiom_type_count,DataPropertyAssertion 44,map_value
axiom_type_count,DataPropertyDomain 32,map_value
axiom_type_count,DataPropertyRange 26,map_value
axiom_type_count,Declaration 111,map_value
axiom_type_count,DisjointClasses 17,map_value
axiom_type_count,FunctionalDataProperty 4,map_value
axiom_type_count,InverseObjectProperties 4,map_value
axiom_type_count,ObjectPropertyAssertion 18,map_value
axiom_type_count,ObjectPropertyDomain 22,map_value
axiom_type_count,ObjectPropertyRange 24,map_value
axiom_type_count,SubClassOf 15,map_value
axiom_type_count,SubDataPropertyOf 18,map_value
axiom_type_count,SubObjectPropertyOf 7,map_value
axiom_type_count,TransitiveObjectProperty 3,map_value
axiom_type_count_incl,ClassAssertion 21,map_value
axiom_type_count_incl,DataPropertyAssertion 44,map_value
axiom_type_count_incl,DataPropertyDomain 32,map_value
axiom_type_count_incl,DataPropertyRange 26,map_value
axiom_type_count_incl,Declaration 111,map_value
axiom_type_count_incl,DisjointClasses 17,map_value
axiom_type_count_incl,FunctionalDataProperty 4,map_value
axiom_type_count_incl,InverseObjectProperties 4,map_value
axiom_type_count_incl,ObjectPropertyAssertion 18,map_value
axiom_type_count_incl,ObjectPropertyDomain 22,map_value
axiom_type_count_incl,ObjectPropertyRange 24,map_value
axiom_type_count_incl,SubClassOf 15,map_value
axiom_type_count_incl,SubDataPropertyOf 18,map_value
axiom_type_count_incl,SubObjectPropertyOf 7,map_value
axiom_type_count_incl,TransitiveObjectProperty 3,map_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
