metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,2,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,10,single_value
annotation_property_count_incl,12,single_value
assert_n_subclass_avg,NaN,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,NaN,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,36,single_value
axiom_count,7,single_value
axiom_count_incl,458,single_value
axiom_length_max,0,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,Declaration 7,map_value
axiom_type_count_incl,AnnotationAssertion 177,map_value
axiom_type_count_incl,ClassAssertion 2,map_value
axiom_type_count_incl,DataPropertyDomain 30,map_value
axiom_type_count_incl,DataPropertyRange 31,map_value
axiom_type_count_incl,Declaration 113,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,ObjectPropertyDomain 26,map_value
axiom_type_count_incl,ObjectPropertyRange 29,map_value
axiom_type_count_incl,SubClassOf 49,map_value
axiom_types,Declaration,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,0,single_value
class_count_incl,37,single_value
class_expression_count_incl,Class 219,map_value
class_expression_count_incl,DataExactCardinality 14,map_value
class_expression_count_incl,ObjectAllValuesFrom 19,map_value
class_expression_count_incl,ObjectExactCardinality 15,map_value
class_expression_count_incl,ObjectIntersectionOf 19,map_value
class_expression_count_incl,ObjectMaxCardinality 2,map_value
class_expression_count_incl,ObjectSomeValuesFrom 11,map_value
class_expression_count_incl,ObjectUnionOf 5,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs_incl,AL,list_value
constructs_incl,C,list_value
constructs_incl,D,list_value
constructs_incl,Q,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,32,single_value
datatypes_axiom_count_incl,XSD_ANY_URI 2,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 1,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 21,map_value
datatypes_axiom_count_incl,XSD_INTEGER 2,map_value
datatypes_axiom_count_incl,XSD_STRING 19,map_value
datatypes_axiom_count_incl,rdf:List 1,map_value
datatypes_axiom_count_incl,xsd:date 1,map_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,0,single_value
datatypes_count_incl,8,single_value
datatypes_not_built_in_incl,rdf:List,list_value
datatypes_not_built_in_incl,xsd:date,list_value
dt_builtin_count,0,single_value
dt_builtin_count_incl,6,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,2,single_value
expressivity,AL,single_value
expressivity_incl,ALCQ(D),single_value
gci_count,0,single_value
