metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,8,single_value
annotation_property_count_incl,8,single_value
assert_n_subclass_avg,0.859375,single_value
assert_n_subclass_avg_incl,0.859375,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,1698,single_value
axiom_count_incl,1698,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 890,map_value
axiom_type_count,DataPropertyDomain 139,map_value
axiom_type_count,DataPropertyRange 5,map_value
axiom_type_count,Declaration 268,map_value
axiom_type_count,ObjectPropertyDomain 71,map_value
axiom_type_count,ObjectPropertyRange 105,map_value
axiom_type_count,SubClassOf 220,map_value
axiom_type_count_incl,AnnotationAssertion 890,map_value
axiom_type_count_incl,DataPropertyDomain 139,map_value
axiom_type_count_incl,DataPropertyRange 5,map_value
axiom_type_count_incl,Declaration 268,map_value
axiom_type_count_incl,ObjectPropertyDomain 71,map_value
axiom_type_count_incl,ObjectPropertyRange 105,map_value
axiom_type_count_incl,SubClassOf 220,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,256,single_value
class_count_incl,256,single_value
class_expression_count,Class 1011,map_value
class_expression_count_incl,Class 1011,map_value
class_sgl_subcl_count,22,single_value
class_sgl_subcl_count_incl,22,single_value
constructs,D,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs_incl,D,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,1,single_value
dataproperty_count_incl,1,single_value
datatypes_axiom_count,XSD_BOOLEAN 1,map_value
datatypes_axiom_count,XSD_FLOAT 1,map_value
datatypes_axiom_count,XSD_INTEGER 1,map_value
datatypes_axiom_count,XSD_STRING 1,map_value
datatypes_axiom_count,xsd:Sequence 1,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 1,map_value
datatypes_axiom_count_incl,XSD_FLOAT 1,map_value
datatypes_axiom_count_incl,XSD_INTEGER 1,map_value
datatypes_axiom_count_incl,XSD_STRING 1,map_value
datatypes_axiom_count_incl,xsd:Sequence 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin,XSD_FLOAT,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_FLOAT,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,6,single_value
datatypes_count_incl,6,single_value
datatypes_not_built_in,xsd:Sequence,list_value
datatypes_not_built_in_incl,xsd:Sequence,list_value
dt_builtin_count,5,single_value
dt_builtin_count_incl,5,single_value
dt_notbuiltin_count,1,single_value
dt_notbuiltin_count_incl,1,single_value
expressivity,RRESTR(D),single_value
expressivity_incl,RRESTR(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,540,single_value
logical_axiom_count_incl,540,single_value
most_freq_concept,https://w3id.org/pmd/co/WorkingRange,single_value
most_freq_concept_incl,https://w3id.org/pmd/co/WorkingRange,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,prefix_unknown 1390,map_value
namespace_axiom_count,rdfs 339,map_value
namespace_axiom_count,skos 504,map_value
namespace_axiom_count,xsd 5,map_value
namespace_axiom_count_incl,prefix_unknown 1390,map_value
namespace_axiom_count_incl,rdfs 339,map_value
namespace_axiom_count_incl,skos 504,map_value
namespace_axiom_count_incl,xsd 5,map_value
namespace_entity_count,dc 3,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 269,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 1,map_value
namespace_entity_count,skos 2,map_value
namespace_entity_count,xsd 5,map_value
namespace_entity_count_incl,dc 3,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 269,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 1,map_value
namespace_entity_count_incl,skos 2,map_value
namespace_entity_count_incl,xsd 5,map_value
obj_property_count,11,single_value
obj_property_count_incl,11,single_value
ontology_anno_count,14,single_value
ontology_iri,https://cwrusdle.bitbucket.io/mds#Ontology,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 563,map_value
owl2dl_profile_violation,UseOfUndeclaredDatatype 1,map_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,true,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,282,single_value
signature_entity_count_incl,282,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,540,single_value
tbox_axiom_count_incl,540,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,540,single_value
tboxrbox_axiom_count_incl,540,single_value
undecl_entity_count,14,single_value
undecl_entity_count_incl,14,single_value
