metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,2070,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,14,single_value
annotation_property_count_incl,69,single_value
assert_n_subclass_avg,0.7951219512195122,single_value
assert_n_subclass_avg_incl,0.1026448362720403,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,157,single_value
axiom_count,830,single_value
axiom_count_incl,15307,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,5,single_value
axiom_type_count,AnnotationAssertion 391,map_value
axiom_type_count,DataPropertyDomain 4,map_value
axiom_type_count,DataPropertyRange 7,map_value
axiom_type_count,Declaration 206,map_value
axiom_type_count,EquivalentClasses 2,map_value
axiom_type_count,EquivalentDataProperties 4,map_value
axiom_type_count,EquivalentObjectProperties 4,map_value
axiom_type_count,ObjectPropertyDomain 4,map_value
axiom_type_count,ObjectPropertyRange 13,map_value
axiom_type_count,SubClassOf 163,map_value
axiom_type_count,SubDataPropertyOf 10,map_value
axiom_type_count,SubObjectPropertyOf 22,map_value
axiom_type_count_incl,AnnotationAssertion 8388,map_value
axiom_type_count_incl,AsymmetricObjectProperty 6,map_value
axiom_type_count_incl,ClassAssertion 516,map_value
axiom_type_count_incl,DataPropertyAssertion 731,map_value
axiom_type_count_incl,DataPropertyDomain 12,map_value
axiom_type_count_incl,DataPropertyRange 16,map_value
axiom_type_count_incl,Declaration 2315,map_value
axiom_type_count_incl,DisjointClasses 35,map_value
axiom_type_count_incl,DisjointObjectProperties 5,map_value
axiom_type_count_incl,EquivalentClasses 54,map_value
axiom_type_count_incl,EquivalentDataProperties 4,map_value
axiom_type_count_incl,EquivalentObjectProperties 4,map_value
axiom_type_count_incl,FunctionalObjectProperty 9,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 9,map_value
axiom_type_count_incl,InverseObjectProperties 128,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 9,map_value
axiom_type_count_incl,ObjectPropertyAssertion 823,map_value
axiom_type_count_incl,ObjectPropertyDomain 137,map_value
axiom_type_count_incl,ObjectPropertyRange 148,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 14,map_value
axiom_type_count_incl,SubClassOf 1683,map_value
