metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,6,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,3,single_value
annotation_property_count_incl,21,single_value
assert_n_subclass_avg,0.9634146341463414,single_value
assert_n_subclass_avg_incl,0.7669902912621359,single_value
assert_n_superclass_avg,1.024390243902439,single_value
assert_n_superclass_avg_incl,1.0194174757281553,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,73,single_value
axiom_count,181,single_value
axiom_count_incl,706,single_value
axiom_length_max,11,single_value
axiom_length_max_incl,11,single_value
axiom_type_count,Declaration 84,map_value
axiom_type_count,DisjointClasses 18,map_value
axiom_type_count,SubClassOf 79,map_value
axiom_type_count_incl,AnnotationAssertion 341,map_value
axiom_type_count_incl,ClassAssertion 6,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 160,map_value
axiom_type_count_incl,DisjointClasses 18,map_value
axiom_type_count_incl,FunctionalObjectProperty 2,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 13,map_value
axiom_type_count_incl,SubClassOf 159,map_value
axiom_type_count_incl,SubObjectPropertyOf 1,map_value
axiom_type_count_incl,SubPropertyChainOf 4,map_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,82,single_value
class_count_incl,103,single_value
class_expression_count,Class 319,map_value
class_expression_count_incl,Class 502,map_value
class_expression_count_incl,DataExactCardinality 3,map_value
class_expression_count_incl,ObjectAllValuesFrom 48,map_value
class_expression_count_incl,ObjectExactCardinality 9,map_value
class_expression_count_incl,ObjectMinCardinality 13,map_value
class_sgl_subcl_count,3,single_value
class_sgl_subcl_count_incl,3,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,D,list_value
constructs_incl,N,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
