metric,metric_value,metric_type
abox_axiom_count,390,single_value
abox_axiom_count_incl,390,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,17,single_value
annotation_property_count_incl,17,single_value
assert_n_subclass_avg,1.0058962264150944,single_value
assert_n_subclass_avg_incl,1.0058962264150944,single_value
assert_n_superclass_avg,1.0106132075471699,single_value
assert_n_superclass_avg_incl,1.0106132075471699,single_value
ax_complexrhs_count,610,single_value
ax_complexrhs_count_incl,610,single_value
axiom_count,5235,single_value
axiom_count_incl,5235,single_value
axiom_length_max,119,single_value
axiom_length_max_incl,119,single_value
axiom_type_count,AnnotationAssertion 1841,map_value
axiom_type_count,ClassAssertion 125,map_value
axiom_type_count,DataPropertyAssertion 53,map_value
axiom_type_count,DataPropertyRange 10,map_value
axiom_type_count,Declaration 1074,map_value
axiom_type_count,DisjointClasses 163,map_value
axiom_type_count,DisjointUnion 1,map_value
axiom_type_count,EquivalentClasses 282,map_value
axiom_type_count,FunctionalDataProperty 3,map_value
axiom_type_count,FunctionalObjectProperty 2,map_value
axiom_type_count,InverseObjectProperties 30,map_value
axiom_type_count,ObjectPropertyAssertion 195,map_value
axiom_type_count,ObjectPropertyDomain 68,map_value
axiom_type_count,ObjectPropertyRange 73,map_value
axiom_type_count,SameIndividual 17,map_value
axiom_type_count,SubClassOf 1190,map_value
axiom_type_count,SubDataPropertyOf 3,map_value
axiom_type_count,SubObjectPropertyOf 74,map_value
axiom_type_count,SymmetricObjectProperty 16,map_value
axiom_type_count,TransitiveObjectProperty 15,map_value
axiom_type_count_incl,AnnotationAssertion 1841,map_value
axiom_type_count_incl,ClassAssertion 125,map_value
axiom_type_count_incl,DataPropertyAssertion 53,map_value
axiom_type_count_incl,DataPropertyRange 10,map_value
axiom_type_count_incl,Declaration 1074,map_value
axiom_type_count_incl,DisjointClasses 163,map_value
axiom_type_count_incl,DisjointUnion 1,map_value
axiom_type_count_incl,EquivalentClasses 282,map_value
axiom_type_count_incl,FunctionalDataProperty 3,map_value
axiom_type_count_incl,FunctionalObjectProperty 2,map_value
axiom_type_count_incl,InverseObjectProperties 30,map_value
axiom_type_count_incl,ObjectPropertyAssertion 195,map_value
axiom_type_count_incl,ObjectPropertyDomain 68,map_value
axiom_type_count_incl,ObjectPropertyRange 73,map_value
axiom_type_count_incl,SameIndividual 17,map_value
axiom_type_count_incl,SubClassOf 1190,map_value
axiom_type_count_incl,SubDataPropertyOf 3,map_value
axiom_type_count_incl,SubObjectPropertyOf 74,map_value
axiom_type_count_incl,SymmetricObjectProperty 16,map_value
axiom_type_count_incl,TransitiveObjectProperty 15,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,DisjointUnion,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SameIndividual,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SameIndividual,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,848,single_value
class_count_incl,848,single_value
class_expression_count,Class 5142,map_value
class_expression_count,DataHasValue 144,map_value
class_expression_count,DataSomeValuesFrom 4,map_value
class_expression_count,ObjectAllValuesFrom 96,map_value
class_expression_count,ObjectExactCardinality 20,map_value
class_expression_count,ObjectIntersectionOf 394,map_value
class_expression_count,ObjectMinCardinality 10,map_value
class_expression_count,ObjectSomeValuesFrom 489,map_value
class_expression_count,ObjectUnionOf 66,map_value
class_expression_count_incl,Class 5142,map_value
class_expression_count_incl,DataHasValue 144,map_value
class_expression_count_incl,DataSomeValuesFrom 4,map_value
class_expression_count_incl,ObjectAllValuesFrom 96,map_value
class_expression_count_incl,ObjectExactCardinality 20,map_value
class_expression_count_incl,ObjectIntersectionOf 394,map_value
class_expression_count_incl,ObjectMinCardinality 10,map_value
class_expression_count_incl,ObjectSomeValuesFrom 489,map_value
class_expression_count_incl,ObjectUnionOf 66,map_value
class_sgl_subcl_count,17,single_value
class_sgl_subcl_count_incl,17,single_value
constructs,D,list_value
constructs,H,list_value
constructs,I,list_value
constructs,O,list_value
constructs,Q,list_value
constructs,S,list_value
constructs_incl,D,list_value
constructs_incl,H,list_value
constructs_incl,I,list_value
constructs_incl,O,list_value
constructs_incl,Q,list_value
constructs_incl,S,list_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,13,single_value
dataproperty_count_incl,13,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 19,map_value
datatypes_axiom_count,XSD_DOUBLE 188,map_value
datatypes_axiom_count,XSD_STRING 5,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 19,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 188,map_value
datatypes_axiom_count_incl,XSD_STRING 5,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DOUBLE,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,3,single_value
datatypes_count_incl,3,single_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,SHOIQ(D),single_value
expressivity_incl,SHOIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,280,single_value
gci_hidden_count_incl,280,single_value
individual_count,131,single_value
individual_count_incl,131,single_value
instance_per_class_avg,0.1474056603773585,single_value
instance_per_class_avg_incl,0.1474056603773585,single_value
logical_axiom_count,2320,single_value
logical_axiom_count_incl,2320,single_value
most_freq_concept,http://ontology.dumontierlab.com/Reactant,single_value
most_freq_concept_incl,http://ontology.dumontierlab.com/Reactant,single_value
multiple_inheritance_count,215,single_value
multiple_inheritance_count_incl,215,single_value
named_supercl_count_max,2,single_value
named_supercl_count_max_incl,2,single_value
namespace_axiom_count,dc11 7,map_value
namespace_axiom_count,owl 5,map_value
namespace_axiom_count,prefix_unknown 7332,map_value
namespace_axiom_count,rdf 19,map_value
namespace_axiom_count,rdfs 1771,map_value
namespace_axiom_count,skos 23,map_value
namespace_axiom_count,xsd 193,map_value
namespace_axiom_count_incl,dc11 7,map_value
namespace_axiom_count_incl,owl 5,map_value
namespace_axiom_count_incl,prefix_unknown 7332,map_value
namespace_axiom_count_incl,rdf 19,map_value
namespace_axiom_count_incl,rdfs 1771,map_value
namespace_axiom_count_incl,skos 23,map_value
namespace_axiom_count_incl,xsd 193,map_value
namespace_entity_count,dc11 10,map_value
namespace_entity_count,owl 3,map_value
namespace_entity_count,prefix_unknown 1075,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 2,map_value
namespace_entity_count_incl,dc11 10,map_value
namespace_entity_count_incl,owl 3,map_value
namespace_entity_count_incl,prefix_unknown 1075,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 2,map_value
obj_property_count,83,single_value
obj_property_count_incl,83,single_value
ontology_anno_count,91,single_value
ontology_iri,http://matonto.org/ontologies/matonto,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 154,map_value
rbox_axiom_count,138,single_value
rbox_axiom_count_incl,138,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,1095,single_value
signature_entity_count_incl,1095,single_value
syntax,Turtle,single_value
tautology_count,4,single_value
tautology_count_incl,4,single_value
tbox_axiom_count,1792,single_value
tbox_axiom_count_incl,1792,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,1930,single_value
tboxrbox_axiom_count_incl,1930,single_value
undecl_entity_count,21,single_value
undecl_entity_count_incl,21,single_value
