metric,metric_value,metric_type
abox_axiom_count,20,single_value
abox_axiom_count_incl,50,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,7,single_value
annotation_property_count_incl,46,single_value
assert_n_subclass_avg,0.9011627906976745,single_value
assert_n_subclass_avg_incl,0.08539944903581267,single_value
assert_n_superclass_avg,1.005813953488372,single_value
assert_n_superclass_avg_incl,1.006611570247934,single_value
ax_complexrhs_count,54,single_value
ax_complexrhs_count_incl,526,single_value
axiom_count,814,single_value
axiom_count_incl,14693,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,11,single_value
axiom_type_count,AnnotationAssertion 428,map_value
axiom_type_count,ClassAssertion 20,map_value
axiom_type_count,Declaration 157,map_value
axiom_type_count,SubClassOf 209,map_value
axiom_type_count_incl,AnnotationAssertion 9424,map_value
axiom_type_count_incl,AsymmetricObjectProperty 2,map_value
axiom_type_count_incl,ClassAssertion 48,map_value
axiom_type_count_incl,DataPropertyAssertion 2,map_value
axiom_type_count_incl,DataPropertyDomain 36,map_value
axiom_type_count_incl,DataPropertyRange 36,map_value
axiom_type_count_incl,Declaration 2165,map_value
axiom_type_count_incl,DisjointClasses 82,map_value
axiom_type_count_incl,EquivalentClasses 53,map_value
axiom_type_count_incl,EquivalentDataProperties 10,map_value
axiom_type_count_incl,FunctionalDataProperty 1,map_value
axiom_type_count_incl,FunctionalObjectProperty 16,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 8,map_value
axiom_type_count_incl,InverseObjectProperties 86,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 3,map_value
axiom_type_count_incl,ObjectPropertyDomain 63,map_value
axiom_type_count_incl,ObjectPropertyRange 62,map_value
axiom_type_count_incl,ReflexiveObjectProperty 3,map_value
axiom_type_count_incl,SubClassOf 2266,map_value
axiom_type_count_incl,SubDataPropertyOf 26,map_value
axiom_type_count_incl,SubObjectPropertyOf 237,map_value
axiom_type_count_incl,SubPropertyChainOf 1,map_value
axiom_type_count_incl,SymmetricObjectProperty 35,map_value
axiom_type_count_incl,TransitiveObjectProperty 28,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentDataProperties,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,ReflexiveObjectProperty,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,172,single_value
class_count_incl,1815,single_value
class_expression_count,Class 541,map_value
class_expression_count,ObjectHasValue 54,map_value
class_expression_count_incl,Class 6941,map_value
class_expression_count_incl,DataAllValuesFrom 2,map_value
class_expression_count_incl,DataHasValue 3,map_value
class_expression_count_incl,DataSomeValuesFrom 17,map_value
class_expression_count_incl,ObjectAllValuesFrom 41,map_value
class_expression_count_incl,ObjectComplementOf 7,map_value
class_expression_count_incl,ObjectExactCardinality 27,map_value
class_expression_count_incl,ObjectHasValue 54,map_value
class_expression_count_incl,ObjectIntersectionOf 92,map_value
class_expression_count_incl,ObjectMaxCardinality 2,map_value
class_expression_count_incl,ObjectMinCardinality 28,map_value
class_expression_count_incl,ObjectSomeValuesFrom 419,map_value
class_expression_count_incl,ObjectUnionOf 67,map_value
class_sgl_subcl_count,7,single_value
class_sgl_subcl_count_incl,7,single_value
constructs,AL,list_value
constructs,E,list_value
constructs,O,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,O,list_value
constructs_incl,Q,list_value
constructs_incl,R,list_value
constructs_incl,S,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,schema http://schema.org/,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,56,single_value
datatypes_axiom_count_incl,RDFS_LITERAL 40,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 3,map_value
datatypes_axiom_count_incl,XSD_ANY_URI 1,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 3,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 1,map_value
datatypes_axiom_count_incl,XSD_DECIMAL 1,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 4,map_value
datatypes_axiom_count_incl,XSD_FLOAT 1,map_value
datatypes_axiom_count_incl,XSD_INTEGER 3,map_value
datatypes_axiom_count_incl,XSD_STRING 2,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,RDFS_LITERAL,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_builtin_incl,XSD_DECIMAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_FLOAT,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,1,single_value
datatypes_count_incl,10,single_value
