metric,metric_value,metric_type
abox_axiom_count,20,single_value
abox_axiom_count_incl,20,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,16,single_value
annotation_property_count_incl,16,single_value
assert_n_subclass_avg,0.56,single_value
assert_n_subclass_avg_incl,0.56,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,295,single_value
axiom_count_incl,295,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 204,map_value
axiom_type_count,AnnotationPropertyDomain 6,map_value
axiom_type_count,ClassAssertion 20,map_value
axiom_type_count,DataPropertyDomain 5,map_value
axiom_type_count,DataPropertyRange 11,map_value
axiom_type_count,Declaration 21,map_value
axiom_type_count,ObjectPropertyDomain 6,map_value
axiom_type_count,ObjectPropertyRange 8,map_value
axiom_type_count,SubClassOf 14,map_value
axiom_type_count_incl,AnnotationAssertion 204,map_value
axiom_type_count_incl,AnnotationPropertyDomain 6,map_value
axiom_type_count_incl,ClassAssertion 20,map_value
axiom_type_count_incl,DataPropertyDomain 5,map_value
axiom_type_count_incl,DataPropertyRange 11,map_value
axiom_type_count_incl,Declaration 21,map_value
axiom_type_count_incl,ObjectPropertyDomain 6,map_value
axiom_type_count_incl,ObjectPropertyRange 8,map_value
axiom_type_count_incl,SubClassOf 14,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyDomain,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyDomain,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,25,single_value
class_count_incl,25,single_value
class_expression_count,Class 88,map_value
class_expression_count_incl,Class 88,map_value
class_sgl_subcl_count,4,single_value
class_sgl_subcl_count_incl,4,single_value
constructs,D,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs_incl,D,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
