metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,5,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,5,single_value
annotation_property_count_incl,66,single_value
assert_n_subclass_avg,0.9545454545454546,single_value
assert_n_subclass_avg_incl,0.024837374334713187,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.2779420461265523,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,621,single_value
axiom_count,129,single_value
axiom_count_incl,11901,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,10,single_value
axiom_type_count,AnnotationAssertion 44,map_value
axiom_type_count,Declaration 42,map_value
axiom_type_count,EquivalentClasses 1,map_value
axiom_type_count,SubClassOf 42,map_value
axiom_type_count_incl,AnnotationAssertion 6687,map_value
axiom_type_count_incl,AnnotationPropertyDomain 2,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 17,map_value
axiom_type_count_incl,AsymmetricObjectProperty 22,map_value
axiom_type_count_incl,ClassAssertion 5,map_value
axiom_type_count_incl,DataPropertyDomain 5,map_value
axiom_type_count_incl,DataPropertyRange 5,map_value
axiom_type_count_incl,Declaration 1954,map_value
axiom_type_count_incl,DisjointClasses 30,map_value
axiom_type_count_incl,DisjointObjectProperties 12,map_value
axiom_type_count_incl,DisjointUnion 79,map_value
axiom_type_count_incl,EquivalentClasses 279,map_value
axiom_type_count_incl,FunctionalDataProperty 3,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 2,map_value
axiom_type_count_incl,InverseObjectProperties 9,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 35,map_value
axiom_type_count_incl,ObjectPropertyDomain 97,map_value
axiom_type_count_incl,ObjectPropertyRange 123,map_value
axiom_type_count_incl,Rule 12,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 35,map_value
axiom_type_count_incl,SubClassOf 2226,map_value
axiom_type_count_incl,SubDataPropertyOf 8,map_value
axiom_type_count_incl,SubObjectPropertyOf 235,map_value
axiom_type_count_incl,SymmetricObjectProperty 14,map_value
axiom_type_count_incl,TransitiveObjectProperty 5,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyDomain,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointObjectProperties,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,Rule,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,44,single_value
class_count_incl,1691,single_value
class_expression_count,Class 128,map_value
class_expression_count_incl,Class 7228,map_value
class_expression_count_incl,DataAllValuesFrom 3,map_value
class_expression_count_incl,DataExactCardinality 2,map_value
class_expression_count_incl,DataHasValue 203,map_value
