metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,1,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,10,single_value
annotation_property_count_incl,26,single_value
assert_n_subclass_avg,0.9210526315789473,single_value
assert_n_subclass_avg_incl,0.31343283582089554,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0567164179104478,single_value
ax_complexrhs_count,8,single_value
ax_complexrhs_count_incl,121,single_value
axiom_count,353,single_value
axiom_count_incl,2094,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,6,single_value
axiom_type_count,AnnotationAssertion 130,map_value
axiom_type_count,Declaration 108,map_value
axiom_type_count,EquivalentClasses 2,map_value
axiom_type_count,SubClassOf 112,map_value
axiom_type_count,SubObjectPropertyOf 1,map_value
axiom_type_count_incl,AnnotationAssertion 981,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 12,map_value
axiom_type_count_incl,AsymmetricObjectProperty 8,map_value
axiom_type_count_incl,ClassAssertion 1,map_value
axiom_type_count_incl,DataPropertyDomain 2,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 438,map_value
axiom_type_count_incl,DisjointUnion 9,map_value
axiom_type_count_incl,EquivalentClasses 41,map_value
axiom_type_count_incl,FunctionalDataProperty 2,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 5,map_value
axiom_type_count_incl,InverseObjectProperties 4,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 16,map_value
axiom_type_count_incl,ObjectPropertyDomain 44,map_value
axiom_type_count_incl,ObjectPropertyRange 50,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 15,map_value
axiom_type_count_incl,SubClassOf 357,map_value
axiom_type_count_incl,SubDataPropertyOf 1,map_value
axiom_type_count_incl,SubObjectPropertyOf 96,map_value
axiom_type_count_incl,SymmetricObjectProperty 6,map_value
axiom_type_count_incl,TransitiveObjectProperty 5,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointUnion,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,114,single_value
class_count_incl,335,single_value
class_expression_count,Class 336,map_value
class_expression_count,ObjectIntersectionOf 1,map_value
class_expression_count,ObjectSomeValuesFrom 8,map_value
class_expression_count_incl,Class 1282,map_value
class_expression_count_incl,DataAllValuesFrom 3,map_value
class_expression_count_incl,DataExactCardinality 3,map_value
class_expression_count_incl,DataHasValue 8,map_value
class_expression_count_incl,DataSomeValuesFrom 3,map_value
class_expression_count_incl,ObjectAllValuesFrom 9,map_value
class_expression_count_incl,ObjectComplementOf 4,map_value
class_expression_count_incl,ObjectExactCardinality 5,map_value
class_expression_count_incl,ObjectHasValue 1,map_value
class_expression_count_incl,ObjectIntersectionOf 5,map_value
class_expression_count_incl,ObjectSomeValuesFrom 58,map_value
class_expression_count_incl,ObjectUnionOf 34,map_value
class_sgl_subcl_count,5,single_value
class_sgl_subcl_count_incl,5,single_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,NOMINALS,list_value
constructs_incl,Q,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,3,single_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 50,map_value
datatypes_axiom_count_incl,XSD_ANY_URI 6,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 3,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 3,map_value
datatypes_axiom_count_incl,XSD_INTEGER 3,map_value
datatypes_axiom_count_incl,XSD_STRING 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,2,single_value
datatypes_count_incl,7,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,7,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,CINTEHI,single_value
expressivity_incl,RRESTRCUCINTUNIVRESTREROIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,27,single_value
individual_count,0,single_value
individual_count_incl,1,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,115,single_value
logical_axiom_count_incl,648,single_value
most_freq_concept,http://emmo.info/emmo/domain/oie/models#AtomisticModel,single_value
most_freq_concept_incl,http://emmo.info/emmo#EMMO_3c424d37_cf62_41b1_ac9d_a316f8d113d6,single_value
multiple_inheritance_count,1,single_value
multiple_inheritance_count_incl,5,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,2,single_value
namespace_axiom_count,prefix_unknown 347,map_value
namespace_axiom_count,rdfs 21,map_value
namespace_axiom_count,skos 109,map_value
namespace_axiom_count_incl,dc 6,map_value
namespace_axiom_count_incl,owl 14,map_value
namespace_axiom_count_incl,prefix_unknown 2211,map_value
namespace_axiom_count_incl,rdf 50,map_value
namespace_axiom_count_incl,rdfs 172,map_value
namespace_axiom_count_incl,skos 488,map_value
namespace_axiom_count_incl,xsd 16,map_value
namespace_entity_count,dc 6,map_value
namespace_entity_count,owl 5,map_value
namespace_entity_count,prefix_unknown 428,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 3,map_value
namespace_entity_count,xsd 6,map_value
namespace_entity_count_incl,dc 6,map_value
namespace_entity_count_incl,owl 5,map_value
namespace_entity_count_incl,prefix_unknown 428,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 3,map_value
