metric,metric_value,metric_type
abox_axiom_count,201,single_value
abox_axiom_count_incl,201,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,12,single_value
annotation_property_count_incl,12,single_value
assert_n_subclass_avg,1.092485549132948,single_value
assert_n_subclass_avg_incl,1.092485549132948,single_value
assert_n_superclass_avg,1.2369942196531791,single_value
assert_n_superclass_avg_incl,1.2369942196531791,single_value
ax_complexrhs_count,103,single_value
ax_complexrhs_count_incl,103,single_value
axiom_count,1786,single_value
axiom_count_incl,1786,single_value
axiom_length_max,9,single_value
axiom_length_max_incl,9,single_value
axiom_type_count,AnnotationAssertion 360,map_value
axiom_type_count,ClassAssertion 103,map_value
axiom_type_count,DataPropertyAssertion 23,map_value
axiom_type_count,DataPropertyDomain 36,map_value
axiom_type_count,DataPropertyRange 36,map_value
axiom_type_count,Declaration 316,map_value
axiom_type_count,DifferentIndividuals 1,map_value
axiom_type_count,DisjointClasses 7,map_value
axiom_type_count,DisjointUnion 21,map_value
axiom_type_count,EquivalentClasses 18,map_value
axiom_type_count,FunctionalDataProperty 2,map_value
axiom_type_count,FunctionalObjectProperty 4,map_value
axiom_type_count,InverseObjectProperties 8,map_value
axiom_type_count,ObjectPropertyAssertion 74,map_value
axiom_type_count,ObjectPropertyDomain 133,map_value
axiom_type_count,ObjectPropertyRange 136,map_value
axiom_type_count,SubClassOf 282,map_value
axiom_type_count,SubDataPropertyOf 38,map_value
axiom_type_count,SubObjectPropertyOf 180,map_value
axiom_type_count,SubPropertyChainOf 3,map_value
axiom_type_count,TransitiveObjectProperty 5,map_value
axiom_type_count_incl,AnnotationAssertion 360,map_value
axiom_type_count_incl,ClassAssertion 103,map_value
axiom_type_count_incl,DataPropertyAssertion 23,map_value
axiom_type_count_incl,DataPropertyDomain 36,map_value
axiom_type_count_incl,DataPropertyRange 36,map_value
axiom_type_count_incl,Declaration 316,map_value
axiom_type_count_incl,DifferentIndividuals 1,map_value
axiom_type_count_incl,DisjointClasses 7,map_value
axiom_type_count_incl,DisjointUnion 21,map_value
axiom_type_count_incl,EquivalentClasses 18,map_value
axiom_type_count_incl,FunctionalDataProperty 2,map_value
axiom_type_count_incl,FunctionalObjectProperty 4,map_value
