metric,metric_value,metric_type
abox_axiom_count,1,single_value
abox_axiom_count_incl,1,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,13,single_value
annotation_property_count_incl,13,single_value
assert_n_subclass_avg,0.36363636363636365,single_value
assert_n_subclass_avg_incl,0.36363636363636365,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,101,single_value
axiom_count_incl,101,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 45,map_value
axiom_type_count,ClassAssertion 1,map_value
axiom_type_count,Declaration 27,map_value
axiom_type_count,FunctionalObjectProperty 3,map_value
axiom_type_count,InverseObjectProperties 2,map_value
axiom_type_count,ObjectPropertyDomain 9,map_value
axiom_type_count,ObjectPropertyRange 9,map_value
axiom_type_count,SubClassOf 4,map_value
axiom_type_count,TransitiveObjectProperty 1,map_value
axiom_type_count_incl,AnnotationAssertion 45,map_value
axiom_type_count_incl,ClassAssertion 1,map_value
axiom_type_count_incl,Declaration 27,map_value
axiom_type_count_incl,FunctionalObjectProperty 3,map_value
axiom_type_count_incl,InverseObjectProperties 2,map_value
axiom_type_count_incl,ObjectPropertyDomain 9,map_value
axiom_type_count_incl,ObjectPropertyRange 9,map_value
axiom_type_count_incl,SubClassOf 4,map_value
axiom_type_count_incl,TransitiveObjectProperty 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,11,single_value
class_count_incl,11,single_value
class_expression_count,Class 37,map_value
class_expression_count_incl,Class 37,map_value
class_sgl_subcl_count,4,single_value
class_sgl_subcl_count_incl,4,single_value
constructs,F,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs,ROLE_TRANSITIVE,list_value
constructs_incl,F,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,ROLE_TRANSITIVE,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,0,single_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_count,3,single_value
