metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,213,single_value
annotation_property_count_incl,213,single_value
assert_n_subclass_avg,1.3323606927710843,single_value
assert_n_subclass_avg_incl,1.3323606927710843,single_value
assert_n_superclass_avg,1.4266754518072289,single_value
assert_n_superclass_avg_incl,1.4266754518072289,single_value
ax_complexrhs_count,15869,single_value
ax_complexrhs_count_incl,15869,single_value
axiom_count,139020,single_value
axiom_count_incl,139020,single_value
axiom_length_max,34,single_value
axiom_length_max_incl,34,single_value
axiom_type_count,AnnotationAssertion 96738,map_value
axiom_type_count,AsymmetricObjectProperty 1,map_value
axiom_type_count,Declaration 11135,map_value
axiom_type_count,DisjointClasses 392,map_value
axiom_type_count,EquivalentClasses 6147,map_value
axiom_type_count,FunctionalObjectProperty 2,map_value
axiom_type_count,InverseFunctionalObjectProperty 1,map_value
axiom_type_count,InverseObjectProperties 44,map_value
axiom_type_count,IrrefexiveObjectProperty 2,map_value
axiom_type_count,ObjectPropertyDomain 66,map_value
axiom_type_count,ObjectPropertyRange 58,map_value
axiom_type_count,Rule 25,map_value
axiom_type_count,SubAnnotationPropertyOf 85,map_value
axiom_type_count,SubClassOf 23882,map_value
axiom_type_count,SubObjectPropertyOf 284,map_value
axiom_type_count,SubPropertyChainOf 120,map_value
axiom_type_count,SymmetricObjectProperty 6,map_value
axiom_type_count,TransitiveObjectProperty 32,map_value
axiom_type_count_incl,AnnotationAssertion 96738,map_value
axiom_type_count_incl,AsymmetricObjectProperty 1,map_value
axiom_type_count_incl,Declaration 11135,map_value
axiom_type_count_incl,DisjointClasses 392,map_value
axiom_type_count_incl,EquivalentClasses 6147,map_value
axiom_type_count_incl,FunctionalObjectProperty 2,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 44,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 2,map_value
axiom_type_count_incl,ObjectPropertyDomain 66,map_value
axiom_type_count_incl,ObjectPropertyRange 58,map_value
axiom_type_count_incl,Rule 25,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 85,map_value
axiom_type_count_incl,SubClassOf 23882,map_value
axiom_type_count_incl,SubObjectPropertyOf 284,map_value
axiom_type_count_incl,SubPropertyChainOf 120,map_value
axiom_type_count_incl,SymmetricObjectProperty 6,map_value
axiom_type_count_incl,TransitiveObjectProperty 32,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AsymmetricObjectProperty,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,IrrefexiveObjectProperty,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,Rule,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,Rule,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,10624,single_value
class_count_incl,10624,single_value
class_expression_count,Class 78469,map_value
class_expression_count,ObjectAllValuesFrom 96,map_value
class_expression_count,ObjectComplementOf 179,map_value
class_expression_count,ObjectExactCardinality 8,map_value
class_expression_count,ObjectHasSelf 1,map_value
class_expression_count,ObjectIntersectionOf 6217,map_value
class_expression_count,ObjectMinCardinality 7,map_value
class_expression_count,ObjectSomeValuesFrom 16614,map_value
class_expression_count,ObjectUnionOf 9,map_value
class_expression_count_incl,Class 78469,map_value
class_expression_count_incl,ObjectAllValuesFrom 96,map_value
class_expression_count_incl,ObjectComplementOf 179,map_value
class_expression_count_incl,ObjectExactCardinality 8,map_value
class_expression_count_incl,ObjectHasSelf 1,map_value
class_expression_count_incl,ObjectIntersectionOf 6217,map_value
class_expression_count_incl,ObjectMinCardinality 7,map_value
class_expression_count_incl,ObjectSomeValuesFrom 16614,map_value
class_expression_count_incl,ObjectUnionOf 9,map_value
class_sgl_subcl_count,1730,single_value
class_sgl_subcl_count_incl,1730,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,CONCEPT_UNION,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,Q,list_value
constructs,ROLE_COMPLEX,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,Q,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,BFO http://purl.obolibrary.org/obo/BFO_,map_value
curie_map,BSPO http://purl.obolibrary.org/obo/BSPO_,map_value
curie_map,CARO http://purl.obolibrary.org/obo/CARO_,map_value
curie_map,CHEBI http://purl.obolibrary.org/obo/CHEBI_,map_value
curie_map,CL http://purl.obolibrary.org/obo/CL_,map_value
curie_map,ENVO http://purl.obolibrary.org/obo/ENVO_,map_value
curie_map,GO http://purl.obolibrary.org/obo/GO_,map_value
curie_map,IAO http://purl.obolibrary.org/obo/IAO_,map_value
curie_map,NBO http://purl.obolibrary.org/obo/NBO_,map_value
curie_map,NCBITaxon http://purl.obolibrary.org/obo/NCBITaxon_,map_value
curie_map,OBI http://purl.obolibrary.org/obo/OBI_,map_value
curie_map,PATO http://purl.obolibrary.org/obo/PATO_,map_value
curie_map,PCO http://purl.obolibrary.org/obo/PCO_,map_value
curie_map,PR http://purl.obolibrary.org/obo/PR_,map_value
curie_map,RO http://purl.obolibrary.org/obo/RO_,map_value
curie_map,SO http://purl.obolibrary.org/obo/SO_,map_value
curie_map,UBERON http://purl.obolibrary.org/obo/UBERON_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,obo http://purl.obolibrary.org/obo/,map_value
curie_map,oboInOwl http://www.geneontology.org/formats/oboInOwl#,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,0,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 9197,map_value
datatypes_axiom_count,XSD_BOOLEAN 9,map_value
datatypes_axiom_count,XSD_STRING 20033,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 9197,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 9,map_value
datatypes_axiom_count_incl,XSD_STRING 20033,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_builtin_incl,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,6,single_value
datatypes_count_incl,6,single_value
dt_builtin_count,6,single_value
dt_builtin_count_incl,6,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRCUCINTUNIVRESTRERIQ,single_value
expressivity_incl,RRESTRCUCINTUNIVRESTRERIQ,single_value
gci_count,83,single_value
gci_count_incl,83,single_value
gci_hidden_count,6140,single_value
gci_hidden_count_incl,6140,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,31037,single_value
logical_axiom_count_incl,31037,single_value
most_freq_concept,http://purl.obolibrary.org/obo/CHEBI_25213,single_value
most_freq_concept_incl,http://purl.obolibrary.org/obo/CHEBI_25213,single_value
multiple_inheritance_count,6134,single_value
multiple_inheritance_count_incl,6134,single_value
named_supercl_count_max,6,single_value
named_supercl_count_max_incl,6,single_value
namespace_axiom_count,BFO 5463,map_value
namespace_axiom_count,BSPO 137,map_value
namespace_axiom_count,CARO 2,map_value
namespace_axiom_count,CHEBI 3093,map_value
namespace_axiom_count,CL 5475,map_value
namespace_axiom_count,ENVO 6,map_value
namespace_axiom_count,GO 37414,map_value
namespace_axiom_count,IAO 10660,map_value
namespace_axiom_count,NBO 2,map_value
namespace_axiom_count,NCBITaxon 1062,map_value
namespace_axiom_count,OBI 2,map_value
namespace_axiom_count,PATO 8646,map_value
namespace_axiom_count,PCO 32,map_value
namespace_axiom_count,PR 1327,map_value
namespace_axiom_count,RO 13101,map_value
namespace_axiom_count,SO 2,map_value
namespace_axiom_count,UBERON 21172,map_value
namespace_axiom_count,dc 1098,map_value
namespace_axiom_count,dc11 49,map_value
namespace_axiom_count,foaf 374,map_value
namespace_axiom_count,obo 2963,map_value
namespace_axiom_count,oboInOwl 98869,map_value
namespace_axiom_count,owl 1006,map_value
namespace_axiom_count,prefix_unknown 11,map_value
namespace_axiom_count,rdf 9197,map_value
namespace_axiom_count,rdfs 11989,map_value
namespace_axiom_count,skos 3,map_value
namespace_axiom_count,xsd 20042,map_value
namespace_axiom_count_incl,BFO 5463,map_value
namespace_axiom_count_incl,BSPO 137,map_value
namespace_axiom_count_incl,CARO 2,map_value
namespace_axiom_count_incl,CHEBI 3093,map_value
namespace_axiom_count_incl,CL 5475,map_value
namespace_axiom_count_incl,ENVO 6,map_value
namespace_axiom_count_incl,GO 37414,map_value
namespace_axiom_count_incl,IAO 10660,map_value
namespace_axiom_count_incl,NBO 2,map_value
namespace_axiom_count_incl,NCBITaxon 1062,map_value
namespace_axiom_count_incl,OBI 2,map_value
namespace_axiom_count_incl,PATO 8646,map_value
namespace_axiom_count_incl,PCO 32,map_value
namespace_axiom_count_incl,PR 1327,map_value
namespace_axiom_count_incl,RO 13101,map_value
namespace_axiom_count_incl,SO 2,map_value
namespace_axiom_count_incl,UBERON 21172,map_value
namespace_axiom_count_incl,dc 1098,map_value
namespace_axiom_count_incl,dc11 49,map_value
namespace_axiom_count_incl,foaf 374,map_value
namespace_axiom_count_incl,obo 2963,map_value
namespace_axiom_count_incl,oboInOwl 98869,map_value
namespace_axiom_count_incl,owl 1006,map_value
namespace_axiom_count_incl,prefix_unknown 11,map_value
namespace_axiom_count_incl,rdf 9197,map_value
namespace_axiom_count_incl,rdfs 11989,map_value
namespace_axiom_count_incl,skos 3,map_value
namespace_axiom_count_incl,xsd 20042,map_value
namespace_entity_count,BFO 20,map_value
namespace_entity_count,BSPO 16,map_value
namespace_entity_count,CARO 1,map_value
namespace_entity_count,CHEBI 451,map_value
namespace_entity_count,CL 621,map_value
namespace_entity_count,ENVO 3,map_value
namespace_entity_count,GO 4286,map_value
namespace_entity_count,IAO 16,map_value
namespace_entity_count,NBO 1,map_value
namespace_entity_count,NCBITaxon 108,map_value
namespace_entity_count,OBI 1,map_value
namespace_entity_count,PATO 2860,map_value
namespace_entity_count,PCO 8,map_value
namespace_entity_count,PR 145,map_value
namespace_entity_count,RO 249,map_value
namespace_entity_count,SO 1,map_value
namespace_entity_count,UBERON 2122,map_value
namespace_entity_count,dc 5,map_value
namespace_entity_count,dc11 5,map_value
namespace_entity_count,foaf 1,map_value
namespace_entity_count,obo 160,map_value
namespace_entity_count,oboInOwl 53,map_value
namespace_entity_count,owl 3,map_value
namespace_entity_count,prefix_unknown 2,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 5,map_value
namespace_entity_count_incl,BFO 20,map_value
namespace_entity_count_incl,BSPO 16,map_value
namespace_entity_count_incl,CARO 1,map_value
namespace_entity_count_incl,CHEBI 451,map_value
namespace_entity_count_incl,CL 621,map_value
namespace_entity_count_incl,ENVO 3,map_value
namespace_entity_count_incl,GO 4286,map_value
namespace_entity_count_incl,IAO 16,map_value
namespace_entity_count_incl,NBO 1,map_value
namespace_entity_count_incl,NCBITaxon 108,map_value
namespace_entity_count_incl,OBI 1,map_value
namespace_entity_count_incl,PATO 2860,map_value
namespace_entity_count_incl,PCO 8,map_value
namespace_entity_count_incl,PR 145,map_value
namespace_entity_count_incl,RO 249,map_value
namespace_entity_count_incl,SO 1,map_value
namespace_entity_count_incl,UBERON 2122,map_value
namespace_entity_count_incl,dc 5,map_value
namespace_entity_count_incl,dc11 5,map_value
namespace_entity_count_incl,foaf 1,map_value
namespace_entity_count_incl,obo 160,map_value
namespace_entity_count_incl,oboInOwl 53,map_value
namespace_entity_count_incl,owl 3,map_value
namespace_entity_count_incl,prefix_unknown 2,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 5,map_value
obj_property_count,306,single_value
obj_property_count_incl,306,single_value
ontology_anno_count,7,single_value
ontology_iri,http://purl.obolibrary.org/obo/pato.owl,single_value
ontology_version_iri,http://purl.obolibrary.org/obo/pato/releases/2022-12-15/pato.owl,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
