metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,26,single_value
annotation_property_count_incl,26,single_value
assert_n_subclass_avg,0.9090909090909091,single_value
assert_n_subclass_avg_incl,0.9090909090909091,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,212,single_value
axiom_count_incl,212,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 126,map_value
axiom_type_count,AnnotationPropertyRangeOf 2,map_value
axiom_type_count,DataPropertyDomain 7,map_value
axiom_type_count,DataPropertyRange 4,map_value
axiom_type_count,Declaration 42,map_value
axiom_type_count,ObjectPropertyDomain 2,map_value
axiom_type_count,ObjectPropertyRange 2,map_value
axiom_type_count,SubAnnotationPropertyOf 12,map_value
axiom_type_count,SubClassOf 10,map_value
axiom_type_count,SubDataPropertyOf 5,map_value
axiom_type_count_incl,AnnotationAssertion 126,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 2,map_value
axiom_type_count_incl,DataPropertyDomain 7,map_value
axiom_type_count_incl,DataPropertyRange 4,map_value
axiom_type_count_incl,Declaration 42,map_value
axiom_type_count_incl,ObjectPropertyDomain 2,map_value
axiom_type_count_incl,ObjectPropertyRange 2,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 12,map_value
axiom_type_count_incl,SubClassOf 10,map_value
axiom_type_count_incl,SubDataPropertyOf 5,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,11,single_value
class_count_incl,11,single_value
class_expression_count,Class 42,map_value
class_expression_count_incl,Class 42,map_value
class_sgl_subcl_count,1,single_value
class_sgl_subcl_count_incl,1,single_value
constructs,D,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs_incl,D,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
curie_map,IAO http://purl.obolibrary.org/obo/IAO_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,7,single_value
dataproperty_count_incl,7,single_value
datatypes_axiom_count,XSD_FLOAT 1,map_value
datatypes_axiom_count,XSD_INTEGER 1,map_value
datatypes_axiom_count,XSD_STRING 2,map_value
datatypes_axiom_count_incl,XSD_FLOAT 1,map_value
datatypes_axiom_count_incl,XSD_INTEGER 1,map_value
datatypes_axiom_count_incl,XSD_STRING 2,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_FLOAT,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_FLOAT,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,4,single_value
datatypes_count_incl,4,single_value
dt_builtin_count,4,single_value
dt_builtin_count_incl,4,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRH(D),single_value
expressivity_incl,RRESTRH(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,30,single_value
logical_axiom_count_incl,30,single_value
most_freq_concept,http://purls.helmholtz-metadaten.de/pldo/GrainBoundary,single_value
most_freq_concept_incl,http://purls.helmholtz-metadaten.de/pldo/GrainBoundary,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,IAO 43,map_value
namespace_axiom_count,dc 21,map_value
namespace_axiom_count,dc11 8,map_value
namespace_axiom_count,prefix_unknown 76,map_value
namespace_axiom_count,rdfs 47,map_value
namespace_axiom_count,skos 55,map_value
namespace_axiom_count,xsd 4,map_value
namespace_axiom_count_incl,IAO 43,map_value
namespace_axiom_count_incl,dc 21,map_value
namespace_axiom_count_incl,dc11 8,map_value
namespace_axiom_count_incl,prefix_unknown 76,map_value
namespace_axiom_count_incl,rdfs 47,map_value
namespace_axiom_count_incl,skos 55,map_value
namespace_axiom_count_incl,xsd 4,map_value
namespace_entity_count,IAO 6,map_value
namespace_entity_count,dc 7,map_value
namespace_entity_count,dc11 4,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 20,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,skos 5,map_value
namespace_entity_count,xsd 3,map_value
namespace_entity_count_incl,IAO 6,map_value
namespace_entity_count_incl,dc 7,map_value
namespace_entity_count_incl,dc11 4,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 20,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,skos 5,map_value
namespace_entity_count_incl,xsd 3,map_value
obj_property_count,2,single_value
obj_property_count_incl,2,single_value
ontology_anno_count,8,single_value
ontology_iri,http://purls.helmholtz-metadaten.de/pldo/,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,true,single_value
rbox_axiom_count,5,single_value
rbox_axiom_count_incl,5,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,50,single_value
signature_entity_count_incl,50,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,25,single_value
tbox_axiom_count_incl,25,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,30,single_value
tboxrbox_axiom_count_incl,30,single_value
undecl_entity_count,8,single_value
undecl_entity_count_incl,8,single_value
