metric,metric_value,metric_type
abox_axiom_count,2,single_value
abox_axiom_count_incl,5,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,29,single_value
annotation_property_count_incl,37,single_value
assert_n_subclass_avg,0.9849056603773585,single_value
assert_n_subclass_avg_incl,0.9,single_value
assert_n_superclass_avg,1.0150943396226415,single_value
assert_n_superclass_avg_incl,1.0310344827586206,single_value
ax_complexrhs_count,43,single_value
ax_complexrhs_count_incl,44,single_value
axiom_count,2240,single_value
axiom_count_incl,3247,single_value
axiom_length_max,7,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,AnnotationAssertion 1518,map_value
axiom_type_count,ClassAssertion 2,map_value
axiom_type_count,DataPropertyDomain 3,map_value
axiom_type_count,DataPropertyRange 3,map_value
axiom_type_count,Declaration 330,map_value
axiom_type_count,DisjointClasses 10,map_value
axiom_type_count,EquivalentClasses 42,map_value
axiom_type_count,FunctionalObjectProperty 1,map_value
axiom_type_count,InverseObjectProperties 8,map_value
axiom_type_count,ObjectPropertyDomain 19,map_value
axiom_type_count,ObjectPropertyRange 15,map_value
axiom_type_count,Rule 2,map_value
axiom_type_count,SubAnnotationPropertyOf 2,map_value
axiom_type_count,SubClassOf 262,map_value
axiom_type_count,SubDataPropertyOf 5,map_value
axiom_type_count,SubObjectPropertyOf 18,map_value
axiom_type_count_incl,AnnotationAssertion 2226,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 2,map_value
axiom_type_count_incl,ClassAssertion 2,map_value
axiom_type_count_incl,DataPropertyDomain 7,map_value
axiom_type_count_incl,DataPropertyRange 6,map_value
axiom_type_count_incl,Declaration 413,map_value
axiom_type_count_incl,DisjointClasses 13,map_value
axiom_type_count_incl,EquivalentClasses 42,map_value
axiom_type_count_incl,FunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 49,map_value
axiom_type_count_incl,ObjectPropertyAssertion 3,map_value
axiom_type_count_incl,ObjectPropertyDomain 61,map_value
axiom_type_count_incl,ObjectPropertyRange 53,map_value
axiom_type_count_incl,Rule 2,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 10,map_value
axiom_type_count_incl,SubClassOf 288,map_value
axiom_type_count_incl,SubDataPropertyOf 5,map_value
axiom_type_count_incl,SubObjectPropertyOf 51,map_value
axiom_type_count_incl,SubPropertyChainOf 13,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,Rule,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,Rule,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,265,single_value
class_count_incl,290,single_value
class_expression_count,Class 962,map_value
class_expression_count,DataSomeValuesFrom 2,map_value
class_expression_count,ObjectIntersectionOf 15,map_value
class_expression_count,ObjectSomeValuesFrom 47,map_value
class_expression_count,ObjectUnionOf 6,map_value
class_expression_count_incl,Class 1142,map_value
class_expression_count_incl,DataSomeValuesFrom 2,map_value
class_expression_count_incl,ObjectIntersectionOf 15,map_value
class_expression_count_incl,ObjectMaxCardinality 1,map_value
class_expression_count_incl,ObjectSomeValuesFrom 47,map_value
class_expression_count_incl,ObjectUnionOf 12,map_value
class_sgl_subcl_count,21,single_value
class_sgl_subcl_count_incl,21,single_value
constructs,AL,list_value
constructs,C,list_value
constructs,D,list_value
constructs,F,list_value
constructs,H,list_value
constructs,I,list_value
constructs_incl,AL,list_value
constructs_incl,C,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
constructs_incl,N,list_value
constructs_incl,R,list_value
curie_map,CHEBI http://purl.obolibrary.org/obo/CHEBI_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,8,single_value
dataproperty_count_incl,12,single_value
datatypes_axiom_count,RDFS_LITERAL 3,map_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 2,map_value
datatypes_axiom_count,XSD_BOOLEAN 2,map_value
datatypes_axiom_count,XSD_DATE_TIME 2,map_value
datatypes_axiom_count_incl,RDFS_LITERAL 3,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 10,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 2,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 5,map_value
datatypes_builtin,RDFS_LITERAL,list_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin_incl,RDFS_LITERAL,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_count,5,single_value
datatypes_count_incl,5,single_value
dt_builtin_count,5,single_value
dt_builtin_count_incl,5,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,ALCHIF(D),single_value
expressivity_incl,ALCRIN(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,37,single_value
gci_hidden_count_incl,37,single_value
individual_count,3,single_value
individual_count_incl,9,single_value
instance_per_class_avg,0.007547169811320755,single_value
instance_per_class_avg_incl,0.006896551724137931,single_value
logical_axiom_count,388,single_value
logical_axiom_count_incl,594,single_value
most_freq_concept,http://www.w3.org/ns/prov#Organization,single_value
most_freq_concept_incl,http://www.w3.org/2002/07/owl#Thing,single_value
multiple_inheritance_count,8,single_value
multiple_inheritance_count_incl,8,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,CHEBI 3,map_value
namespace_axiom_count,dc 7,map_value
namespace_axiom_count,dc11 3,map_value
namespace_axiom_count,owl 8,map_value
namespace_axiom_count,prefix_unknown 1227,map_value
namespace_axiom_count,prov 109,map_value
namespace_axiom_count,rdf 2,map_value
namespace_axiom_count,rdfs 874,map_value
namespace_axiom_count,skos 482,map_value
