metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,14,single_value
annotation_property_count_incl,14,single_value
assert_n_subclass_avg,0.8095238095238095,single_value
assert_n_subclass_avg_incl,0.8095238095238095,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,21,single_value
ax_complexrhs_count_incl,21,single_value
axiom_count,146,single_value
axiom_count_incl,146,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,3,single_value
axiom_type_count,AnnotationAssertion 44,map_value
axiom_type_count,Declaration 47,map_value
axiom_type_count,ObjectPropertyDomain 6,map_value
axiom_type_count,ObjectPropertyRange 9,map_value
axiom_type_count,SubAnnotationPropertyOf 1,map_value
axiom_type_count,SubClassOf 38,map_value
axiom_type_count,SubObjectPropertyOf 1,map_value
axiom_type_count_incl,AnnotationAssertion 44,map_value
axiom_type_count_incl,Declaration 47,map_value
axiom_type_count_incl,ObjectPropertyDomain 6,map_value
axiom_type_count_incl,ObjectPropertyRange 9,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 1,map_value
axiom_type_count_incl,SubClassOf 38,map_value
axiom_type_count_incl,SubObjectPropertyOf 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,21,single_value
class_count_incl,21,single_value
class_expression_count,Class 114,map_value
class_expression_count,ObjectSomeValuesFrom 21,map_value
class_expression_count,ObjectUnionOf 2,map_value
class_expression_count_incl,Class 114,map_value
class_expression_count_incl,ObjectSomeValuesFrom 21,map_value
class_expression_count_incl,ObjectUnionOf 2,map_value
class_sgl_subcl_count,5,single_value
class_sgl_subcl_count_incl,5,single_value
constructs,CONCEPT_UNION,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,2,single_value
dataproperty_count_incl,2,single_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,2,single_value
datatypes_count_incl,2,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,2,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRUEH,single_value
expressivity_incl,RRESTRUEH,single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,54,single_value
logical_axiom_count_incl,54,single_value
most_freq_concept,https://purls.helmholtz-metadaten.de/prima/core#System,single_value
most_freq_concept_incl,https://purls.helmholtz-metadaten.de/prima/core#System,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,dc 6,map_value
namespace_axiom_count,prefix_unknown 158,map_value
namespace_axiom_count,prov 26,map_value
namespace_axiom_count,rdfs 32,map_value
namespace_axiom_count,skos 2,map_value
namespace_axiom_count_incl,dc 6,map_value
namespace_axiom_count_incl,prefix_unknown 158,map_value
namespace_axiom_count_incl,prov 26,map_value
namespace_axiom_count_incl,rdfs 32,map_value
namespace_axiom_count_incl,skos 2,map_value
namespace_entity_count,dc 6,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 31,map_value
namespace_entity_count,prov 9,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,dc 6,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 31,map_value
namespace_entity_count_incl,prov 9,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,15,single_value
obj_property_count_incl,15,single_value
ontology_anno_count,12,single_value
ontology_iri,https://purls.helmholtz-metadaten.de/prima/core,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,1,single_value
rbox_axiom_count_incl,1,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,54,single_value
signature_entity_count_incl,54,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,53,single_value
tbox_axiom_count_incl,53,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,54,single_value
tboxrbox_axiom_count_incl,54,single_value
undecl_entity_count,7,single_value
undecl_entity_count_incl,7,single_value
