metric,metric_value,metric_type
abox_axiom_count,2,single_value
abox_axiom_count_incl,2,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,22,single_value
annotation_property_count_incl,22,single_value
assert_n_subclass_avg,0.9032258064516129,single_value
assert_n_subclass_avg_incl,0.9032258064516129,single_value
assert_n_superclass_avg,1.1612903225806452,single_value
assert_n_superclass_avg_incl,1.1612903225806452,single_value
ax_complexrhs_count,1,single_value
ax_complexrhs_count_incl,1,single_value
axiom_count,973,single_value
axiom_count_incl,973,single_value
axiom_length_max,5,single_value
axiom_length_max_incl,5,single_value
axiom_type_count,AnnotationAssertion 678,map_value
axiom_type_count,AnnotationPropertyRangeOf 2,map_value
axiom_type_count,DataPropertyDomain 6,map_value
axiom_type_count,DataPropertyRange 5,map_value
axiom_type_count,Declaration 104,map_value
axiom_type_count,DisjointClasses 4,map_value
axiom_type_count,InverseObjectProperties 3,map_value
axiom_type_count,ObjectPropertyAssertion 2,map_value
axiom_type_count,ObjectPropertyDomain 45,map_value
axiom_type_count,ObjectPropertyRange 41,map_value
axiom_type_count,SubAnnotationPropertyOf 8,map_value
axiom_type_count,SubClassOf 29,map_value
axiom_type_count,SubObjectPropertyOf 33,map_value
axiom_type_count,SubPropertyChainOf 13,map_value
axiom_type_count_incl,AnnotationAssertion 678,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 2,map_value
axiom_type_count_incl,DataPropertyDomain 6,map_value
axiom_type_count_incl,DataPropertyRange 5,map_value
axiom_type_count_incl,Declaration 104,map_value
axiom_type_count_incl,DisjointClasses 4,map_value
axiom_type_count_incl,InverseObjectProperties 3,map_value
axiom_type_count_incl,ObjectPropertyAssertion 2,map_value
axiom_type_count_incl,ObjectPropertyDomain 45,map_value
axiom_type_count_incl,ObjectPropertyRange 41,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 8,map_value
axiom_type_count_incl,SubClassOf 29,map_value
axiom_type_count_incl,SubObjectPropertyOf 33,map_value
axiom_type_count_incl,SubPropertyChainOf 13,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,31,single_value
class_count_incl,31,single_value
class_expression_count,Class 202,map_value
class_expression_count,ObjectMaxCardinality 1,map_value
class_expression_count,ObjectUnionOf 6,map_value
class_expression_count_incl,Class 202,map_value
class_expression_count_incl,ObjectMaxCardinality 1,map_value
class_expression_count_incl,ObjectUnionOf 6,map_value
class_sgl_subcl_count,1,single_value
class_sgl_subcl_count_incl,1,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,N,list_value
constructs,ROLE_COMPLEX,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,N,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,6,single_value
dataproperty_count_incl,6,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 8,map_value
datatypes_axiom_count,XSD_DATE_TIME 5,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 8,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 5,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_count,3,single_value
datatypes_count_incl,3,single_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
