metric,metric_value,metric_type
abox_axiom_count,114,single_value
abox_axiom_count_incl,182,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,37,single_value
annotation_property_count_incl,52,single_value
assert_n_subclass_avg,0.936,single_value
assert_n_subclass_avg_incl,0.785234899328859,single_value
assert_n_superclass_avg,1.256,single_value
assert_n_superclass_avg_incl,1.2147651006711409,single_value
ax_complexrhs_count,171,single_value
ax_complexrhs_count_incl,217,single_value
axiom_count,1681,single_value
axiom_count_incl,2499,single_value
axiom_length_max,5,single_value
axiom_length_max_incl,11,single_value
axiom_type_count,AnnotationAssertion 823,map_value
axiom_type_count,AnnotationPropertyRangeOf 7,map_value
axiom_type_count,ClassAssertion 35,map_value
axiom_type_count,DataPropertyAssertion 75,map_value
axiom_type_count,DataPropertyDomain 2,map_value
axiom_type_count,DataPropertyRange 58,map_value
axiom_type_count,Declaration 256,map_value
axiom_type_count,EquivalentClasses 12,map_value
axiom_type_count,FunctionalDataProperty 7,map_value
axiom_type_count,FunctionalObjectProperty 6,map_value
axiom_type_count,InverseFunctionalObjectProperty 1,map_value
axiom_type_count,InverseObjectProperties 16,map_value
axiom_type_count,ObjectPropertyAssertion 4,map_value
axiom_type_count,ObjectPropertyDomain 4,map_value
axiom_type_count,ObjectPropertyRange 46,map_value
axiom_type_count,SubClassOf 278,map_value
axiom_type_count,SubDataPropertyOf 17,map_value
axiom_type_count,SubObjectPropertyOf 31,map_value
axiom_type_count,SymmetricObjectProperty 1,map_value
axiom_type_count,TransitiveObjectProperty 2,map_value
axiom_type_count_incl,AnnotationAssertion 1307,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 19,map_value
axiom_type_count_incl,ClassAssertion 54,map_value
axiom_type_count_incl,DataPropertyAssertion 117,map_value
axiom_type_count_incl,DataPropertyDomain 2,map_value
axiom_type_count_incl,DataPropertyRange 79,map_value
axiom_type_count_incl,DatatypeDefinition 1,map_value
axiom_type_count_incl,Declaration 364,map_value
axiom_type_count_incl,DisjointClasses 6,map_value
axiom_type_count_incl,EquivalentClasses 13,map_value
axiom_type_count_incl,FunctionalDataProperty 7,map_value
axiom_type_count_incl,FunctionalObjectProperty 7,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 20,map_value
axiom_type_count_incl,ObjectPropertyAssertion 11,map_value
axiom_type_count_incl,ObjectPropertyDomain 9,map_value
axiom_type_count_incl,ObjectPropertyRange 53,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 10,map_value
axiom_type_count_incl,SubClassOf 341,map_value
axiom_type_count_incl,SubDataPropertyOf 18,map_value
axiom_type_count_incl,SubObjectPropertyOf 50,map_value
axiom_type_count_incl,SymmetricObjectProperty 5,map_value
axiom_type_count_incl,TransitiveObjectProperty 5,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,DatatypeDefinition,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,125,single_value
class_count_incl,149,single_value
class_expression_count,Class 664,map_value
class_expression_count,DataAllValuesFrom 3,map_value
class_expression_count,DataExactCardinality 11,map_value
class_expression_count,DataMaxCardinality 41,map_value
class_expression_count,DataMinCardinality 13,map_value
class_expression_count,ObjectAllValuesFrom 53,map_value
class_expression_count,ObjectExactCardinality 3,map_value
class_expression_count,ObjectMaxCardinality 26,map_value
class_expression_count,ObjectMinCardinality 11,map_value
class_expression_count,ObjectOneOf 9,map_value
class_expression_count,ObjectUnionOf 2,map_value
class_expression_count_incl,Class 838,map_value
class_expression_count_incl,DataAllValuesFrom 4,map_value
class_expression_count_incl,DataExactCardinality 14,map_value
class_expression_count_incl,DataMaxCardinality 59,map_value
class_expression_count_incl,DataMinCardinality 13,map_value
class_expression_count_incl,ObjectAllValuesFrom 68,map_value
class_expression_count_incl,ObjectExactCardinality 4,map_value
class_expression_count_incl,ObjectMaxCardinality 32,map_value
class_expression_count_incl,ObjectMinCardinality 12,map_value
class_expression_count_incl,ObjectOneOf 9,map_value
class_expression_count_incl,ObjectUnionOf 4,map_value
class_sgl_subcl_count,32,single_value
class_sgl_subcl_count_incl,32,single_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,NOMINALS,list_value
constructs,Q,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs,ROLE_TRANSITIVE,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,NOMINALS,list_value
constructs_incl,Q,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,ROLE_TRANSITIVE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,85,single_value
dataproperty_count_incl,103,single_value
datatypes_axiom_count,<http://qudt.org/schema/qudt/LatexString> 3,map_value
datatypes_axiom_count,<http://qudt.org/schema/qudt/UCUMci-term> 1,map_value
