metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,3,single_value
annotation_property_count_incl,3,single_value
assert_n_subclass_avg,0.9545454545454546,single_value
assert_n_subclass_avg_incl,0.9545454545454546,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,18,single_value
ax_complexrhs_count_incl,18,single_value
axiom_count,187,single_value
axiom_count_incl,187,single_value
axiom_length_max,17,single_value
axiom_length_max_incl,17,single_value
axiom_type_count,AnnotationAssertion 52,map_value
axiom_type_count,AsymmetricObjectProperty 9,map_value
axiom_type_count,DataPropertyRange 11,map_value
axiom_type_count,Declaration 48,map_value
axiom_type_count,DisjointClasses 3,map_value
axiom_type_count,EquivalentClasses 18,map_value
axiom_type_count,FunctionalDataProperty 3,map_value
axiom_type_count,InverseObjectProperties 1,map_value
axiom_type_count,IrrefexiveObjectProperty 5,map_value
axiom_type_count,ObjectPropertyRange 14,map_value
axiom_type_count,SubClassOf 21,map_value
axiom_type_count,SubObjectPropertyOf 2,map_value
axiom_type_count_incl,AnnotationAssertion 52,map_value
axiom_type_count_incl,AsymmetricObjectProperty 9,map_value
axiom_type_count_incl,DataPropertyRange 11,map_value
axiom_type_count_incl,Declaration 48,map_value
axiom_type_count_incl,DisjointClasses 3,map_value
axiom_type_count_incl,EquivalentClasses 18,map_value
axiom_type_count_incl,FunctionalDataProperty 3,map_value
axiom_type_count_incl,InverseObjectProperties 1,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 5,map_value
axiom_type_count_incl,ObjectPropertyRange 14,map_value
axiom_type_count_incl,SubClassOf 21,map_value
axiom_type_count_incl,SubObjectPropertyOf 2,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AsymmetricObjectProperty,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,IrrefexiveObjectProperty,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,22,single_value
class_count_incl,22,single_value
class_expression_count,Class 134,map_value
class_expression_count,DataExactCardinality 18,map_value
class_expression_count,DataMaxCardinality 8,map_value
class_expression_count,ObjectAllValuesFrom 5,map_value
class_expression_count,ObjectExactCardinality 6,map_value
class_expression_count,ObjectIntersectionOf 10,map_value
class_expression_count,ObjectMaxCardinality 3,map_value
class_expression_count,ObjectSomeValuesFrom 6,map_value
class_expression_count,ObjectUnionOf 1,map_value
class_expression_count_incl,Class 134,map_value
class_expression_count_incl,DataExactCardinality 18,map_value
class_expression_count_incl,DataMaxCardinality 8,map_value
class_expression_count_incl,ObjectAllValuesFrom 5,map_value
class_expression_count_incl,ObjectExactCardinality 6,map_value
class_expression_count_incl,ObjectIntersectionOf 10,map_value
class_expression_count_incl,ObjectMaxCardinality 3,map_value
class_expression_count_incl,ObjectSomeValuesFrom 6,map_value
class_expression_count_incl,ObjectUnionOf 1,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_INTERSECTION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,Q,list_value
constructs,ROLE_COMPLEX,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs,UNIVERSAL_RESTRICTION,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_INTERSECTION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,Q,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
constructs_incl,UNIVERSAL_RESTRICTION,list_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,11,single_value
dataproperty_count_incl,11,single_value
datatypes_axiom_count,XSD_DOUBLE 10,map_value
datatypes_axiom_count,XSD_STRING 14,map_value
datatypes_axiom_count_incl,XSD_DOUBLE 10,map_value
datatypes_axiom_count_incl,XSD_STRING 14,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DOUBLE,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_DOUBLE,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,3,single_value
datatypes_count_incl,3,single_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRCUCINTUNIVRESTRERIQ(D),single_value
expressivity_incl,RRESTRCUCINTUNIVRESTRERIQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,18,single_value
gci_hidden_count_incl,18,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,87,single_value
logical_axiom_count_incl,87,single_value
most_freq_concept,http://www.example.org/SysML-QUDV.owl#ConversionBasedUnit,single_value
most_freq_concept_incl,http://www.example.org/SysML-QUDV.owl#ConversionBasedUnit,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,dc11 4,map_value
namespace_axiom_count,owl 13,map_value
namespace_axiom_count,prefix_unknown 240,map_value
namespace_axiom_count,rdfs 49,map_value
namespace_axiom_count,xsd 24,map_value
namespace_axiom_count_incl,dc11 4,map_value
namespace_axiom_count_incl,owl 13,map_value
namespace_axiom_count_incl,prefix_unknown 240,map_value
namespace_axiom_count_incl,rdfs 49,map_value
namespace_axiom_count_incl,xsd 24,map_value
namespace_entity_count,dc11 1,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 46,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 2,map_value
namespace_entity_count,xsd 2,map_value
namespace_entity_count_incl,dc11 1,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 46,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 2,map_value
namespace_entity_count_incl,xsd 2,map_value
obj_property_count,14,single_value
obj_property_count_incl,14,single_value
ontology_anno_count,0,single_value
ontology_iri,http://www.example.org/SysML-QUDV.owl,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,17,single_value
rbox_axiom_count_incl,17,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,53,single_value
signature_entity_count_incl,53,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,12,single_value
tautology_count_incl,12,single_value
tbox_axiom_count,70,single_value
tbox_axiom_count_incl,70,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,87,single_value
tboxrbox_axiom_count_incl,87,single_value
undecl_entity_count,5,single_value
undecl_entity_count_incl,5,single_value
