metric,metric_value,metric_type
abox_axiom_count,7485,single_value
abox_axiom_count_incl,7485,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,90,single_value
annotation_property_count_incl,90,single_value
assert_n_subclass_avg,0.9912917271407837,single_value
assert_n_subclass_avg_incl,0.9912917271407837,single_value
assert_n_superclass_avg,1.0130624092888243,single_value
assert_n_superclass_avg_incl,1.0130624092888243,single_value
ax_complexrhs_count,291,single_value
ax_complexrhs_count_incl,291,single_value
axiom_count,14827,single_value
axiom_count_incl,14827,single_value
axiom_length_max,13,single_value
axiom_length_max_incl,13,single_value
axiom_type_count,AnnotationAssertion 5238,map_value
axiom_type_count,AnnotationPropertyDomain 1,map_value
axiom_type_count,AnnotationPropertyRangeOf 13,map_value
axiom_type_count,ClassAssertion 1815,map_value
axiom_type_count,DataPropertyAssertion 3617,map_value
axiom_type_count,DataPropertyDomain 4,map_value
axiom_type_count,DataPropertyRange 35,map_value
axiom_type_count,Declaration 848,map_value
axiom_type_count,DifferentIndividuals 2,map_value
axiom_type_count,DisjointClasses 22,map_value
axiom_type_count,EquivalentClasses 22,map_value
axiom_type_count,EquivalentObjectProperties 36,map_value
axiom_type_count,FunctionalDataProperty 8,map_value
axiom_type_count,FunctionalObjectProperty 9,map_value
axiom_type_count,InverseFunctionalObjectProperty 1,map_value
axiom_type_count,InverseObjectProperties 33,map_value
axiom_type_count,IrrefexiveObjectProperty 1,map_value
axiom_type_count,ObjectPropertyAssertion 2051,map_value
axiom_type_count,ObjectPropertyDomain 21,map_value
axiom_type_count,ObjectPropertyRange 23,map_value
axiom_type_count,SubAnnotationPropertyOf 4,map_value
axiom_type_count,SubClassOf 955,map_value
axiom_type_count,SubDataPropertyOf 11,map_value
axiom_type_count,SubObjectPropertyOf 48,map_value
axiom_type_count,SubPropertyChainOf 2,map_value
axiom_type_count,SymmetricObjectProperty 2,map_value
axiom_type_count,TransitiveObjectProperty 5,map_value
axiom_type_count_incl,AnnotationAssertion 5238,map_value
axiom_type_count_incl,AnnotationPropertyDomain 1,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 13,map_value
axiom_type_count_incl,ClassAssertion 1815,map_value
axiom_type_count_incl,DataPropertyAssertion 3617,map_value
axiom_type_count_incl,DataPropertyDomain 4,map_value
axiom_type_count_incl,DataPropertyRange 35,map_value
axiom_type_count_incl,Declaration 848,map_value
axiom_type_count_incl,DifferentIndividuals 2,map_value
axiom_type_count_incl,DisjointClasses 22,map_value
axiom_type_count_incl,EquivalentClasses 22,map_value
axiom_type_count_incl,EquivalentObjectProperties 36,map_value
axiom_type_count_incl,FunctionalDataProperty 8,map_value
axiom_type_count_incl,FunctionalObjectProperty 9,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 33,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 1,map_value
axiom_type_count_incl,ObjectPropertyAssertion 2051,map_value
axiom_type_count_incl,ObjectPropertyDomain 21,map_value
axiom_type_count_incl,ObjectPropertyRange 23,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 4,map_value
axiom_type_count_incl,SubClassOf 955,map_value
axiom_type_count_incl,SubDataPropertyOf 11,map_value
axiom_type_count_incl,SubObjectPropertyOf 48,map_value
axiom_type_count_incl,SubPropertyChainOf 2,map_value
axiom_type_count_incl,SymmetricObjectProperty 2,map_value
axiom_type_count_incl,TransitiveObjectProperty 5,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyDomain,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DifferentIndividuals,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,EquivalentObjectProperties,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,IrrefexiveObjectProperty,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyDomain,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DifferentIndividuals,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentObjectProperties,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,IrrefexiveObjectProperty,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,689,single_value
class_count_incl,689,single_value
class_expression_count,Class 4302,map_value
class_expression_count,DataAllValuesFrom 3,map_value
class_expression_count,DataExactCardinality 9,map_value
class_expression_count,DataHasValue 19,map_value
class_expression_count,DataMaxCardinality 17,map_value
class_expression_count,DataMinCardinality 1,map_value
