metric,metric_value,metric_type
abox_axiom_count,1,single_value
abox_axiom_count_incl,1,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,11,single_value
annotation_property_count_incl,11,single_value
assert_n_subclass_avg,0.2857142857142857,single_value
assert_n_subclass_avg_incl,0.2857142857142857,single_value
assert_n_superclass_avg,1.1428571428571428,single_value
assert_n_superclass_avg_incl,1.1428571428571428,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,74,single_value
axiom_count_incl,74,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 41,map_value
axiom_type_count,ClassAssertion 1,map_value
axiom_type_count,DataPropertyDomain 2,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 12,map_value
axiom_type_count,InverseObjectProperties 3,map_value
axiom_type_count,ObjectPropertyDomain 6,map_value
axiom_type_count,ObjectPropertyRange 6,map_value
axiom_type_count,SubClassOf 2,map_value
axiom_type_count_incl,AnnotationAssertion 41,map_value
axiom_type_count_incl,ClassAssertion 1,map_value
axiom_type_count_incl,DataPropertyDomain 2,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 12,map_value
axiom_type_count_incl,InverseObjectProperties 3,map_value
axiom_type_count_incl,ObjectPropertyDomain 6,map_value
axiom_type_count_incl,ObjectPropertyRange 6,map_value
axiom_type_count_incl,SubClassOf 2,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,7,single_value
class_count_incl,7,single_value
class_expression_count,Class 23,map_value
class_expression_count_incl,Class 23,map_value
class_sgl_subcl_count,2,single_value
class_sgl_subcl_count_incl,2,single_value
constructs,D,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,D,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
curie_map,cc http://creativecommons.org/ns#,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,2,single_value
dataproperty_count_incl,2,single_value
datatypes_axiom_count,XSD_NON_NEGATIVE_INTEGER 1,map_value
datatypes_axiom_count_incl,XSD_NON_NEGATIVE_INTEGER 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_NON_NEGATIVE_INTEGER,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
