metric,metric_value,metric_type
abox_axiom_count,107,single_value
abox_axiom_count_incl,107,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,18,single_value
annotation_property_count_incl,18,single_value
assert_n_subclass_avg,0.9974937343358395,single_value
assert_n_subclass_avg_incl,0.9974937343358395,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,78,single_value
ax_complexrhs_count_incl,78,single_value
axiom_count,2999,single_value
axiom_count_incl,2999,single_value
axiom_length_max,6,single_value
axiom_length_max_incl,6,single_value
axiom_type_count,AnnotationAssertion 1781,map_value
axiom_type_count,ClassAssertion 45,map_value
axiom_type_count,Declaration 494,map_value
axiom_type_count,DisjointClasses 74,map_value
axiom_type_count,EquivalentClasses 1,map_value
axiom_type_count,InverseObjectProperties 2,map_value
axiom_type_count,ObjectPropertyAssertion 62,map_value
axiom_type_count,ObjectPropertyDomain 33,map_value
axiom_type_count,ObjectPropertyRange 25,map_value
axiom_type_count,SubClassOf 475,map_value
axiom_type_count,SubObjectPropertyOf 4,map_value
axiom_type_count,TransitiveObjectProperty 3,map_value
axiom_type_count_incl,AnnotationAssertion 1781,map_value
axiom_type_count_incl,ClassAssertion 45,map_value
axiom_type_count_incl,Declaration 494,map_value
axiom_type_count_incl,DisjointClasses 74,map_value
axiom_type_count_incl,EquivalentClasses 1,map_value
axiom_type_count_incl,InverseObjectProperties 2,map_value
axiom_type_count_incl,ObjectPropertyAssertion 62,map_value
axiom_type_count_incl,ObjectPropertyDomain 33,map_value
axiom_type_count_incl,ObjectPropertyRange 25,map_value
axiom_type_count_incl,SubClassOf 475,map_value
axiom_type_count_incl,SubObjectPropertyOf 4,map_value
axiom_type_count_incl,TransitiveObjectProperty 3,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,399,single_value
class_count_incl,399,single_value
class_expression_count,Class 1607,map_value
class_expression_count,ObjectAllValuesFrom 5,map_value
class_expression_count,ObjectSomeValuesFrom 72,map_value
class_expression_count,ObjectUnionOf 1,map_value
class_expression_count_incl,Class 1607,map_value
class_expression_count_incl,ObjectAllValuesFrom 5,map_value
class_expression_count_incl,ObjectSomeValuesFrom 72,map_value
class_expression_count_incl,ObjectUnionOf 1,map_value
class_sgl_subcl_count,77,single_value
class_sgl_subcl_count_incl,77,single_value
constructs,H,list_value
constructs,I,list_value
constructs,S,list_value
constructs_incl,H,list_value
constructs_incl,I,list_value
constructs_incl,S,list_value
curie_map,BCGO http://purl.obolibrary.org/obo/BCGO_,map_value
curie_map,BFO http://purl.obolibrary.org/obo/BFO_,map_value
curie_map,BTO http://purl.obolibrary.org/obo/BTO_,map_value
