metric,metric_value,metric_type
abox_axiom_count,2,single_value
abox_axiom_count_incl,2,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,17,single_value
annotation_property_count_incl,17,single_value
assert_n_subclass_avg,0.0,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,313,single_value
axiom_count_incl,313,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 248,map_value
axiom_type_count,ClassAssertion 2,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 53,map_value
axiom_type_count,InverseObjectProperties 9,map_value
axiom_type_count_incl,AnnotationAssertion 248,map_value
axiom_type_count_incl,ClassAssertion 2,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 53,map_value
axiom_type_count_incl,InverseObjectProperties 9,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,InverseObjectProperties,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,16,single_value
class_count_incl,16,single_value
class_expression_count,Class 18,map_value
class_expression_count_incl,Class 18,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs,D,list_value
constructs,I,list_value
constructs_incl,AL,list_value
constructs_incl,D,list_value
constructs_incl,I,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,schema http://schema.org/,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,2,single_value
dataproperty_count_incl,2,single_value
datatypes_axiom_count,XSD_DATE_TIME 1,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_count,2,single_value
datatypes_count_incl,2,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,2,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,ALI(D),single_value
expressivity_incl,ALI(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,1,single_value
individual_count_incl,1,single_value
instance_per_class_avg,0.125,single_value
instance_per_class_avg_incl,0.125,single_value
logical_axiom_count,12,single_value
logical_axiom_count_incl,12,single_value
most_freq_concept,,single_value
most_freq_concept_incl,,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,dc 6,map_value
namespace_axiom_count,foaf 4,map_value
namespace_axiom_count,prefix_unknown 61,map_value
namespace_axiom_count,rdfs 111,map_value
namespace_axiom_count,schema 72,map_value
namespace_axiom_count,skos 69,map_value
namespace_axiom_count,xsd 1,map_value
namespace_axiom_count_incl,dc 6,map_value
namespace_axiom_count_incl,foaf 4,map_value
namespace_axiom_count_incl,prefix_unknown 61,map_value
namespace_axiom_count_incl,rdfs 111,map_value
namespace_axiom_count_incl,schema 72,map_value
namespace_axiom_count_incl,skos 69,map_value
namespace_axiom_count_incl,xsd 1,map_value
namespace_entity_count,dc 6,map_value
namespace_entity_count,foaf 2,map_value
namespace_entity_count,prefix_unknown 41,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,schema 2,map_value
namespace_entity_count,skos 3,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,dc 6,map_value
namespace_entity_count_incl,foaf 2,map_value
namespace_entity_count_incl,prefix_unknown 41,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,schema 2,map_value
namespace_entity_count_incl,skos 3,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,21,single_value
obj_property_count_incl,21,single_value
ontology_anno_count,9,single_value
ontology_iri,http://www.w3.org/ns/sosa/,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,true,single_value
rbox_axiom_count,9,single_value
rbox_axiom_count_incl,9,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,59,single_value
signature_entity_count_incl,59,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,1,single_value
tbox_axiom_count_incl,1,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,10,single_value
tboxrbox_axiom_count_incl,10,single_value
undecl_entity_count,6,single_value
undecl_entity_count_incl,6,single_value
