metric,metric_value,metric_type
abox_axiom_count,10,single_value
abox_axiom_count_incl,10,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,8,single_value
annotation_property_count_incl,8,single_value
assert_n_subclass_avg,0.47368421052631576,single_value
assert_n_subclass_avg_incl,0.47368421052631576,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,73,single_value
axiom_count_incl,73,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 2,map_value
axiom_type_count,ClassAssertion 10,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 17,map_value
axiom_type_count,DisjointClasses 4,map_value
axiom_type_count,ObjectPropertyDomain 13,map_value
axiom_type_count,ObjectPropertyRange 13,map_value
axiom_type_count,SubAnnotationPropertyOf 2,map_value
axiom_type_count,SubClassOf 9,map_value
axiom_type_count,SubObjectPropertyOf 1,map_value
axiom_type_count,TransitiveObjectProperty 1,map_value
axiom_type_count_incl,AnnotationAssertion 2,map_value
axiom_type_count_incl,ClassAssertion 10,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 17,map_value
axiom_type_count_incl,DisjointClasses 4,map_value
axiom_type_count_incl,ObjectPropertyDomain 13,map_value
axiom_type_count_incl,ObjectPropertyRange 13,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 2,map_value
axiom_type_count_incl,SubClassOf 9,map_value
axiom_type_count_incl,SubObjectPropertyOf 1,map_value
axiom_type_count_incl,TransitiveObjectProperty 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,19,single_value
class_count_incl,19,single_value
class_expression_count,Class 78,map_value
class_expression_count_incl,Class 78,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,D,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_TRANSITIVE,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,D,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_TRANSITIVE,list_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,schema http://schema.org/,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,1,single_value
dataproperty_count_incl,1,single_value
datatypes_axiom_count,XSD_DATE_TIME 1,map_value
datatypes_axiom_count_incl,XSD_DATE_TIME 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_count,2,single_value
datatypes_count_incl,2,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,2,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRCH+(D),single_value
expressivity_incl,RRESTRCH+(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,10,single_value
individual_count_incl,10,single_value
instance_per_class_avg,0.5263157894736842,single_value
instance_per_class_avg_incl,0.5263157894736842,single_value
logical_axiom_count,52,single_value
logical_axiom_count_incl,52,single_value
most_freq_concept,http://purl.org/wild/vocab#Activity,single_value
most_freq_concept_incl,http://purl.org/wild/vocab#Activity,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,prefix_unknown 119,map_value
namespace_axiom_count,rdf 2,map_value
namespace_axiom_count,rdfs 2,map_value
namespace_axiom_count,schema 2,map_value
namespace_axiom_count,xsd 1,map_value
namespace_axiom_count_incl,prefix_unknown 119,map_value
namespace_axiom_count_incl,rdf 2,map_value
namespace_axiom_count_incl,rdfs 2,map_value
namespace_axiom_count_incl,schema 2,map_value
namespace_axiom_count_incl,xsd 1,map_value
namespace_entity_count,foaf 1,map_value
namespace_entity_count,prefix_unknown 43,map_value
namespace_entity_count,rdf 2,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,schema 2,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,foaf 1,map_value
namespace_entity_count_incl,prefix_unknown 43,map_value
namespace_entity_count_incl,rdf 2,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,schema 2,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,13,single_value
obj_property_count_incl,13,single_value
ontology_anno_count,4,single_value
ontology_iri,http://purl.org/wild/vocab,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,IllegalPunning 6,map_value
owl2dl_profile_violation,UseOfReservedVocabularyForClassIRI 3,map_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 6,map_value
owl2dl_profile_violation,UseOfUndeclaredClass 5,map_value
owl2dl_profile_violation,UseOfUndeclaredDataProperty 1,map_value
owl2dl_profile_violation,UseOfUndeclaredObjectProperty 25,map_value
rbox_axiom_count,2,single_value
rbox_axiom_count_incl,2,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,53,single_value
signature_entity_count_incl,53,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,40,single_value
tbox_axiom_count_incl,40,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,42,single_value
tboxrbox_axiom_count_incl,42,single_value
undecl_entity_count,36,single_value
undecl_entity_count_incl,36,single_value
