metric,metric_value,metric_type
abox_axiom_count,12,single_value
abox_axiom_count_incl,20,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,16,single_value
annotation_property_count_incl,29,single_value
assert_n_subclass_avg,0.7692307692307693,single_value
assert_n_subclass_avg_incl,0.11299435028248588,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0451977401129944,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,12,single_value
axiom_count,362,single_value
axiom_count_incl,1749,single_value
axiom_length_max,6,single_value
axiom_length_max_incl,6,single_value
axiom_type_count,AnnotationAssertion 44,map_value
axiom_type_count,ClassAssertion 12,map_value
axiom_type_count,DataPropertyDomain 6,map_value
axiom_type_count,DataPropertyRange 5,map_value
axiom_type_count,Declaration 108,map_value
axiom_type_count,DisjointClasses 4,map_value
axiom_type_count,DisjointDataProperties 2,map_value
axiom_type_count,DisjointObjectProperties 1,map_value
axiom_type_count,ObjectPropertyDomain 51,map_value
axiom_type_count,ObjectPropertyRange 56,map_value
axiom_type_count,SubClassOf 20,map_value
axiom_type_count,SubDataPropertyOf 5,map_value
axiom_type_count,SubObjectPropertyOf 47,map_value
axiom_type_count,SymmetricObjectProperty 1,map_value
axiom_type_count_incl,AnnotationAssertion 612,map_value
axiom_type_count_incl,ClassAssertion 20,map_value
axiom_type_count_incl,DataPropertyDomain 30,map_value
axiom_type_count_incl,DataPropertyRange 27,map_value
axiom_type_count_incl,Declaration 419,map_value
axiom_type_count_incl,DisjointClasses 51,map_value
axiom_type_count_incl,DisjointDataProperties 2,map_value
axiom_type_count_incl,DisjointObjectProperties 1,map_value
axiom_type_count_incl,EquivalentClasses 14,map_value
axiom_type_count_incl,EquivalentObjectProperties 2,map_value
axiom_type_count_incl,InverseObjectProperties 39,map_value
axiom_type_count_incl,ObjectPropertyDomain 148,map_value
axiom_type_count_incl,ObjectPropertyRange 150,map_value
axiom_type_count_incl,SubClassOf 141,map_value
axiom_type_count_incl,SubDataPropertyOf 5,map_value
axiom_type_count_incl,SubObjectPropertyOf 87,map_value
axiom_type_count_incl,SymmetricObjectProperty 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,DisjointDataProperties,list_value
axiom_types,DisjointObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,DisjointDataProperties,list_value
axiom_types_incl,DisjointObjectProperties,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,EquivalentObjectProperties,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,26,single_value
class_count_incl,177,single_value
class_expression_count,Class 205,map_value
class_expression_count_incl,Class 967,map_value
class_expression_count_incl,ObjectUnionOf 14,map_value
class_sgl_subcl_count,1,single_value
