metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,11,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,6,single_value
annotation_property_count_incl,737,single_value
assert_n_subclass_avg,NaN,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,NaN,single_value
assert_n_superclass_avg_incl,1.1525256789081189,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,319,single_value
axiom_count,0,single_value
axiom_count_incl,172860,single_value
axiom_length_max,0,single_value
axiom_length_max_incl,20,single_value
axiom_type_count_incl,AnnotationAssertion 124680,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 134,map_value
axiom_type_count_incl,ClassAssertion 9,map_value
axiom_type_count_incl,DatatypeDefinition 19,map_value
axiom_type_count_incl,Declaration 22818,map_value
axiom_type_count_incl,DifferentIndividuals 2,map_value
axiom_type_count_incl,DisjointClasses 21,map_value
axiom_type_count_incl,EquivalentClasses 292,map_value
axiom_type_count_incl,FunctionalDataProperty 1,map_value
axiom_type_count_incl,FunctionalObjectProperty 1,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 228,map_value
axiom_type_count_incl,SubClassOf 24611,map_value
axiom_type_count_incl,SubObjectPropertyOf 43,map_value
axiom_type_count_incl,TransitiveObjectProperty 1,map_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DatatypeDefinition,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DifferentIndividuals,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,true,single_value
class_count,0,single_value
class_count_incl,21321,single_value
class_expression_count_incl,Class 70987,map_value
class_expression_count_incl,ObjectAllValuesFrom 1,map_value
class_expression_count_incl,ObjectIntersectionOf 20,map_value
class_expression_count_incl,ObjectOneOf 271,map_value
class_expression_count_incl,ObjectSomeValuesFrom 46,map_value
class_expression_count_incl,ObjectUnionOf 6,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs_incl,D,list_value
constructs_incl,F,list_value
constructs_incl,H,list_value
