metric,metric_value,metric_type
abox_axiom_count,21,single_value
abox_axiom_count_incl,21,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,35,single_value
annotation_property_count_incl,35,single_value
assert_n_subclass_avg,0.625,single_value
assert_n_subclass_avg_incl,0.625,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,18,single_value
ax_complexrhs_count_incl,18,single_value
axiom_count,1086,single_value
axiom_count_incl,1086,single_value
axiom_length_max,4,single_value
axiom_length_max_incl,4,single_value
axiom_type_count,AnnotationAssertion 668,map_value
axiom_type_count,ClassAssertion 21,map_value
axiom_type_count,DataPropertyDomain 29,map_value
axiom_type_count,DataPropertyRange 31,map_value
axiom_type_count,Declaration 173,map_value
axiom_type_count,DisjointClasses 1,map_value
axiom_type_count,EquivalentClasses 1,map_value
axiom_type_count,InverseFunctionalObjectProperty 1,map_value
axiom_type_count,InverseObjectProperties 14,map_value
axiom_type_count,ObjectPropertyDomain 41,map_value
axiom_type_count,ObjectPropertyRange 35,map_value
axiom_type_count,SubClassOf 37,map_value
axiom_type_count,SubDataPropertyOf 9,map_value
axiom_type_count,SubObjectPropertyOf 19,map_value
axiom_type_count,SubPropertyChainOf 1,map_value
axiom_type_count,TransitiveObjectProperty 5,map_value
axiom_type_count_incl,AnnotationAssertion 668,map_value
axiom_type_count_incl,ClassAssertion 21,map_value
axiom_type_count_incl,DataPropertyDomain 29,map_value
axiom_type_count_incl,DataPropertyRange 31,map_value
axiom_type_count_incl,Declaration 173,map_value
axiom_type_count_incl,DisjointClasses 1,map_value
axiom_type_count_incl,EquivalentClasses 1,map_value
axiom_type_count_incl,InverseFunctionalObjectProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 14,map_value
axiom_type_count_incl,ObjectPropertyDomain 41,map_value
axiom_type_count_incl,ObjectPropertyRange 35,map_value
axiom_type_count_incl,SubClassOf 37,map_value
axiom_type_count_incl,SubDataPropertyOf 9,map_value
axiom_type_count_incl,SubObjectPropertyOf 19,map_value
axiom_type_count_incl,SubPropertyChainOf 1,map_value
axiom_type_count_incl,TransitiveObjectProperty 5,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,InverseFunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,EquivalentClasses,list_value
axiom_types_incl,InverseFunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SubPropertyChainOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,32,single_value
class_count_incl,32,single_value
class_expression_count,Class 228,map_value
class_expression_count,DataExactCardinality 8,map_value
class_expression_count,DataMaxCardinality 2,map_value
class_expression_count,ObjectExactCardinality 1,map_value
class_expression_count,ObjectMinCardinality 3,map_value
class_expression_count,ObjectSomeValuesFrom 4,map_value
class_expression_count,ObjectUnionOf 3,map_value
class_expression_count_incl,Class 228,map_value
class_expression_count_incl,DataExactCardinality 8,map_value
class_expression_count_incl,DataMaxCardinality 2,map_value
class_expression_count_incl,ObjectExactCardinality 1,map_value
class_expression_count_incl,ObjectMinCardinality 3,map_value
class_expression_count_incl,ObjectSomeValuesFrom 4,map_value
class_expression_count_incl,ObjectUnionOf 3,map_value
class_sgl_subcl_count,9,single_value
class_sgl_subcl_count_incl,9,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,FULL_EXISTENTIAL,list_value
constructs,N,list_value
constructs,ROLE_COMPLEX,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,FULL_EXISTENTIAL,list_value
constructs_incl,N,list_value
constructs_incl,ROLE_COMPLEX,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_INVERSE,list_value
curie_map,BFO http://purl.obolibrary.org/obo/BFO_,map_value
curie_map,RO http://purl.obolibrary.org/obo/RO_,map_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,foaf http://xmlns.com/foaf/0.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,prov http://www.w3.org/ns/prov#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,32,single_value
dataproperty_count_incl,32,single_value
datatypes_axiom_count,<https://schema.org/DateTime> 10,map_value
datatypes_axiom_count,RDFS_LITERAL 13,map_value
datatypes_axiom_count,XSD_DECIMAL 8,map_value
datatypes_axiom_count,XSD_STRING 8,map_value
datatypes_axiom_count,xsd:date 3,map_value
datatypes_axiom_count,xsd:duration 2,map_value
datatypes_axiom_count_incl,<https://schema.org/DateTime> 10,map_value
datatypes_axiom_count_incl,RDFS_LITERAL 13,map_value
datatypes_axiom_count_incl,XSD_DECIMAL 8,map_value
datatypes_axiom_count_incl,XSD_STRING 8,map_value
