metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,10,single_value
annotation_property_count_incl,10,single_value
assert_n_subclass_avg,0.9142857142857143,single_value
assert_n_subclass_avg_incl,0.9142857142857143,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,45,single_value
ax_complexrhs_count_incl,45,single_value
axiom_count,549,single_value
axiom_count_incl,549,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,3,single_value
axiom_type_count,AnnotationAssertion 202,map_value
axiom_type_count,DataPropertyRange 7,map_value
axiom_type_count,Declaration 167,map_value
axiom_type_count,SubClassOf 173,map_value
axiom_type_count_incl,AnnotationAssertion 202,map_value
axiom_type_count_incl,DataPropertyRange 7,map_value
axiom_type_count_incl,Declaration 167,map_value
axiom_type_count_incl,SubClassOf 173,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,140,single_value
class_count_incl,140,single_value
class_expression_count,Class 459,map_value
class_expression_count,DataAllValuesFrom 9,map_value
class_expression_count,DataExactCardinality 6,map_value
class_expression_count,DataMaxCardinality 12,map_value
class_expression_count,ObjectAllValuesFrom 12,map_value
class_expression_count,ObjectExactCardinality 2,map_value
class_expression_count,ObjectMinCardinality 4,map_value
class_expression_count_incl,Class 459,map_value
class_expression_count_incl,DataAllValuesFrom 9,map_value
class_expression_count_incl,DataExactCardinality 6,map_value
class_expression_count_incl,DataMaxCardinality 12,map_value
class_expression_count_incl,ObjectAllValuesFrom 12,map_value
class_expression_count_incl,ObjectExactCardinality 2,map_value
class_expression_count_incl,ObjectMinCardinality 4,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs,D,list_value
constructs,Q,list_value
constructs_incl,AL,list_value
constructs_incl,D,list_value
constructs_incl,Q,list_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,8,single_value
dataproperty_count_incl,8,single_value
datatypes_axiom_count,RDFS_LITERAL 17,map_value
datatypes_axiom_count,XSD_FLOAT 1,map_value
datatypes_axiom_count,XSD_INTEGER 1,map_value
datatypes_axiom_count,XSD_STRING 15,map_value
datatypes_axiom_count_incl,RDFS_LITERAL 17,map_value
datatypes_axiom_count_incl,XSD_FLOAT 1,map_value
datatypes_axiom_count_incl,XSD_INTEGER 1,map_value
datatypes_axiom_count_incl,XSD_STRING 15,map_value
datatypes_builtin,RDFS_LITERAL,list_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_FLOAT,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDFS_LITERAL,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_FLOAT,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,5,single_value
datatypes_count_incl,5,single_value
dt_builtin_count,5,single_value
dt_builtin_count_incl,5,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,ALQ(D),single_value
expressivity_incl,ALQ(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,180,single_value
logical_axiom_count_incl,180,single_value
most_freq_concept,http://bimerr.iot.linkeddata.es/def/material-properties#FloorCoveringAndSkirtingBoard,single_value
most_freq_concept_incl,http://bimerr.iot.linkeddata.es/def/material-properties#FloorCoveringAndSkirtingBoard,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,dc11 5,map_value
namespace_axiom_count,prefix_unknown 533,map_value
namespace_axiom_count,rdfs 219,map_value
namespace_axiom_count,xsd 17,map_value
namespace_axiom_count_incl,dc11 5,map_value
namespace_axiom_count_incl,prefix_unknown 533,map_value
namespace_axiom_count_incl,rdfs 219,map_value
namespace_axiom_count_incl,xsd 17,map_value
namespace_entity_count,dc11 5,map_value
namespace_entity_count,owl 1,map_value
namespace_entity_count,prefix_unknown 162,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 4,map_value
namespace_entity_count,xsd 3,map_value
namespace_entity_count_incl,dc11 5,map_value
namespace_entity_count_incl,owl 1,map_value
namespace_entity_count_incl,prefix_unknown 162,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 4,map_value
namespace_entity_count_incl,xsd 3,map_value
obj_property_count,13,single_value
obj_property_count_incl,13,single_value
ontology_anno_count,7,single_value
ontology_iri,http://bimerr.iot.linkeddata.es/def/material-properties#,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,176,single_value
signature_entity_count_incl,176,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,180,single_value
tbox_axiom_count_incl,180,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,180,single_value
tboxrbox_axiom_count_incl,180,single_value
undecl_entity_count,9,single_value
undecl_entity_count_incl,9,single_value
