metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,517,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,3,single_value
annotation_property_count_incl,3,single_value
assert_n_subclass_avg,0.3,single_value
assert_n_subclass_avg_incl,0.0049504950495049506,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0033003300330032,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,58,single_value
axiom_count_incl,2056,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,3,single_value
axiom_type_count,AnnotationAssertion 1,map_value
axiom_type_count,AnnotationPropertyDomain 1,map_value
axiom_type_count,DataPropertyDomain 11,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 26,map_value
axiom_type_count,ObjectPropertyDomain 8,map_value
axiom_type_count,ObjectPropertyRange 7,map_value
axiom_type_count,SubClassOf 3,map_value
axiom_type_count_incl,AnnotationAssertion 104,map_value
axiom_type_count_incl,AnnotationPropertyDomain 1,map_value
axiom_type_count_incl,ClassAssertion 479,map_value
axiom_type_count_incl,DataPropertyAssertion 16,map_value
axiom_type_count_incl,DataPropertyDomain 62,map_value
axiom_type_count_incl,DataPropertyRange 10,map_value
axiom_type_count_incl,Declaration 704,map_value
axiom_type_count_incl,ObjectPropertyAssertion 22,map_value
axiom_type_count_incl,ObjectPropertyDomain 31,map_value
axiom_type_count_incl,ObjectPropertyRange 30,map_value
axiom_type_count_incl,SubClassOf 597,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyDomain,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyDomain,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,10,single_value
class_count_incl,606,single_value
class_expression_count,Class 36,map_value
class_expression_count_incl,Class 2405,map_value
class_expression_count_incl,ObjectUnionOf 3,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,AL,list_value
constructs,D,list_value
constructs_incl,AL,list_value
constructs_incl,D,list_value
constructs_incl,U,list_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,13,single_value
dataproperty_count_incl,66,single_value
datatypes_axiom_count,XSD_STRING 1,map_value
datatypes_axiom_count_incl,XSD_STRING 26,map_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,1,single_value
datatypes_count_incl,1,single_value
dt_builtin_count,1,single_value
dt_builtin_count_incl,1,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
