metric,metric_value,metric_type
abox_axiom_count,4,single_value
abox_axiom_count_incl,4,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,45,single_value
annotation_property_count_incl,45,single_value
assert_n_subclass_avg,0.7565217391304347,single_value
assert_n_subclass_avg_incl,0.7565217391304347,single_value
assert_n_superclass_avg,1.017391304347826,single_value
assert_n_superclass_avg_incl,1.017391304347826,single_value
ax_complexrhs_count,5,single_value
ax_complexrhs_count_incl,5,single_value
axiom_count,1113,single_value
axiom_count_incl,1113,single_value
axiom_length_max,4,single_value
axiom_length_max_incl,4,single_value
axiom_type_count,AnnotationAssertion 557,map_value
axiom_type_count,AnnotationPropertyRangeOf 2,map_value
axiom_type_count,ClassAssertion 4,map_value
axiom_type_count,DataPropertyDomain 25,map_value
axiom_type_count,DataPropertyRange 3,map_value
axiom_type_count,Declaration 262,map_value
axiom_type_count,EquivalentClasses 7,map_value
axiom_type_count,FunctionalDataProperty 1,map_value
axiom_type_count,InverseObjectProperties 21,map_value
axiom_type_count,ObjectPropertyDomain 54,map_value
axiom_type_count,ObjectPropertyRange 54,map_value
axiom_type_count,SubAnnotationPropertyOf 8,map_value
axiom_type_count,SubClassOf 92,map_value
axiom_type_count,SubDataPropertyOf 11,map_value
axiom_type_count,SubObjectPropertyOf 8,map_value
axiom_type_count,SymmetricObjectProperty 4,map_value
axiom_type_count_incl,AnnotationAssertion 557,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 2,map_value
axiom_type_count_incl,ClassAssertion 4,map_value
axiom_type_count_incl,DataPropertyDomain 25,map_value
axiom_type_count_incl,DataPropertyRange 3,map_value
axiom_type_count_incl,Declaration 262,map_value
axiom_type_count_incl,EquivalentClasses 7,map_value
axiom_type_count_incl,FunctionalDataProperty 1,map_value
axiom_type_count_incl,InverseObjectProperties 21,map_value
axiom_type_count_incl,ObjectPropertyDomain 54,map_value
axiom_type_count_incl,ObjectPropertyRange 54,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 8,map_value
axiom_type_count_incl,SubClassOf 92,map_value
axiom_type_count_incl,SubDataPropertyOf 11,map_value
