metric,metric_value,metric_type
abox_axiom_count,5,single_value
abox_axiom_count_incl,5,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,12,single_value
annotation_property_count_incl,12,single_value
assert_n_subclass_avg,0.5882352941176471,single_value
assert_n_subclass_avg_incl,0.5882352941176471,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,411,single_value
axiom_count_incl,411,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,3,single_value
axiom_type_count,AnnotationAssertion 187,map_value
axiom_type_count,ClassAssertion 5,map_value
axiom_type_count,DataPropertyDomain 4,map_value
axiom_type_count,DataPropertyRange 3,map_value
axiom_type_count,Declaration 105,map_value
axiom_type_count,InverseObjectProperties 24,map_value
axiom_type_count,ObjectPropertyDomain 29,map_value
axiom_type_count,ObjectPropertyRange 28,map_value
axiom_type_count,SubClassOf 20,map_value
axiom_type_count,SubObjectPropertyOf 4,map_value
axiom_type_count,SymmetricObjectProperty 2,map_value
axiom_type_count_incl,AnnotationAssertion 187,map_value
axiom_type_count_incl,ClassAssertion 5,map_value
axiom_type_count_incl,DataPropertyDomain 4,map_value
axiom_type_count_incl,DataPropertyRange 3,map_value
axiom_type_count_incl,Declaration 105,map_value
axiom_type_count_incl,InverseObjectProperties 24,map_value
axiom_type_count_incl,ObjectPropertyDomain 29,map_value
axiom_type_count_incl,ObjectPropertyRange 28,map_value
axiom_type_count_incl,SubClassOf 20,map_value
axiom_type_count_incl,SubObjectPropertyOf 4,map_value
axiom_type_count_incl,SymmetricObjectProperty 2,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,SymmetricObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,34,single_value
class_count_incl,34,single_value
class_expression_count,Class 150,map_value
class_expression_count,ObjectUnionOf 11,map_value
class_expression_count_incl,Class 150,map_value
class_expression_count_incl,ObjectUnionOf 11,map_value
class_sgl_subcl_count,6,single_value
class_sgl_subcl_count_incl,6,single_value
constructs,CONCEPT_UNION,list_value
constructs,D,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,CONCEPT_UNION,list_value
constructs_incl,D,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_INVERSE,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,dc11 http://purl.org/dc/elements/1.1/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,schema http://schema.org/,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,void http://rdfs.org/ns/void#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,4,single_value
dataproperty_count_incl,4,single_value
datatypes_axiom_count,RDFS_LITERAL 2,map_value
datatypes_axiom_count,XSD_ANY_URI 1,map_value
datatypes_axiom_count_incl,RDFS_LITERAL 2,map_value
datatypes_axiom_count_incl,XSD_ANY_URI 1,map_value
datatypes_builtin,RDFS_LITERAL,list_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDFS_LITERAL,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,4,single_value
datatypes_count_incl,4,single_value
dt_builtin_count,4,single_value
dt_builtin_count_incl,4,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTRUHI(D),single_value
expressivity_incl,RRESTRUHI(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,5,single_value
individual_count_incl,5,single_value
instance_per_class_avg,0.14705882352941177,single_value
instance_per_class_avg_incl,0.14705882352941177,single_value
logical_axiom_count,119,single_value
logical_axiom_count_incl,119,single_value
most_freq_concept,https://nfdi.fiz-karlsruhe.de/ontology/Place,single_value
most_freq_concept_incl,https://nfdi.fiz-karlsruhe.de/ontology/Place,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,1,single_value
named_supercl_count_max_incl,1,single_value
namespace_axiom_count,dc 2,map_value
namespace_axiom_count,dc11 3,map_value
namespace_axiom_count,owl 3,map_value
namespace_axiom_count,prefix_unknown 355,map_value
namespace_axiom_count,rdfs 159,map_value
namespace_axiom_count,schema 14,map_value
namespace_axiom_count,skos 1,map_value
namespace_axiom_count,void 1,map_value
namespace_axiom_count,xsd 1,map_value
namespace_axiom_count_incl,dc 2,map_value
namespace_axiom_count_incl,dc11 3,map_value
namespace_axiom_count_incl,owl 3,map_value
namespace_axiom_count_incl,prefix_unknown 355,map_value
namespace_axiom_count_incl,rdfs 159,map_value
namespace_axiom_count_incl,schema 14,map_value
namespace_axiom_count_incl,skos 1,map_value
namespace_axiom_count_incl,void 1,map_value
namespace_axiom_count_incl,xsd 1,map_value
namespace_entity_count,dc 2,map_value
namespace_entity_count,dc11 3,map_value
namespace_entity_count,owl 2,map_value
namespace_entity_count,prefix_unknown 94,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,schema 4,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,void 1,map_value
namespace_entity_count,xsd 2,map_value
namespace_entity_count_incl,dc 2,map_value
namespace_entity_count_incl,dc11 3,map_value
namespace_entity_count_incl,owl 2,map_value
namespace_entity_count_incl,prefix_unknown 94,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,schema 4,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,void 1,map_value
namespace_entity_count_incl,xsd 2,map_value
obj_property_count,54,single_value
obj_property_count_incl,54,single_value
ontology_anno_count,8,single_value
ontology_iri,https://nfdi.fiz-karlsruhe.de/ontology,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,30,single_value
rbox_axiom_count_incl,30,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,113,single_value
signature_entity_count_incl,113,single_value
syntax,Turtle,single_value
tautology_count,5,single_value
tautology_count_incl,5,single_value
tbox_axiom_count,84,single_value
tbox_axiom_count_incl,84,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
