metric,metric_value,metric_type
abox_axiom_count,35,single_value
abox_axiom_count_incl,35,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,8,single_value
annotation_property_count_incl,8,single_value
assert_n_subclass_avg,0.6666666666666666,single_value
assert_n_subclass_avg_incl,0.6666666666666666,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,361,single_value
axiom_count_incl,361,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 108,map_value
axiom_type_count,ClassAssertion 26,map_value
axiom_type_count,DataPropertyAssertion 9,map_value
axiom_type_count,DataPropertyDomain 14,map_value
axiom_type_count,DataPropertyRange 22,map_value
axiom_type_count,Declaration 78,map_value
axiom_type_count,DisjointClasses 2,map_value
axiom_type_count,FunctionalDataProperty 22,map_value
axiom_type_count,FunctionalObjectProperty 6,map_value
axiom_type_count,InverseObjectProperties 3,map_value
axiom_type_count,ObjectPropertyDomain 10,map_value
axiom_type_count,ObjectPropertyRange 10,map_value
axiom_type_count,SubClassOf 16,map_value
axiom_type_count,SubDataPropertyOf 25,map_value
axiom_type_count,SubObjectPropertyOf 10,map_value
axiom_type_count_incl,AnnotationAssertion 108,map_value
axiom_type_count_incl,ClassAssertion 26,map_value
axiom_type_count_incl,DataPropertyAssertion 9,map_value
axiom_type_count_incl,DataPropertyDomain 14,map_value
axiom_type_count_incl,DataPropertyRange 22,map_value
axiom_type_count_incl,Declaration 78,map_value
axiom_type_count_incl,DisjointClasses 2,map_value
axiom_type_count_incl,FunctionalDataProperty 22,map_value
axiom_type_count_incl,FunctionalObjectProperty 6,map_value
axiom_type_count_incl,InverseObjectProperties 3,map_value
axiom_type_count_incl,ObjectPropertyDomain 10,map_value
axiom_type_count_incl,ObjectPropertyRange 10,map_value
axiom_type_count_incl,SubClassOf 16,map_value
axiom_type_count_incl,SubDataPropertyOf 25,map_value
axiom_type_count_incl,SubObjectPropertyOf 10,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,FunctionalDataProperty,list_value
axiom_types,FunctionalObjectProperty,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,FunctionalDataProperty,list_value
axiom_types_incl,FunctionalObjectProperty,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,24,single_value
class_count_incl,24,single_value
class_expression_count,Class 120,map_value
class_expression_count_incl,Class 120,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,CONCEPT_COMPLEX_NEGATION,list_value
constructs,D,list_value
constructs,F,list_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs,ROLE_HIERARCHY,list_value
constructs,ROLE_INVERSE,list_value
constructs_incl,CONCEPT_COMPLEX_NEGATION,list_value
constructs_incl,D,list_value
constructs_incl,F,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_HIERARCHY,list_value
constructs_incl,ROLE_INVERSE,list_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
