metric,metric_value,metric_type
abox_axiom_count,0,single_value
abox_axiom_count_incl,0,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,3,single_value
annotation_property_count_incl,3,single_value
assert_n_subclass_avg,0.8518518518518519,single_value
assert_n_subclass_avg_incl,0.8518518518518519,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,244,single_value
axiom_count_incl,244,single_value
axiom_length_max,7,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,AnnotationAssertion 79,map_value
axiom_type_count,DataPropertyDomain 3,map_value
axiom_type_count,DataPropertyRange 20,map_value
axiom_type_count,Declaration 76,map_value
axiom_type_count,DisjointClasses 6,map_value
axiom_type_count,InverseObjectProperties 1,map_value
axiom_type_count,ObjectPropertyDomain 1,map_value
axiom_type_count,ObjectPropertyRange 4,map_value
axiom_type_count,SubClassOf 23,map_value
axiom_type_count,SubDataPropertyOf 17,map_value
axiom_type_count,SubObjectPropertyOf 13,map_value
axiom_type_count,TransitiveObjectProperty 1,map_value
axiom_type_count_incl,AnnotationAssertion 79,map_value
axiom_type_count_incl,DataPropertyDomain 3,map_value
axiom_type_count_incl,DataPropertyRange 20,map_value
axiom_type_count_incl,Declaration 76,map_value
axiom_type_count_incl,DisjointClasses 6,map_value
axiom_type_count_incl,InverseObjectProperties 1,map_value
axiom_type_count_incl,ObjectPropertyDomain 1,map_value
axiom_type_count_incl,ObjectPropertyRange 4,map_value
axiom_type_count_incl,SubClassOf 23,map_value
axiom_type_count_incl,SubDataPropertyOf 17,map_value
axiom_type_count_incl,SubObjectPropertyOf 13,map_value
axiom_type_count_incl,TransitiveObjectProperty 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,27,single_value
class_count_incl,27,single_value
class_expression_count,Class 100,map_value
class_expression_count,DataAllValuesFrom 1,map_value
class_expression_count_incl,Class 100,map_value
class_expression_count_incl,DataAllValuesFrom 1,map_value
class_sgl_subcl_count,2,single_value
class_sgl_subcl_count_incl,2,single_value
constructs,D,list_value
constructs,H,list_value
constructs,I,list_value
constructs,S,list_value
constructs_incl,D,list_value
constructs_incl,H,list_value
constructs_incl,I,list_value
constructs_incl,S,list_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,21,single_value
dataproperty_count_incl,21,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 1,map_value
datatypes_axiom_count,XSD_INT 2,map_value
datatypes_axiom_count,XSD_INTEGER 2,map_value
datatypes_axiom_count,XSD_LANGUAGE 4,map_value
datatypes_axiom_count,XSD_STRING 17,map_value
datatypes_axiom_count,xsd:date 1,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 1,map_value
datatypes_axiom_count_incl,XSD_INT 2,map_value
datatypes_axiom_count_incl,XSD_INTEGER 2,map_value
datatypes_axiom_count_incl,XSD_LANGUAGE 4,map_value
datatypes_axiom_count_incl,XSD_STRING 17,map_value
datatypes_axiom_count_incl,xsd:date 1,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_INT,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_LANGUAGE,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_INT,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_LANGUAGE,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,6,single_value
datatypes_count_incl,6,single_value
datatypes_not_built_in,xsd:date,list_value
datatypes_not_built_in_incl,xsd:date,list_value
dt_builtin_count,5,single_value
dt_builtin_count_incl,5,single_value
dt_notbuiltin_count,1,single_value
dt_notbuiltin_count_incl,1,single_value
expressivity,SHI(D),single_value
expressivity_incl,SHI(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,0,single_value
individual_count_incl,0,single_value
instance_per_class_avg,0.0,single_value
instance_per_class_avg_incl,0.0,single_value
logical_axiom_count,89,single_value
logical_axiom_count_incl,89,single_value
most_freq_concept,https://www.niso.org/standards-committees/ssos/ssos01.owl#Standard,single_value
most_freq_concept_incl,https://www.niso.org/standards-committees/ssos/ssos01.owl#Standard,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,owl 20,map_value
namespace_axiom_count,prefix_unknown 213,map_value
namespace_axiom_count,rdf 1,map_value
namespace_axiom_count,rdfs 65,map_value
namespace_axiom_count,skos 16,map_value
namespace_axiom_count,xsd 26,map_value
namespace_axiom_count_incl,owl 20,map_value
namespace_axiom_count_incl,prefix_unknown 213,map_value
namespace_axiom_count_incl,rdf 1,map_value
namespace_axiom_count_incl,rdfs 65,map_value
namespace_axiom_count_incl,skos 16,map_value
namespace_axiom_count_incl,xsd 26,map_value
namespace_entity_count,owl 3,map_value
namespace_entity_count,prefix_unknown 65,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 1,map_value
namespace_entity_count,skos 1,map_value
namespace_entity_count,xsd 5,map_value
namespace_entity_count_incl,owl 3,map_value
namespace_entity_count_incl,prefix_unknown 65,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 1,map_value
namespace_entity_count_incl,skos 1,map_value
namespace_entity_count_incl,xsd 5,map_value
obj_property_count,19,single_value
obj_property_count_incl,19,single_value
ontology_anno_count,0,single_value
ontology_iri,https://www.niso.org/standards-committees/ssos/ssos01.owl,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,true,single_value
rbox_axiom_count,32,single_value
rbox_axiom_count_incl,32,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,76,single_value
signature_entity_count_incl,76,single_value
syntax,OWL/XML Syntax,single_value
tautology_count,17,single_value
tautology_count_incl,17,single_value
tbox_axiom_count,57,single_value
tbox_axiom_count_incl,57,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,89,single_value
tboxrbox_axiom_count_incl,89,single_value
undecl_entity_count,0,single_value
undecl_entity_count_incl,0,single_value
