metric,metric_value,metric_type
abox_axiom_count,23,single_value
abox_axiom_count_incl,23,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,18,single_value
annotation_property_count_incl,18,single_value
assert_n_subclass_avg,1.0378151260504203,single_value
assert_n_subclass_avg_incl,1.0378151260504203,single_value
assert_n_superclass_avg,1.0378151260504203,single_value
assert_n_superclass_avg_incl,1.0378151260504203,single_value
ax_complexrhs_count,59,single_value
ax_complexrhs_count_incl,59,single_value
axiom_count,1063,single_value
axiom_count_incl,1063,single_value
axiom_length_max,7,single_value
axiom_length_max_incl,7,single_value
axiom_type_count,AnnotationAssertion 256,map_value
axiom_type_count,AnnotationPropertyDomain 5,map_value
axiom_type_count,AnnotationPropertyRangeOf 3,map_value
axiom_type_count,ClassAssertion 21,map_value
axiom_type_count,DataPropertyAssertion 1,map_value
axiom_type_count,DataPropertyRange 2,map_value
axiom_type_count,Declaration 339,map_value
axiom_type_count,DisjointClasses 5,map_value
axiom_type_count,DisjointObjectProperties 2,map_value
axiom_type_count,InverseObjectProperties 26,map_value
axiom_type_count,ObjectPropertyAssertion 1,map_value
axiom_type_count,ObjectPropertyDomain 8,map_value
axiom_type_count,ObjectPropertyRange 26,map_value
axiom_type_count,SubAnnotationPropertyOf 5,map_value
axiom_type_count,SubClassOf 306,map_value
axiom_type_count,SubDataPropertyOf 2,map_value
axiom_type_count,SubObjectPropertyOf 47,map_value
axiom_type_count,SubPropertyChainOf 4,map_value
axiom_type_count,SymmetricObjectProperty 1,map_value
axiom_type_count,TransitiveObjectProperty 3,map_value
axiom_type_count_incl,AnnotationAssertion 256,map_value
axiom_type_count_incl,AnnotationPropertyDomain 5,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 3,map_value
axiom_type_count_incl,ClassAssertion 21,map_value
axiom_type_count_incl,DataPropertyAssertion 1,map_value
axiom_type_count_incl,DataPropertyRange 2,map_value
axiom_type_count_incl,Declaration 339,map_value
axiom_type_count_incl,DisjointClasses 5,map_value
axiom_type_count_incl,DisjointObjectProperties 2,map_value
axiom_type_count_incl,InverseObjectProperties 26,map_value
axiom_type_count_incl,ObjectPropertyAssertion 1,map_value
axiom_type_count_incl,ObjectPropertyDomain 8,map_value
axiom_type_count_incl,ObjectPropertyRange 26,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 5,map_value
axiom_type_count_incl,SubClassOf 306,map_value
axiom_type_count_incl,SubDataPropertyOf 2,map_value
axiom_type_count_incl,SubObjectPropertyOf 47,map_value
axiom_type_count_incl,SubPropertyChainOf 4,map_value
axiom_type_count_incl,SymmetricObjectProperty 1,map_value
axiom_type_count_incl,TransitiveObjectProperty 3,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AnnotationPropertyDomain,list_value
axiom_types,AnnotationPropertyRangeOf,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,DisjointObjectProperties,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubAnnotationPropertyOf,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,SubPropertyChainOf,list_value
axiom_types,SymmetricObjectProperty,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyDomain,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
