metric,metric_value,metric_type
abox_axiom_count,2508,single_value
abox_axiom_count_incl,2508,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,19,single_value
annotation_property_count_incl,19,single_value
assert_n_subclass_avg,1.2273567467652495,single_value
assert_n_subclass_avg_incl,1.2273567467652495,single_value
assert_n_superclass_avg,1.2375231053604436,single_value
assert_n_superclass_avg_incl,1.2375231053604436,single_value
ax_complexrhs_count,595,single_value
ax_complexrhs_count_incl,595,single_value
axiom_count,11863,single_value
axiom_count_incl,11863,single_value
axiom_length_max,18,single_value
axiom_length_max_incl,18,single_value
axiom_type_count,AnnotationAssertion 1848,map_value
axiom_type_count,ClassAssertion 1052,map_value
axiom_type_count,DataPropertyAssertion 661,map_value
axiom_type_count,DataPropertyDomain 166,map_value
axiom_type_count,DataPropertyRange 170,map_value
axiom_type_count,Declaration 2763,map_value
axiom_type_count,DifferentIndividuals 25,map_value
axiom_type_count,DisjointClasses 49,map_value
axiom_type_count,DisjointObjectProperties 3,map_value
axiom_type_count,DisjointUnion 74,map_value
axiom_type_count,EquivalentClasses 192,map_value
axiom_type_count,EquivalentObjectProperties 2,map_value
axiom_type_count,FunctionalDataProperty 26,map_value
axiom_type_count,FunctionalObjectProperty 18,map_value
axiom_type_count,InverseObjectProperties 94,map_value
axiom_type_count,ObjectPropertyAssertion 652,map_value
axiom_type_count,ObjectPropertyDomain 517,map_value
axiom_type_count,ObjectPropertyRange 520,map_value
axiom_type_count,ReflexiveObjectProperty 2,map_value
axiom_type_count,SameIndividual 118,map_value
axiom_type_count,SubClassOf 1828,map_value
axiom_type_count,SubDataPropertyOf 242,map_value
axiom_type_count,SubObjectPropertyOf 709,map_value
axiom_type_count,SubPropertyChainOf 62,map_value
axiom_type_count,SymmetricObjectProperty 32,map_value
axiom_type_count,TransitiveObjectProperty 38,map_value
axiom_type_count_incl,AnnotationAssertion 1848,map_value
axiom_type_count_incl,ClassAssertion 1052,map_value
axiom_type_count_incl,DataPropertyAssertion 661,map_value
axiom_type_count_incl,DataPropertyDomain 166,map_value
axiom_type_count_incl,DataPropertyRange 170,map_value
axiom_type_count_incl,Declaration 2763,map_value
axiom_type_count_incl,DifferentIndividuals 25,map_value
axiom_type_count_incl,DisjointClasses 49,map_value
axiom_type_count_incl,DisjointObjectProperties 3,map_value
axiom_type_count_incl,DisjointUnion 74,map_value
axiom_type_count_incl,EquivalentClasses 192,map_value
axiom_type_count_incl,EquivalentObjectProperties 2,map_value
axiom_type_count_incl,FunctionalDataProperty 26,map_value
axiom_type_count_incl,FunctionalObjectProperty 18,map_value
axiom_type_count_incl,InverseObjectProperties 94,map_value
