,Unnamed: 0.1,Unnamed: 0,base_generated,base_prefixes,changed,date,mirror_from,namespace,sha256_hash,version,metrics.Axioms: Breakdown of axiom types.AnnotationAssertion,metrics.Axioms: Breakdown of axiom types.AnnotationPropertyDomain,metrics.Axioms: Breakdown of axiom types.AnnotationPropertyRangeOf,metrics.Axioms: Breakdown of axiom types.AsymmetricObjectProperty,metrics.Axioms: Breakdown of axiom types.ClassAssertion,metrics.Axioms: Breakdown of axiom types.DataPropertyDomain,metrics.Axioms: Breakdown of axiom types.Declaration,metrics.Axioms: Breakdown of axiom types.DifferentIndividuals,metrics.Axioms: Breakdown of axiom types.DisjointClasses,metrics.Axioms: Breakdown of axiom types.DisjointObjectProperties,metrics.Axioms: Breakdown of axiom types.EquivalentClasses,metrics.Axioms: Breakdown of axiom types.InverseObjectProperties,metrics.Axioms: Breakdown of axiom types.IrrefexiveObjectProperty,metrics.Axioms: Breakdown of axiom types.NegativeObjectPropertyAssertion,metrics.Axioms: Breakdown of axiom types.ObjectPropertyAssertion,metrics.Axioms: Breakdown of axiom types.ObjectPropertyDomain,metrics.Axioms: Breakdown of axiom types.ObjectPropertyRange,metrics.Axioms: Breakdown of axiom types.SameIndividual,metrics.Axioms: Breakdown of axiom types.SubAnnotationPropertyOf,metrics.Axioms: Breakdown of axiom types.SubClassOf,metrics.Axioms: Breakdown of axiom types.SubObjectPropertyOf,metrics.Axioms: Breakdown of axiom types.SymmetricObjectProperty,metrics.Axioms: Breakdown of axiom types.TransitiveObjectProperty,metrics.Axioms: Number of axioms,metrics.Entities: % of entities reused,metrics.Entities: Number of annotation properties,metrics.Entities: Number of classes,metrics.Entities: Number of data properties,metrics.Entities: Number of individuals,metrics.Entities: Number of object properties,metrics.Entities: Number of unsatisfiable classes,metrics.Info: Breakdown of OWL class expressions used.Class,metrics.Info: Breakdown of OWL class expressions used.DataHasValue,metrics.Info: Breakdown of OWL class expressions used.ObjectAllValuesFrom,metrics.Info: Breakdown of OWL class expressions used.ObjectComplementOf,metrics.Info: Breakdown of OWL class expressions used.ObjectExactCardinality,metrics.Info: Breakdown of OWL class expressions used.ObjectHasValue,metrics.Info: Breakdown of OWL class expressions used.ObjectIntersectionOf,metrics.Info: Breakdown of OWL class expressions used.ObjectMinCardinality,metrics.Info: Breakdown of OWL class expressions used.ObjectOneOf,metrics.Info: Breakdown of OWL class expressions used.ObjectSomeValuesFrom,metrics.Info: Breakdown of OWL class expressions used.ObjectUnionOf,metrics.Info: Does the ontology fall under OWL 2 DL?,metrics.Info: Experimental OBO score._dashboard,metrics.Info: Experimental OBO score._formula,metrics.Info: Experimental OBO score._impact,metrics.Info: Experimental OBO score._impact_external,metrics.Info: Experimental OBO score._reuse,metrics.Info: Experimental OBO score.oboscore,metrics.Info: How many externally documented uses?,metrics.Info: How many ontologies use it?,metrics.Info: Logical consistency,metrics.Info: Syntax,metrics.Info: Usage of namespaces in axioms.BFO,metrics.Info: Usage of namespaces in axioms.IAO,metrics.Info: Usage of namespaces in axioms.OMO,metrics.Info: Usage of namespaces in axioms.RO,metrics.Info: Usage of namespaces in axioms.UO,metrics.Info: Usage of namespaces in axioms.dc,metrics.Info: Usage of namespaces in axioms.dc11,metrics.Info: Usage of namespaces in axioms.foaf,metrics.Info: Usage of namespaces in axioms.obo,metrics.Info: Usage of namespaces in axioms.oboInOwl,metrics.Info: Usage of namespaces in axioms.owl,metrics.Info: Usage of namespaces in axioms.prefix_unknown,metrics.Info: Usage of namespaces in axioms.prov,metrics.Info: Usage of namespaces in axioms.rdf,metrics.Info: Usage of namespaces in axioms.rdfs,metrics.Info: Usage of namespaces in axioms.xsd,metrics.Info: Which ontologies use it?,results.FP01 Open.comment,results.FP01 Open.status,results.FP02 Common Format.status,results.FP03 URIs.comment,results.FP03 URIs.file,results.FP03 URIs.status,results.FP04 Versioning.comment,results.FP04 Versioning.status,results.FP05 Scope.comment,results.FP05 Scope.status,results.FP06 Textual Definitions.status,results.FP07 Relations.status,results.FP08 Documented.status,results.FP09 Plurality of Users.comment,results.FP09 Plurality of Users.status,results.FP11 Locus of Authority.comment,results.FP11 Locus of Authority.status,results.FP12 Naming Conventions.status,results.FP16 Maintenance.comment,results.FP16 Maintenance.status,results.FP20 Responsiveness.status,results.ROBOT Report.status,summary.comment,summary.status,summary.summary_count.ERROR,summary.summary_count.INFO,summary.summary_count.WARN,metrics.Axioms: Breakdown of axiom types.DataPropertyRange,metrics.Axioms: Breakdown of axiom types.SubDataPropertyOf,results.FP20 Responsiveness.comment,metrics.Axioms: Breakdown of axiom types.FunctionalObjectProperty,metrics.Axioms: Breakdown of axiom types.InverseFunctionalObjectProperty,metrics.Axioms: Breakdown of axiom types.SubPropertyChainOf,metrics.Info: Usage of namespaces in axioms.skos,results.FP02 Common Format.comment,metrics.Axioms: Breakdown of axiom types.DisjointUnion,metrics.Axioms: Breakdown of axiom types.FunctionalDataProperty,metrics.Axioms: Breakdown of axiom types.Rule,metrics.Info: Breakdown of OWL class expressions used.DataAllValuesFrom,metrics.Info: Breakdown of OWL class expressions used.DataExactCardinality,metrics.Info: Breakdown of OWL class expressions used.DataSomeValuesFrom,metrics.Axioms: Breakdown of axiom types.DataPropertyAssertion,metrics.Axioms: Breakdown of axiom types.ReflexiveObjectProperty,metrics.Axioms: Breakdown of axiom types.EquivalentDataProperties,metrics.Axioms: Breakdown of axiom types.EquivalentObjectProperties,metrics.Info: Breakdown of OWL class expressions used.ObjectMaxCardinality,results.FP08 Documented.comment,metrics.Info: Breakdown of OWL class expressions used.DataMinCardinality,metrics.Info: Usage of namespaces in axioms.APOLLO_SV,metrics.Info: Usage of namespaces in axioms.OBI,metrics.Info: Usage of namespaces in axioms.PATO,metrics.Info: Usage of namespaces in axioms.CHEBI,metrics.Info: Usage of namespaces in axioms.schema,metrics.Info: Breakdown of OWL class expressions used.ObjectHasSelf,metrics.Info: Usage of namespaces in axioms.BSPO,metrics.Info: Usage of namespaces in axioms.CARO,metrics.Info: Usage of namespaces in axioms.CL,metrics.Info: Usage of namespaces in axioms.ENVO,metrics.Info: Usage of namespaces in axioms.GO,metrics.Info: Usage of namespaces in axioms.NBO,metrics.Info: Usage of namespaces in axioms.NCBITaxon,metrics.Info: Usage of namespaces in axioms.PCO,metrics.Info: Usage of namespaces in axioms.PR,metrics.Info: Usage of namespaces in axioms.SO,metrics.Info: Usage of namespaces in axioms.UBERON,results.FP06 Textual Definitions.comment,results.ROBOT Report.comment,results.ROBOT Report.file,results.ROBOT Report.results.ERROR,results.ROBOT Report.results.INFO,results.ROBOT Report.results.WARN,metrics.Axioms: Breakdown of axiom types.DatatypeDefinition,metrics.Info: Breakdown of OWL class expressions used.DataMaxCardinality,metrics.Info: Usage of namespaces in axioms.GAZ,metrics.Info: Usage of namespaces in axioms.BCGO,metrics.Info: Usage of namespaces in axioms.BTO,metrics.Info: Usage of namespaces in axioms.CLO,metrics.Info: Usage of namespaces in axioms.ERO,metrics.Info: Usage of namespaces in axioms.PO,metrics.Axioms: Breakdown of axiom types.DisjointDataProperties,metrics.Info: Usage of namespaces in axioms.CHMO,metrics.Info: Usage of namespaces in axioms.GENEPIO,metrics.Info: Usage of namespaces in axioms.HP,metrics.Info: Usage of namespaces in axioms.NCIT,metrics.Info: Usage of namespaces in axioms.OAE,metrics.Info: Usage of namespaces in axioms.OBA,metrics.Info: Usage of namespaces in axioms.OBCS,metrics.Info: Usage of namespaces in axioms.STATO,failure,metrics.Info: Usage of namespaces in axioms.void,OWL2 profile information,Semantic expressivity,Does the ontology correspond to the RDFS profile?,Logical constructs used,Number of SWRL rules used,What serialisation is used for the ontology?,Number of tautological axioms,"If true, there is a definite cycle in the ontology. If false, cyclicity is unknown (experimental)",Number of logical axioms in ontology,Most frequently used class,Counts of OWL2 DL profile violations,Number of axioms using at least one term in a namespace,namespace_entity_count
0,0,0,TRUE,"['AMONTOLOGY', 'AMONTOLOGYALT']",TRUE,07:11.7,https://raw.githubusercontent.com/iassouroko/AMontology/master/AMOntology-vFinal1.owl,AMONTOLOGY,1f8ca5c0a964b5e7ed2fa64c22d0023c09d15a88adbfcd7a04cc7e564a24b0ba,http://openenergy-platform.org/ontology/oeo/releases/1.14.0/oeo.omn,9238,1,1,1,248,1,1869,7,47,1,138,17,1,1,320,73,72,7,20,2395,99,1,2,14560,100,100,1430,1,218,118,0,7180,4,16,18,2,79,187,2,3,1116,64,TRUE,0.571,(1*impact+1*dashboard)/2,0,0,1,0.285,0,0,TRUE,RDF/XML Syntax,794,4832,6,530,1224,5,22,1,26,2366,25,8683,278,125,2006,6,[],Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'http://openenergy-platform.org/ontology/oeo/releases/1.14.0/oeo.omn' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,5 errors,ERROR,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2,SROIQ(D),FALSE,AL,0,RDF/XML Syntax,0,FALSE,0,,"['UseOfNonSimplePropertyInCardinalityRestriction 1'
 'UseOfUndeclaredAnnotationProperty 2']",['BFO 19' 'IAO 5' 'RO 13' 'dc 2' 'dc11 2' 'rdf 1' 'rdfs 3'],"['BFO 42' 'IAO 90' 'OMO 3' 'RO 42' 'UO 378' 'dc 3' 'dc11 17' 'foaf 2'
 'obo 13' 'oboInOwl 18' 'owl 3' 'prefix_unknown 1242' 'rdf 1' 'rdfs 4'
 'xsd 5']"
1,1,1,TRUE,"['BWMD-DOMAIN', 'BWMD-DOMAINALT']",TRUE,04:55.4,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_domain.owl,BWMD-DOMAIN,f1665b26bb03163d7f01211626356bbc30863f9f42f94494358a7c563bfb6bf9,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_domain.owl,2151,,,,,2,849,,20,,,1,,,,8,13,,2,786,26,,,3879,100,29,787,12,0,27,0,2507,,,,,,,,,,,TRUE,0.504,(1*impact+1*dashboard)/2,0,0,1,0.252,0,0,TRUE,RDF/XML Syntax,258,426,,,,1,2,2,,,12,2471,,,1788,10,[],Missing ontology license. Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_domain.owl' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing tracker and usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,ERROR,PASS,6 errors,ERROR,6,1,1,10,11,Missing tracker and usages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2_dl,ALCHI(D),FALSE,AL,0,RDF/XML Syntax,0,FALSE,424,https://www.materials.fraunhofer.de/ontologies/BWMD_ontology/mid#BWMD_00249,[],['BFO 7' 'prefix_unknown 1300' 'rdfs 917'],"['BFO 37' 'IAO 13' 'dc 1' 'dc11 2' 'foaf 2' 'owl 4' 'prefix_unknown 792'
 'rdf 1' 'rdfs 4' 'xsd 7']"
2,2,2,TRUE,"['BWMD-MID', 'BWMD-MIDALT']",TRUE,04:51.2,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_mid.owl,BWMD-MID,a3f53082fd4a6098d827a57b0a4be79e90f3a13c6a258d0ee7f74a36c007ad54,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_mid.owl,1234,,,,,2,425,,20,,,1,,,,8,13,,2,362,26,,,2114,100,29,363,12,0,27,0,1235,,,,,,,,,,,TRUE,0.504,(1*impact+1*dashboard)/2,0,0,1,0.252,0,0,TRUE,RDF/XML Syntax,253,426,,,,1,2,2,,,12,1204,,,871,10,[],Missing ontology license. Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_mid.owl' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing tracker and usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,ERROR,PASS,6 errors,ERROR,6,1,1,10,11,Missing tracker and usages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2_dl,ALCHI(D),FALSE,AL,0,RDF/XML Syntax,11,FALSE,399,https://www.materials.fraunhofer.de/ontologies/BWMD_ontology/mid#BWMD_00008,[],['BFO 45' 'owl 11' 'prefix_unknown 1204' 'rdfs 761' 'xsd 10'],"['BFO 37' 'IAO 13' 'dc 1' 'dc11 2' 'foaf 2' 'owl 4' 'prefix_unknown 368'
 'rdf 1' 'rdfs 4' 'xsd 7']"
3,4,4,TRUE,"['CHAMEO', 'CHAMEOALT']",TRUE,07:15.9,https://raw.githubusercontent.com/emmo-repo/domain-characterisation-methodology/main/chameo.ttl,CHAMEO,24e76fa7da656e3641c37acfd4445b8c90fd9720633c9b9daf21165eb0318a23,http://emmo.info/emmo/domain/chameo/chameo,2128,,12,18,2,4,887,,3,10,69,1,24,,,76,83,,20,629,159,12,,4231,100,44,704,5,2,142,0,2656,8,14,4,9,1,16,1,,81,53,FALSE,0.549,(1*impact+1*dashboard)/2,0,0,1,0.275,0,0,TRUE,Turtle,,,,,,12,,1,,,22,4508,,18,327,12,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'http://emmo.info/emmo/domain/chameo/chameo' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,5 errors,ERROR,5,1,2,3,1,,2,3,,963,"OWL syntax (Turtle), but should be RDF/XML",73,3,9,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2,ALCROIQ(D),FALSE,AL,0,Turtle,2,TRUE,137,http://emmo.info/emmo/domain/chameo/chameo#Sample,['UseOfReservedVocabularyForAnnotationPropertyIRI 16'],['dc 6' 'foaf 1' 'prefix_unknown 448' 'rdfs 141' 'skos 49' 'xsd 1'],"['dc 12' 'foaf 1' 'owl 8' 'prefix_unknown 869' 'rdf 1' 'rdfs 4' 'skos 3'
 'xsd 6']"
4,5,5,TRUE,"['cif-core', 'CIF-COREALT']",TRUE,05:18.3,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/cif-core.ttl,CIF-core,9f6d2fced7b235e7629d4b23a9de1f36c84e1840558d87a83aa7bc056c9b6088,,282,,3,1,14,,177,,,,3,,1,,16,,,,83,71,4,,2,678,100,88,68,2,18,5,0,273,,5,,1,,1,,,4,4,TRUE,0.444,(1*impact+1*dashboard)/2,0,0,1,0.222,0,0,TRUE,Turtle,,,,,,,,,,,5,907,,5,52,20,[],Missing ontology license. Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7,0,1,,1,,,1,,,"OWL syntax (Turtle), but should be RDF/XML",5,1,,1,,14,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2_dl,SRIQ(D),FALSE,AL,0,Turtle,0,FALSE,87,http://emmo.info/emmo/cif-core#SPACE_GROUP_SYMOP,[],['prefix_unknown 422' 'rdf 5' 'rdfs 2' 'xsd 7'],['owl 4' 'prefix_unknown 177' 'rdf 1' 'rdfs 1' 'xsd 5']
5,6,6,TRUE,"['deb', 'DEBALT']",TRUE,06:03.8,https://raw.githubusercontent.com/ProjectDebbie/Ontology_DEB/master/DEB_ont.owl,DEB,e03f95bc624b67253f3974898fb88320ca97be0d5510f59b7cee193797e022a1,,296,,,,,235,729,,,,8,,,,,22,14,,,666,,,,2135,100,11,601,109,0,12,0,2147,73,,,,,,,,,,TRUE,0.467,(1*impact+1*dashboard)/2,0,0,1,0.234,0,0,TRUE,RDF/XML Syntax,,,,,,64,,,,,4,2891,,,31,170,[],Missing ontology license. Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7,0,0,97,63,,,,,158,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2_rl,ALH(D),FALSE,AL,0,RDF/XML Syntax,4,TRUE,1110,http://www.semanticweb.org/osnathakimi/ontologies/deb#ClinicalStudy,[],['dc 64' 'owl 4' 'prefix_unknown 2891' 'rdfs 31' 'skos 158' 'xsd 170'],['dc 4' 'owl 1' 'prefix_unknown 724' 'rdf 1' 'rdfs 3' 'skos 1' 'xsd 2']
6,7,7,TRUE,"['diso', 'DISOALT']",TRUE,05:51.7,https://raw.githubusercontent.com/Materials-Data-Science-and-Informatics/dislocation-ontology/master/dislocation-ontology.ttl,DISO,0a3d0b1e22c300f864e2d2157b1599e4b5a7655209c679f4f7fbcd8cb59dc49e,,147,,,,,5,91,,6,,,1,,,,25,25,,,62,6,,,373,100,13,38,12,0,33,0,227,,26,,3,,17,,,22,8,TRUE,0.444,(1*impact+1*dashboard)/2,0,0,1,0.222,0,0,TRUE,Turtle,,,,,,5,,,,,1,400,,1,140,16,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7,0,1,5,,,,,,4,"OWL syntax (Turtle), but should be RDF/XML",,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2_dl,ALCHIQ(D),FALSE,AL,0,Turtle,1,TRUE,135,https://purls.helmholtz-metadaten.de/diso#BurgersVector,[],['dc 5' 'owl 1' 'prefix_unknown 400' 'rdf 1' 'rdfs 140' 'skos 4' 'xsd 16'],['dc 5' 'owl 2' 'prefix_unknown 84' 'rdf 2' 'rdfs 4' 'skos 1' 'xsd 2']
7,8,8,TRUE,"['emmo', 'EMMOALT']",TRUE,02:09.2,https://raw.githubusercontent.com/emmo-repo/EMMO/master/emmo.ttl,EMMO,d4ee0c65ba7cc9bf556a731df3ff81612f0a4bdf95df2a492bded5b375d07519,http://emmo.info/emmo/1.0.0-beta,1743,,18,16,,2,539,,1,,62,,16,,,22,30,,22,623,47,7,8,3191,100,35,463,3,1,46,0,1919,125,47,5,5,1,6,,,106,12,FALSE,0.549,(1*impact+1*dashboard)/2,0,0,1,0.275,0,0,TRUE,Turtle,,,,,,6,,,,,27,3399,,105,298,30,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'http://emmo.info/emmo/1.0.0-beta' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,5 errors,ERROR,5,1,2,1,1,,4,5,,572,"OWL syntax (Turtle), but should be RDF/XML",24,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2,SROIQ(D),FALSE,AL,0,Turtle,0,FALSE,0,,['UseOfReservedVocabularyForAnnotationPropertyIRI 17'],[],['dc 6' 'owl 7' 'prefix_unknown 528' 'rdf 1' 'rdfs 4' 'skos 3' 'xsd 6']
8,9,9,TRUE,"['emmo_bvc', 'EMMO_BVCALT']",TRUE,05:11.6,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BVCO.ttl,EMMO_BVC,083958d2622aa5d30761f488faeaba5990c644ab70b4006d547c06765f5cf618,,4124,,19,16,2,2,1473,,6,,115,13,24,,,60,68,,23,2152,139,11,9,8317,100,36,1342,3,1,106,0,6164,130,66,5,8,2,10,1,,484,60,FALSE,0.444,(1*impact+1*dashboard)/2,0,0,1,0.222,0,0,TRUE,Turtle,,,,,,6,,,,,35,9395,,110,707,31,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7,0,1,1,2,,9,5,,1616,"OWL syntax (Turtle), but should be RDF/XML",34,2,,3,3,4,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2,SROIQ(D),FALSE,AL,0,Turtle,0,TRUE,276,https://bvco.ontology.link/BVCO_1c325086_be16_4556_9d2d_222cccf6a4b7,"['UseOfReservedVocabularyForAnnotationPropertyIRI 17'
 'UseOfUndeclaredClass 27' 'UseOfUndeclaredObjectProperty 2']",['prefix_unknown 839' 'rdfs 33' 'skos 98'],['dc 8' 'owl 5' 'prefix_unknown 2317' 'rdf 1' 'rdfs 4' 'skos 3' 'xsd 4']
9,10,10,TRUE,"['emmo_battinfo', 'EMMO_BATTINFOALT']",TRUE,06:12.5,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/battinfo.ttl,EMMO_BattINFO,7f84302007fd044c2711f0802b9d09c83d5dc125d99a58ccbf4930d0d80eabb3,https://big-map.github.io/BattINFO/ontology/BattINFO/0.5.0/battinfo.ttl,3181,,18,15,1,2,1015,,5,,69,8,16,,,22,30,,22,1500,54,8,9,6030,100,35,940,3,1,45,0,4186,130,60,5,8,1,9,1,,257,14,FALSE,0.504,(1*impact+1*dashboard)/2,0,0,1,0.252,0,0,TRUE,Turtle,,,,,,6,,,,,34,6498,,110,499,31,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI does not resolve,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,6 errors,ERROR,6,1,1,1,2,,9,5,,1185,"OWL syntax (Turtle), but should be RDF/XML",28,2,,3,3,4,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl2,SRIQ(D),FALSE,AL,0,Turtle,0,FALSE,0,,['UseOfReservedVocabularyForAnnotationPropertyIRI 17'],['dc 2'],['dc 8' 'owl 4' 'prefix_unknown 2017' 'rdf 1' 'rdfs 4' 'skos 2' 'xsd 4']
